text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"RT @DeputadoFederal: ATENÇÃO: Voto impresso de Bolsonaro sofre primeira derrota na Câmara. Por 295 votos a favor e 43 contra, o Plenário ap…",bolsonaro,,,64244901,mosquitimazul,,,85,0,Tue Aug 10 2021 20:18:47 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 20:18:46 GMT-0300 (Brasilia Standard Time)
RT @TerraBrasilnot: Governador de Nova York que atacou Bolsonaro renuncia ao cargo após denúncias de assédio sexual https://t.co/9iWechDz27,bolsonaro,,,46449348,lfascencao,,,156,0,Tue Aug 10 2021 20:18:47 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 20:18:46 GMT-0300 (Brasilia Standard Time)
RT @desmentindobozo: O deputado Carlos Sampaio (PSDB-SP) enterrando de vez qualquer argumento mentiroso utilizado pelo presidente Jair Bols…,bolsonaro,,,3089295677,nairamvg,,,5,0,Tue Aug 10 2021 20:18:47 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 20:18:46 GMT-0300 (Brasilia Standard Time)
"RT @igoraguiarde: @_royalewcheese Bolsonaro tentou, mas o movimento anti vacina flopou no Brasil",bolsonaro,,,1019720483800010800,Mabeoff,,,15,0,Tue Aug 10 2021 20:18:47 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 20:18:46 GMT-0300 (Brasilia Standard Time)
"RT @DeputadoFederal: ATENÇÃO: Voto impresso de Bolsonaro sofre primeira derrota na Câmara. Por 295 votos a favor e 43 contra, o Plenário ap…",bolsonaro,,,274589234,ThyelloLula,,,85,0,Tue Aug 10 2021 20:18:47 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 20:18:46 GMT-0300 (Brasilia Standard Time)
RT @felipeneto: O Bolsonaro literalmente gritou pro mundo inteiro que o nosso poderio bélico é menor que a equipe de seguranças do BTS.,bolsonaro,,,1393961676605624300,FialhoIgnez,,,2475,0,Tue Aug 10 2021 20:18:47 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 20:18:45 GMT-0300 (Brasilia Standard Time)
"@gigihabibs @gunzomiguel1 @UOL deixa eu te dizer o óbvio: quem defende ditador gen0cida ñ é o Bolsonaro, tá? o 🦑tem… https://t.co/R70OERB0D4",bolsonaro,,,1263927192653893600,BRconservador2,,,0,0,Tue Aug 10 2021 20:18:47 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 20:18:45 GMT-0300 (Brasilia Standard Time)
"RT @DeputadoFederal: ATENÇÃO: Voto impresso de Bolsonaro sofre primeira derrota na Câmara. Por 295 votos a favor e 43 contra, o Plenário ap…",bolsonaro,,,58458944,celcarlao,,,85,0,Tue Aug 10 2021 20:18:47 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 20:18:45 GMT-0300 (Brasilia Standard Time)
"Minha professora fala do que o governo do bolsonaro tá bom, vontade de me matar",bolsonaro,,,1213691968477229000,badbebitch,,,0,0,Tue Aug 10 2021 20:18:47 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 20:18:45 GMT-0300 (Brasilia Standard Time)
"RT @cinefilo_K: o BOLSONARO colocou
• os gastos do seu cartão de crédito SOB SIGILO
 • o acesso dos filhos ao Planalto em Brasília SOB SIGI…",bolsonaro,,,1253131651967856600,lmixonlyy,,,5105,0,Tue Aug 10 2021 20:18:47 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 20:18:44 GMT-0300 (Brasilia Standard Time)
