text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
@PastorMalafaia @advecoficial Sepulcro caiado  convoca os mortos. Vão para ouvir um mentiroso. Que evangelho é esse?,caiado,,,2598984025,marcosdaposse,,,0,0,Fri Aug 06 2021 09:12:27 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:11:10 GMT-0300 (Brasilia Standard Time)
@RafaelFontana Ronaldo Caiado. Aquilo já era safado e infelizmente já sabíamos. Só que não precisava ser tanto. Ago… https://t.co/VU29V94WuU,caiado,,,1079508289438838800,alessandrasp12,,,0,0,Fri Aug 06 2021 09:12:27 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:09:10 GMT-0300 (Brasilia Standard Time)
Caiado se reúne com embaixador interino de Israel no Brasil e discute cooperação tecnológica voltada para setor agr… https://t.co/0vIYZEgDYg,caiado,,,152735908,HudsonpCunha,,,0,0,Fri Aug 06 2021 09:12:27 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:08:34 GMT-0300 (Brasilia Standard Time)
"@taoquei1 O Novo, segundo as escrituras sagradas, é um sepulcro caiado.",caiado,,,355196219,wlisses1000,,,0,0,Fri Aug 06 2021 09:12:27 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:06:15 GMT-0300 (Brasilia Standard Time)
"Apesar do passe livre do governador, Calil diz que só entrará para disputa caso pesquisas demonstrarem boa aceitaçã… https://t.co/VL3oFgyW07",caiado,,,133725078,jornalohoje,,,0,0,Fri Aug 06 2021 09:12:27 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:01:05 GMT-0300 (Brasilia Standard Time)
"""Mentiu descaradamente"", diz Marconi sobre Caiado https://t.co/BRr3A0bfGh via @wordpressdotcom",caiado,,,55650686,paulogalvez,,,0,0,Fri Aug 06 2021 09:12:27 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 08:59:39 GMT-0300 (Brasilia Standard Time)
A pessoa que eu mais procuro no Instagram é o Caiado pra saber sobre as vacinasss,caiado,,,1019492962512920600,larapedrosaa_,,,0,0,Fri Aug 06 2021 09:12:27 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 08:53:32 GMT-0300 (Brasilia Standard Time)
"@DepSostenes SEPULCRO CAIADO MENTIROSO. VC NÃO ESTÁ ENTRE OS VOTANTES.  VC VAI PREGAR NO DOMINGO PASTOR MENTIROSO.
VC SABE QUEM É O SEU PAI.",caiado,,,2598984025,marcosdaposse,,,0,0,Fri Aug 06 2021 09:12:27 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 08:26:12 GMT-0300 (Brasilia Standard Time)
"Mais uma vez, cai a máscara de Caiado. O @jornal_opopular, desta sexta-feira, denuncia que Caiado, na calada da noi… https://t.co/4LXW26VpTV",caiado,,,34790309,marconiperillo,,,0,3,Fri Aug 06 2021 09:12:27 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 08:23:33 GMT-0300 (Brasilia Standard Time)
"@MajorVitorHugo Major, venha ser Governador de GO. Caiado já foi.",caiado,,,1117837450498465800,Fabbenve,,,0,0,Fri Aug 06 2021 09:12:27 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 08:20:49 GMT-0300 (Brasilia Standard Time)
