text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"Eu só morro de inveja

vai tomar no cu Caiado https://t.co/ETsCeoK7GP",caiado,,,778389387109433300,DanteRagan,,,0,1,Sun Aug 15 2021 20:02:07 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:55:59 GMT-0300 (Brasilia Standard Time)
"PT movimentando a política goiana
https://t.co/rB9VlxBK1X",caiado,,,736700514587553800,tatunotoco,,,0,6,Sun Aug 15 2021 20:02:07 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:50:03 GMT-0300 (Brasilia Standard Time)
Vamo Caiado safada faz algo pelo amor de Deus https://t.co/uCzZ6DEdhD,caiado,,,109156390,delalores,,,0,1,Sun Aug 15 2021 20:02:07 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:25:27 GMT-0300 (Brasilia Standard Time)
"Eu não entendo certo tipo de ""cristão,""raça de víboras.(Mateus-23.33) e sepulcro caiado. ""carniça"".( Mateus -23.27)… https://t.co/RYKB3KFPhI",caiado,,,330608604,mauricio_regis,,,0,4,Sun Aug 15 2021 20:02:07 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:09:37 GMT-0300 (Brasilia Standard Time)
"RT @telmafontes11: Dória(PSDB), Claudio Castro(PSC), Ronaldo Caiado(DEM), Ratinho Junior(PSD), Renato Casagrande, Eduardo Leite (PSDB), Iba…",caiado,,,160525513,justinianoneto,,,1,0,Sun Aug 15 2021 20:02:07 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 18:58:33 GMT-0300 (Brasilia Standard Time)
"Caiado anuncia progressão para 5,1 mil servidores da saúde, com investimento de R$ 835 mil ao mês - O Opinando https://t.co/cBThNSzLVG",caiado,,,56770341,Regesmaia,,,0,0,Sun Aug 15 2021 20:02:07 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 18:51:42 GMT-0300 (Brasilia Standard Time)
NESTA SEGUNDA-FEIRA (16/8) - Caiado lança grupo especializado no combate aos crimes de ódio em Goiás… https://t.co/PSi9K71O0c,caiado,,,245894432,aredacao,,,0,0,Sun Aug 15 2021 20:02:07 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 17:33:13 GMT-0300 (Brasilia Standard Time)
"Dória(PSDB), Claudio Castro(PSC), Ronaldo Caiado(DEM), Ratinho Junior(PSD), Renato Casagrande, Eduardo Leite (PSDB)… https://t.co/oKDA96lV48",caiado,,,405873099,telmafontes11,,,1,1,Sun Aug 15 2021 20:02:07 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 17:29:11 GMT-0300 (Brasilia Standard Time)
RT @podergoias: Caiado inaugura Delegacia especializada em Crimes Raciais e Delitos de Intolerância - via @podergoias https://t.co/ZYkyBQeq…,caiado,,,3171100473,goiaspoder,,,1,0,Sun Aug 15 2021 20:02:07 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 17:11:11 GMT-0300 (Brasilia Standard Time)
Caiado inaugura Delegacia especializada em Crimes Raciais e Delitos de Intolerância - via @podergoias… https://t.co/DMmr4IVWOI,caiado,,,969285079792013300,podergoias,,,1,4,Sun Aug 15 2021 20:02:07 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 17:07:48 GMT-0300 (Brasilia Standard Time)
