text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"#MDB | O cabo de guerra dentro do MDB entre Daniel Vilela, presidente, e Gustavo Mendanha, prefeito de Aparecida, c… https://t.co/4Ts5NWHTZz",caiado,,,302021856,Sou_NoticiasGo,,,0,0,Wed Aug 25 2021 19:47:34 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 19:34:58 GMT-0300 (Brasilia Standard Time)
Mas o caminho não é fácil. Ele batalha para que seu partido tenha candidatura própria ao Palácio das Esmeraldas em… https://t.co/RTEdC2g2vi,caiado,,,51230745,pablokossa,,,0,2,Wed Aug 25 2021 19:47:34 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 19:32:49 GMT-0300 (Brasilia Standard Time)
Esse CAIADO fez sua campanha ao Governo de Goiás CRITICANDO na época o Ex Governador Marconi e dizia q se eleito fo… https://t.co/wgqsrLEiFx,caiado,,,2413397642,eniosantanaxavi,,,0,0,Wed Aug 25 2021 19:47:34 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 19:32:28 GMT-0300 (Brasilia Standard Time)
@rodartgabriela O caiado passou uma lei em janeiro que proibe a obrigatoriedade. Nao foi?,caiado,,,1142544021283381200,nath_barbosa,,,0,0,Wed Aug 25 2021 19:47:34 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 19:30:10 GMT-0300 (Brasilia Standard Time)
Sai de casa as 5 H.Fui a BSB participei do lançamento da plataforma “ Todos por um só Brasil”. No meu carro e as mi… https://t.co/9eZwXKsdgV,caiado,Brazil,"Goiânia, Brazil",242839493,EnioSalviano,,,0,0,Wed Aug 25 2021 19:47:34 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 19:28:08 GMT-0300 (Brasilia Standard Time)
EM 1ª MÃO | Caiado anuncia chegada de  nova grande remessa de 247.360 vacinas pra esta quinta-feira 26. Saiba mais… https://t.co/V5wm5hv50k,caiado,,,389484366,JornalGoyaz,,,1,2,Wed Aug 25 2021 19:47:34 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 19:26:16 GMT-0300 (Brasilia Standard Time)
@Marcelo34182569 @rogerioandres @Fontourajr1 @moura_101 @RogerioVilela Você não sabe o que fala. Por isso é bolsona… https://t.co/djBXV7l9Tf,caiado,,,22609897,fabiomendes,,,0,0,Wed Aug 25 2021 19:47:34 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 19:18:48 GMT-0300 (Brasilia Standard Time)
@tantotupiassu mj teve overdose com esse remédio,caiado,,,23633769,camila_caiado,,,0,0,Wed Aug 25 2021 19:47:34 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 19:10:48 GMT-0300 (Brasilia Standard Time)
@carolinamendes eu a vida boa inteira,caiado,,,23633769,camila_caiado,,,0,0,Wed Aug 25 2021 19:47:34 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 19:10:00 GMT-0300 (Brasilia Standard Time)
"RT @fabricioboscolo: Governadores
Romeu Zema (Minas Gerais)
Antonio Denarium (Roraima)
Ronaldo Caiado (Goiás)
Carlos Moisés (Sta Catarina)…",caiado,,,137494260,carlaluanaac,,,3,0,Wed Aug 25 2021 19:47:34 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 19:07:27 GMT-0300 (Brasilia Standard Time)
