text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
acreano sempre arruma um jeito de se amostrar. tô assistindo o documentário sobre o processo de impeachment da dilm… https://t.co/gHNp2hpXVM,cameli,,,411000462,bridgertwn,,,0,0,Mon Aug 16 2021 10:16:16 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 00:20:35 GMT-0300 (Brasilia Standard Time)
"RT @AcrenewsN: Ana Paula Cameli, primeira-dama do Acre, fala sobre o novenário em Cruzeiro: “Fé na vida” https://t.co/YV9Ynce6jL",cameli,,,1404469839050297300,cruzeirozip,,,1,0,Mon Aug 16 2021 10:16:16 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 22:23:22 GMT-0300 (Brasilia Standard Time)
"Ana Paula Cameli, primeira-dama do Acre, fala sobre o novenário em Cruzeiro: “Fé na vida” https://t.co/YV9Ynce6jL",cameli,,,1385384442622009300,AcrenewsN,,,1,0,Mon Aug 16 2021 10:16:16 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 22:23:17 GMT-0300 (Brasilia Standard Time)
Deputado Pedro Longo presta contas do mandato e destaca: “O Acre está no caminho certo com o governador Gladson Cam… https://t.co/QrHM9TtkRE,cameli,,,3044646035,diariodoac,,,0,0,Mon Aug 16 2021 10:16:16 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 14:13:48 GMT-0300 (Brasilia Standard Time)
"Presidente da Aleac, Nicolau Júnior, elogia o cunhado, Gladson Cameli, pelos altos investimentos no Juruá https://t.co/J4LJF4yRxY",cameli,,,1385384442622009300,AcrenewsN,,,0,0,Mon Aug 16 2021 10:16:16 GMT-0300 (Brasilia Standard Time),Sat Aug 14 2021 12:33:49 GMT-0300 (Brasilia Standard Time)
"Governador Gladson Cameli e Prefeito Zequinha falam sobre parcerias em café da manhã com a imprensa.

https://t.co/kR4CZkxMBo",cameli,,,714990550462644200,3dejulhonoticia,,,0,0,Mon Aug 16 2021 10:16:16 GMT-0300 (Brasilia Standard Time),Sat Aug 14 2021 09:38:51 GMT-0300 (Brasilia Standard Time)
Governador Gladson Cameli e Prefeito Zequinha falam sobre parcerias em café da manhã com a imprensa https://t.co/cJ7meIrs2d,cameli,,,53193772,juruaonline,,,0,0,Mon Aug 16 2021 10:16:16 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 23:26:06 GMT-0300 (Brasilia Standard Time)
Gladson Cameli autoriza pacote de reformas em prédios e espaços públicos de Cruzeiro do Sul https://t.co/5DkRadfsB1,cameli,,,3044646035,diariodoac,,,0,0,Mon Aug 16 2021 10:16:16 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 22:23:58 GMT-0300 (Brasilia Standard Time)
"RT @GovernoAcre: Em seu discurso, Cameli destacou relevância das reformas. Além de proporcionar melhores condições de trabalho aos servidor…",cameli,,,1404469839050297300,cruzeirozip,,,1,0,Mon Aug 16 2021 10:16:16 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 19:03:26 GMT-0300 (Brasilia Standard Time)
"Em seu discurso, Cameli destacou relevância das reformas. Além de proporcionar melhores condições de trabalho aos s… https://t.co/9MgpcsjTst",cameli,,,23798169,GovernoAcre,,,1,0,Mon Aug 16 2021 10:16:16 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 19:03:21 GMT-0300 (Brasilia Standard Time)
RT @juruaonline: Gladson Cameli autoriza pacote de reformas em prédios e espaços públicos de Cruzeiro do Sul https://t.co/MUIbVtCIVx,cameli,,,959121839544062000,SaimonCaetano,,,1,0,Mon Aug 16 2021 10:16:16 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 17:17:39 GMT-0300 (Brasilia Standard Time)
Gladson Cameli autoriza pacote de reformas em prédios e espaços públicos de Cruzeiro do Sul https://t.co/MUIbVtCIVx,cameli,,,53193772,juruaonline,,,1,1,Mon Aug 16 2021 10:16:16 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 17:14:17 GMT-0300 (Brasilia Standard Time)
"Em Tarauacá, Petecão faz críticas ao governo de Gladson Cameli e diz que é preciso conhecer o Acre para governar.

https://t.co/hhWTos2bhT",cameli,,,714990550462644200,3dejulhonoticia,,,0,0,Mon Aug 16 2021 10:16:16 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 11:44:00 GMT-0300 (Brasilia Standard Time)
