text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
Governador Mauro Carlesse participa do Festejo do Bonfim em Natividade https://t.co/Wp7Eg0YEyr,carlesse,,,76736107,surgiu,,,0,0,Sun Aug 15 2021 20:02:23 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:33:54 GMT-0300 (Brasilia Standard Time)
"Governador Mauro Carlesse participa do Festejo do Bonfim em Natividade
https://t.co/2NNWgryzCE",carlesse,,,3442088896,AgoraTo_noticia,,,0,0,Sun Aug 15 2021 20:02:23 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 18:00:07 GMT-0300 (Brasilia Standard Time)
Josi Nunes é empossa pelo governador Carlesse na presidência do PSL Mulher https://t.co/yNTWnHt6cq,carlesse,,,130813634,atitudeto,,,0,0,Sun Aug 15 2021 20:02:23 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 16:44:31 GMT-0300 (Brasilia Standard Time)
https://t.co/TaIaU2m1b3 Mauro Carlesse participa do Festejo do Bonfim em #Natividade https://t.co/TSpBASpnZG,carlesse,,,54213911,conectato1,,,0,0,Sun Aug 15 2021 20:02:23 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 14:22:36 GMT-0300 (Brasilia Standard Time)
Governador Mauro Carlesse participa do Festejo do Bonfim em Natividade https://t.co/kp2PvNch4g https://t.co/X5FxhlKvAi,carlesse,,,1263425958,radiowebativida,,,0,0,Sun Aug 15 2021 20:02:23 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 13:52:51 GMT-0300 (Brasilia Standard Time)
"Carlesse, Gaguim e deputados estaduais fazem caminhada ao Bonfim para pedir fim da pandemia https://t.co/jjsYDGEe5u",carlesse,,,1319141287929520000,GnoticiasG,,,0,0,Sun Aug 15 2021 20:02:23 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 10:55:02 GMT-0300 (Brasilia Standard Time)
Prefeito Ronivon se reúne com o governador Mauro Carlesse para tratar da reestruturação do parque industrial de Por… https://t.co/4lCWSLWzo6,carlesse,,,126390210,jornalopcao,,,0,0,Sun Aug 15 2021 20:02:23 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 00:04:01 GMT-0300 (Brasilia Standard Time)
"Ao inaugurar quadra poliesportiva, Carlesse anuncia reforma de escola estadual em Arraias https://t.co/rJE4OCjkxl https://t.co/n6l7BZMs7u",carlesse,,,707653519,T1_NOTICIAS,,,0,1,Sun Aug 15 2021 20:02:23 GMT-0300 (Brasilia Standard Time),Sat Aug 14 2021 18:00:31 GMT-0300 (Brasilia Standard Time)
"@Marina92011959 @jdoriajr Se vc não estivesse tão distante, te convidaria para vir ao Tocantins do governador Carle… https://t.co/tNg7Pe2eq9",carlesse,,,266719391,jccf00,,,0,1,Sun Aug 15 2021 20:02:23 GMT-0300 (Brasilia Standard Time),Sat Aug 14 2021 12:00:43 GMT-0300 (Brasilia Standard Time)
"Para disputar a reeleição, Aro recebeu R$ 1,5 milhão do total de R$ 18 milhões a que o partido tem direito. O deput… https://t.co/HZT1EyA3py",carlesse,,,1170470896693391400,CarlaCruz2302,,,0,0,Sun Aug 15 2021 20:02:23 GMT-0300 (Brasilia Standard Time),Sat Aug 14 2021 11:38:15 GMT-0300 (Brasilia Standard Time)
"RT @afnoticiasto: NA MESMA SEMANA | Justiça arquiva sindicância contra delegado e impõe 2ª derrota ao governo Carlesse.

Veja aqui ➡️ https…",carlesse,,,223855363,arnaldofilhoaf,,,1,0,Sun Aug 15 2021 20:02:23 GMT-0300 (Brasilia Standard Time),Sat Aug 14 2021 10:52:36 GMT-0300 (Brasilia Standard Time)
Governador Carlesse destaca compromissos cumpridos ao visitar obras em rodovias no Sul do Tocantins https://t.co/L5Ba6s8dOp,carlesse,,,76736107,surgiu,,,0,0,Sun Aug 15 2021 20:02:23 GMT-0300 (Brasilia Standard Time),Sat Aug 14 2021 09:41:48 GMT-0300 (Brasilia Standard Time)
"Investimentos na Segurança Pública, vistoria em obras e entrega de kits marcam semana do Governador Carlesse https://t.co/ZHmrEkLvzM",carlesse,,,76736107,surgiu,,,0,1,Sun Aug 15 2021 20:02:23 GMT-0300 (Brasilia Standard Time),Sat Aug 14 2021 08:14:20 GMT-0300 (Brasilia Standard Time)
Entrevistas: Governador Mauro Carlesse mostra força política durante evento do PSL em Palmas… https://t.co/QvxSS9VWDX,carlesse,,,830488236472619000,agenciatocantin,,,0,0,Sun Aug 15 2021 20:02:23 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 18:43:05 GMT-0300 (Brasilia Standard Time)
"NA MESMA SEMANA | Justiça arquiva sindicância contra delegado e impõe 2ª derrota ao governo Carlesse.

Veja aqui ➡️… https://t.co/0Iu4WNTj7x",carlesse,,,207744482,afnoticiasto,,,1,1,Sun Aug 15 2021 20:02:23 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 18:37:03 GMT-0300 (Brasilia Standard Time)
"ELEIÇÕES 2022
Após garantir que irá concluir o mandato, Carlesse rasga elogios a Wanderlei: “É um exemplo para nós”… https://t.co/a81tO7xni6",carlesse,,,29030568,colunadoct,,,0,0,Sun Aug 15 2021 20:02:23 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 16:21:51 GMT-0300 (Brasilia Standard Time)
Governador Carlesse prepara para lançar em Gurupi pacote de obras como a TO-365 e programas de iniciação esportivas https://t.co/5Q97pgYkkD,carlesse,,,130813634,atitudeto,,,0,0,Sun Aug 15 2021 20:02:23 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 16:12:23 GMT-0300 (Brasilia Standard Time)
"Continuando a agenda oficial no interior, estamos hoje em Arraias. Acompanho o governador Mauro Carlesse na inaugur… https://t.co/AlDs4cYTET",carlesse,,,2799977288,wanderlei2018,,,0,2,Sun Aug 15 2021 20:02:23 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 12:00:23 GMT-0300 (Brasilia Standard Time)
"Carlesse filia deputado, 20 prefeitos e 12 vices ao PSL em demonstração de força política
https://t.co/gmMDvxKgez https://t.co/zE1kaO6qgH",carlesse,,,519702986,pGildaBonfim,,,0,0,Sun Aug 15 2021 20:02:23 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 12:00:02 GMT-0300 (Brasilia Standard Time)
"TEMPO REAL / Será que ele é? @colunadoct https://t.co/JBMNZzZiXH 

O governador Carlesse afirmou pela 1ª vez public… https://t.co/5g2OFVUwI1",carlesse,,,29030568,colunadoct,,,0,0,Sun Aug 15 2021 20:02:23 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 11:58:45 GMT-0300 (Brasilia Standard Time)
"RT @afnoticiasto: DIRETO AO PONTO | Após anúncio, prefeito nega filiação ao PSL de Carlesse: 'preciso consultar minha base'.

Veja aqui ➡️…",carlesse,,,223855363,arnaldofilhoaf,,,1,0,Sun Aug 15 2021 20:02:23 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 11:35:17 GMT-0300 (Brasilia Standard Time)
"Carlesse, que ""vai pendurar as chuteiras"", promete a deputado emedebista aumentar em 50% vagas do concurso da PM cu… https://t.co/plmSesLioD",carlesse,,,220087979,BlogdoLuizReal,,,0,2,Sun Aug 15 2021 20:02:23 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 11:31:17 GMT-0300 (Brasilia Standard Time)
"DIRETO AO PONTO | Após anúncio, prefeito nega filiação ao PSL de Carlesse: 'preciso consultar minha base'.

Veja aq… https://t.co/4NchlCQo8Y",carlesse,,,207744482,afnoticiasto,,,1,1,Sun Aug 15 2021 20:02:23 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 11:13:26 GMT-0300 (Brasilia Standard Time)
"NO ESTADO
Governador Carlesse destaca compromissos cumpridos ao visitar obras em rodovias no Sul do Tocantins

https://t.co/hqssSEVi8N",carlesse,,,4372380262,ChumbinhoM,,,0,0,Sun Aug 15 2021 20:02:23 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 10:42:37 GMT-0300 (Brasilia Standard Time)
Governador Carlesse destaca compromissos cumpridos ao visitar obras em rodovias no Sul do Tocantins… https://t.co/PvlFo5nsyJ,carlesse,,,1216051842,Coletivoto,,,0,0,Sun Aug 15 2021 20:02:23 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 10:42:16 GMT-0300 (Brasilia Standard Time)
"POLÍTICA | Carlesse filia deputado, 20 prefeitos e 12 vices ao PSL em demonstração de força política.

Veja aqui ➡️… https://t.co/FtQrqNTRq0",carlesse,,,207744482,afnoticiasto,,,0,1,Sun Aug 15 2021 20:02:23 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 08:41:01 GMT-0300 (Brasilia Standard Time)
ENCONTRO ESTADUAL l Carlesse mostra força política com filiação em massa de lideranças ao PSL do Tocantins… https://t.co/RKrRg3NfGT,carlesse,,,199262240,portalonorte1,,,0,0,Sun Aug 15 2021 20:02:23 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 08:36:30 GMT-0300 (Brasilia Standard Time)
"No Sul do Tocantins, Carlesse destaca compromissos cumpridos ao visitar obras em rodovias https://t.co/xnkICgWj4Q",carlesse,,,519757304,nortedoto,,,0,0,Sun Aug 15 2021 20:02:23 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 23:33:54 GMT-0300 (Brasilia Standard Time)
"Carlesse empossa prefeitos, vice-prefeitos e deputados no PSL https://t.co/q25aW6k5AI",carlesse,,,519757304,nortedoto,,,0,0,Sun Aug 15 2021 20:02:23 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 22:35:09 GMT-0300 (Brasilia Standard Time)
"@Gisaieira @Conservadora191 Essa safada se vendeu pra os chineses a tempos, agora anda  cassando fazenda pra compra… https://t.co/eg6aE32QWF",carlesse,,,1364387217188262000,HelioMilhomem,,,0,1,Sun Aug 15 2021 20:02:23 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 20:03:15 GMT-0300 (Brasilia Standard Time)
RT @governoTO: O Governador Mauro Carlesse participa da entrega de kits de alimentação escolar destinados a alunos da rede estadual de ensi…,carlesse,,,3010652285,maurocarlesse,,,2,0,Sun Aug 15 2021 20:02:23 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 19:58:41 GMT-0300 (Brasilia Standard Time)
