text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
Pacientes fazem 'vaquinha' para comprar itens que estão em falta no HGP. Enquanto o Carlesse luta pra conseguir alugar jatinhos de luxo.,carlesse,,,78099099,raposo_naopegue,,,0,1,Thu Aug 12 2021 09:36:32 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 09:27:33 GMT-0300 (Brasilia Standard Time)
RT @anarehbein: E ao vivo no #Ja2 informamos que o Palácio Araguaia desistiu de alugar jatinho e helicóptero de luxo para transportar o gov…,carlesse,,,56359500,gamaaires,,,2,0,Thu Aug 12 2021 09:36:32 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 09:20:19 GMT-0300 (Brasilia Standard Time)
"@natanzera_r Tô apelando pra qualquer coisa Natanzin, até um date com o Carlesse KKKKK",carlesse,,,1088865735550611500,doratavarest,,,0,1,Thu Aug 12 2021 09:36:32 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 06:53:04 GMT-0300 (Brasilia Standard Time)
RT @anarehbein: E ao vivo no #Ja2 informamos que o Palácio Araguaia desistiu de alugar jatinho e helicóptero de luxo para transportar o gov…,carlesse,,,67694103,Uilianpassarin,,,2,0,Thu Aug 12 2021 09:36:32 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 03:29:38 GMT-0300 (Brasilia Standard Time)
E ao vivo no #Ja2 informamos que o Palácio Araguaia desistiu de alugar jatinho e helicóptero de luxo para transport… https://t.co/7Of8X8zTEY,carlesse,,,29209261,anarehbein,,,2,10,Thu Aug 12 2021 09:36:32 GMT-0300 (Brasilia Standard Time),Wed Aug 11 2021 23:41:58 GMT-0300 (Brasilia Standard Time)
RT @LailtonCosta: A pregoeira Meire Leal Dovigo Pereira assina o aviso de revogação da licitação para contratação de dois jatinhos e um hel…,carlesse,,,492720753,rocsrodrigo,,,2,0,Thu Aug 12 2021 09:36:32 GMT-0300 (Brasilia Standard Time),Wed Aug 11 2021 22:32:54 GMT-0300 (Brasilia Standard Time)
"Foi revogada a licitação para alugar aeronaves de luxo para o governador Mauro Carlesse.
O custo previsto estava em… https://t.co/HVyeJfaxUK",carlesse,,,1222387861,SouMaisNoticias,,,0,2,Thu Aug 12 2021 09:36:32 GMT-0300 (Brasilia Standard Time),Wed Aug 11 2021 21:40:09 GMT-0300 (Brasilia Standard Time)
RT @LailtonCosta: A pregoeira Meire Leal Dovigo Pereira assina o aviso de revogação da licitação para contratação de dois jatinhos e um hel…,carlesse,,,933611239,JJEdeSouza,,,2,0,Thu Aug 12 2021 09:36:32 GMT-0300 (Brasilia Standard Time),Wed Aug 11 2021 21:08:29 GMT-0300 (Brasilia Standard Time)
A pregoeira Meire Leal Dovigo Pereira assina o aviso de revogação da licitação para contratação de dois jatinhos e… https://t.co/XUjf7MTRHz,carlesse,,,58798987,LailtonCosta,,,2,15,Thu Aug 12 2021 09:36:32 GMT-0300 (Brasilia Standard Time),Wed Aug 11 2021 21:03:55 GMT-0300 (Brasilia Standard Time)
Carlesse atende Elenil e concurso da PM deve ter mais 500 vagas  https://t.co/fZCz2Ugzax,carlesse,,,817119609841139700,IreneYrenebrito,,,0,0,Thu Aug 12 2021 09:36:32 GMT-0300 (Brasilia Standard Time),Wed Aug 11 2021 20:58:08 GMT-0300 (Brasilia Standard Time)
