text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"Governador passou por um procedimento de rotina
https://t.co/w4XKXvUkGf",denarium,,,70399781,folhabv,,,0,0,Thu Aug 19 2021 10:11:43 GMT-0300 (Brasilia Standard Time),Wed Aug 18 2021 18:59:08 GMT-0300 (Brasilia Standard Time)
@BolsonaroSP @taoquei1 Enquanto isso no Brasil também... obrigatoriedade de vacinas. Se não se vacinar você funcion… https://t.co/R7mKfOC1Q6,denarium,,,1083356029948215300,vpodvp,,,0,0,Thu Aug 19 2021 10:11:43 GMT-0300 (Brasilia Standard Time),Wed Aug 18 2021 16:26:45 GMT-0300 (Brasilia Standard Time)
"📌 Por meio de um decreto, o governador do Estado, Antonio Denarium (sem partido), quer cortar o salário dos servido… https://t.co/8GaJgACdb4",denarium,,,1241018077745221600,_portalopoder,,,0,0,Thu Aug 19 2021 10:11:43 GMT-0300 (Brasilia Standard Time),Wed Aug 18 2021 16:04:51 GMT-0300 (Brasilia Standard Time)
"📌 As aulas da rede estadual são realizadas on-line por conta da pandemia desde março do ano passado.

#roraima… https://t.co/MMhfZmxkY8",denarium,,,1241018077745221600,_portalopoder,,,0,0,Thu Aug 19 2021 10:11:43 GMT-0300 (Brasilia Standard Time),Wed Aug 18 2021 15:30:02 GMT-0300 (Brasilia Standard Time)
@jairbolsonaro aqui em Boa Vista roraima o governador Antonio denarium assinou um decreto dizendo que o servidor qu… https://t.co/W55ZbNbpc5,denarium,,,378613815,Ericasilvasales,,,0,0,Thu Aug 19 2021 10:11:43 GMT-0300 (Brasilia Standard Time),Wed Aug 18 2021 10:48:05 GMT-0300 (Brasilia Standard Time)
"📌 Passados mais de dois anos e meio de gestão, o plano não foi apresentado de forma efetiva, para que a população p… https://t.co/D4SKg3mxG6",denarium,,,1241018077745221600,_portalopoder,,,0,0,Thu Aug 19 2021 10:11:43 GMT-0300 (Brasilia Standard Time),Wed Aug 18 2021 10:20:35 GMT-0300 (Brasilia Standard Time)
"Após hospitalização, governo afirma que Denarium passa bem https://t.co/mDP4FWL1UH",denarium,,,70399781,folhabv,,,0,0,Thu Aug 19 2021 10:11:43 GMT-0300 (Brasilia Standard Time),Wed Aug 18 2021 10:00:01 GMT-0300 (Brasilia Standard Time)
E o Denarium ainda decreta algo? E por cima algo de bom pra sociedade?? https://t.co/Qh8UeaE9jp,denarium,,,600227473,valeriaferreirx,,,0,0,Thu Aug 19 2021 10:11:43 GMT-0300 (Brasilia Standard Time),Wed Aug 18 2021 00:44:07 GMT-0300 (Brasilia Standard Time)
"medida, Denarium informou que teve como base decisão do Supremo Tribunal Federal (STF) que decidiu que estados e mu… https://t.co/NHwVmdQSfn",denarium,,,970476533130330100,istoeroraima,,,0,0,Thu Aug 19 2021 10:11:43 GMT-0300 (Brasilia Standard Time),Tue Aug 17 2021 20:15:56 GMT-0300 (Brasilia Standard Time)
"Governador de Roraima decreta que servidor que não se vacinar pode ter pagamento suspenso

Decreto assinado pelo go… https://t.co/YY5K6TLC22",denarium,,,970476533130330100,istoeroraima,,,0,0,Thu Aug 19 2021 10:11:43 GMT-0300 (Brasilia Standard Time),Tue Aug 17 2021 20:15:55 GMT-0300 (Brasilia Standard Time)
