text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
RT @PauloChuchuSBC: Aconteceu! O ex-ator pornô e dublê de deputado @77_frota conseguiu fazer uma coisa mais baixo nível do que os filmes de…,dória,,,1374039063708237800,ElianeAlfano,,,1486,0,Fri Aug 06 2021 09:12:41 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:12:30 GMT-0300 (Brasilia Standard Time)
"obrigada por tudo João Doria
VACINADA PORRA 🐊🐊🐊🐊🐊 https://t.co/7TaF9fLMqk",dória,,,45224289,debinhadiniz,,,0,0,Fri Aug 06 2021 09:12:41 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:12:17 GMT-0300 (Brasilia Standard Time)
"RT @DouglasGarcia: A TV Cultura, que recebe mamata do Governo Dória, vai ter que provar no tribunal que eu “vazei dados pessoais”. Aguardem…",dória,,,138154594,MooreDeveloper,,,385,0,Fri Aug 06 2021 09:12:41 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:12:06 GMT-0300 (Brasilia Standard Time)
"Pedro Doria citando a Fórum pode ser até um bom sinal, mas também  é um sinal que a conjuntura está gravíssima. https://t.co/xwttqdChFR",dória,,,53939994,hugoalbuquerque,,,0,1,Fri Aug 06 2021 09:12:41 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:11:53 GMT-0300 (Brasilia Standard Time)
"RT @BolsonaroSP: Governo João Doria destina R$ 104 milhões para comprar máscaras de empresa ligada ao Deputado Alexandre Frota.

O inquérit…",dória,,,917979042,Eaguiarr,,,3931,0,Fri Aug 06 2021 09:12:41 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:11:52 GMT-0300 (Brasilia Standard Time)
"RT @BolsonaroSP: Governo João Doria destina R$ 104 milhões para comprar máscaras de empresa ligada ao Deputado Alexandre Frota.

O inquérit…",dória,,,201007779,I_Rincawesky,,,3931,0,Fri Aug 06 2021 09:12:41 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:11:44 GMT-0300 (Brasilia Standard Time)
RT @UOLNoticias: Paraisópolis: Doria autoriza pagamento de indenização a famílias de vítimas https://t.co/mbPLB1EjCZ,dória,,,1360353250466279400,menagildeth,,,4,0,Fri Aug 06 2021 09:12:41 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:11:21 GMT-0300 (Brasilia Standard Time)
RT @IsraelVH12: João Doria destina R$ 104 milhões para comprar máscaras de empresa ligada ao Deputado Alexandre Frota....entenderam pq se m…,dória,,,1411446634932850700,MariaDo40990420,,,903,0,Fri Aug 06 2021 09:12:41 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:10:59 GMT-0300 (Brasilia Standard Time)
"RT @BolsonaroSP: Governo João Doria destina R$ 104 milhões para comprar máscaras de empresa ligada ao Deputado Alexandre Frota.

O inquérit…",dória,,,386119445,fmeirell2,,,3931,0,Fri Aug 06 2021 09:12:41 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:10:44 GMT-0300 (Brasilia Standard Time)
"RT @BolsonaroSP: Governo João Doria destina R$ 104 milhões para comprar máscaras de empresa ligada ao Deputado Alexandre Frota.

O inquérit…",dória,,,184107522,dnsemello,,,3931,0,Fri Aug 06 2021 09:12:41 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:10:36 GMT-0300 (Brasilia Standard Time)
RT @IsraelVH12: João Doria destina R$ 104 milhões para comprar máscaras de empresa ligada ao Deputado Alexandre Frota....entenderam pq se m…,dória,,,104647487,LUIZTESTA,,,903,0,Fri Aug 06 2021 09:12:41 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:10:36 GMT-0300 (Brasilia Standard Time)
"RT @BolsonaroSP: Governo João Doria destina R$ 104 milhões para comprar máscaras de empresa ligada ao Deputado Alexandre Frota.

O inquérit…",dória,,,1401324563468783600,Nandao97229134,,,3931,0,Fri Aug 06 2021 09:12:41 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:10:05 GMT-0300 (Brasilia Standard Time)
"RT @NaoVivoSemMetal: Alexandre Frota não conseguiu nada com Bolsonaro foi atrás do dória, quem é o corrupto?",dória,,,1018197744312307700,CrespoSandrini,,,81,0,Fri Aug 06 2021 09:12:41 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:09:39 GMT-0300 (Brasilia Standard Time)
RT @IsraelVH12: João Doria destina R$ 104 milhões para comprar máscaras de empresa ligada ao Deputado Alexandre Frota....entenderam pq se m…,dória,,,80309894,hhurbano,,,903,0,Fri Aug 06 2021 09:12:41 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:08:59 GMT-0300 (Brasilia Standard Time)
"RT @RodZeidan: Quero Lula como presidente? Não. 

Mas ele não estaria debochando das famílias dos 550 mil mortos e nem estaria impedindo re…",dória,,,52162204,hppoderoso,,,68,0,Fri Aug 06 2021 09:12:41 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:08:48 GMT-0300 (Brasilia Standard Time)
"RT @DouglasGarcia: A TV Cultura, que recebe mamata do Governo Dória, vai ter que provar no tribunal que eu “vazei dados pessoais”. Aguardem…",dória,,,1038491519169306600,SelmaRossi3,,,385,0,Fri Aug 06 2021 09:12:41 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:08:48 GMT-0300 (Brasilia Standard Time)
RT @PauloChuchuSBC: Aconteceu! O ex-ator pornô e dublê de deputado @77_frota conseguiu fazer uma coisa mais baixo nível do que os filmes de…,dória,,,184107522,dnsemello,,,1486,0,Fri Aug 06 2021 09:12:41 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:08:36 GMT-0300 (Brasilia Standard Time)
"RT @MarceloLira_ITZ: Kit Gay, Mamadeira de 🐤, Tratamento Precoce, Briga com China, Birra de adolescente vagabundo com Dória e Flávio Dino,…",dória,,,731065422141882400,LeandroViana79,,,4,0,Fri Aug 06 2021 09:12:41 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:08:32 GMT-0300 (Brasilia Standard Time)
Porque será que Dória e seus aliados do PSDB da região não encaram a população para defender os pedágios? https://t.co/3Ht8k73j4e,dória,Brazil,"Itanhaém, Brasil",42301397,marcelostrama_,,,0,0,Fri Aug 06 2021 09:12:41 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:08:31 GMT-0300 (Brasilia Standard Time)
"@RenanSantosMBL @JoelPinheiro85 Melhora essa camiseta , tem espaço pra acrescentar, além de nem Lula, nem Bolsonaro… https://t.co/bI1ztEyQhy",dória,,,1220151319081689000,zecamor1,,,0,0,Fri Aug 06 2021 09:12:41 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:08:27 GMT-0300 (Brasilia Standard Time)
RT @PauloChuchuSBC: Aconteceu! O ex-ator pornô e dublê de deputado @77_frota conseguiu fazer uma coisa mais baixo nível do que os filmes de…,dória,,,279733437,tuareg32rj,,,1486,0,Fri Aug 06 2021 09:12:41 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:08:19 GMT-0300 (Brasilia Standard Time)
RT @PauloChuchuSBC: Aconteceu! O ex-ator pornô e dublê de deputado @77_frota conseguiu fazer uma coisa mais baixo nível do que os filmes de…,dória,,,1349540505282105300,HPassbh4,,,1486,0,Fri Aug 06 2021 09:12:41 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:08:07 GMT-0300 (Brasilia Standard Time)
RT @PauloChuchuSBC: Aconteceu! O ex-ator pornô e dublê de deputado @77_frota conseguiu fazer uma coisa mais baixo nível do que os filmes de…,dória,,,1266907777949196300,PatricioObed1,,,1486,0,Fri Aug 06 2021 09:12:41 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:08:07 GMT-0300 (Brasilia Standard Time)
"@mfriasoficial @joicehasselmann @jairbolsonaro Excelente …. Kkkk!!! Joice, frota, Kim e Doria que as urnas nos livrem",dória,,,1390062243203715000,paulohe18710170,,,0,0,Fri Aug 06 2021 09:12:41 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:07:43 GMT-0300 (Brasilia Standard Time)
"@rafaelbboa @mqueiroga2 Obrigada, Dória 🤢",dória,,,1192933854992117800,aspasia_maria,,,0,0,Fri Aug 06 2021 09:12:41 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:07:41 GMT-0300 (Brasilia Standard Time)
"RT @CyberPhelipe: @benzatheus Se a Anvisa autorizou e ela continua ainda sendo aplicada, pode ficar de boa. As pessoas estão caindo em fake…",dória,,,453344184,benzatheus,,,1,0,Fri Aug 06 2021 09:12:41 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:07:22 GMT-0300 (Brasilia Standard Time)
"RT @BolsonaroSP: Governo João Doria destina R$ 104 milhões para comprar máscaras de empresa ligada ao Deputado Alexandre Frota.

O inquérit…",dória,,,1213174994978558000,XGalactus,,,3931,0,Fri Aug 06 2021 09:12:41 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:07:19 GMT-0300 (Brasilia Standard Time)
@TatianeFeitos Eu não sei se é  o Randolfe ou o Doria.,dória,,,321286075,luiz_romano4d,,,0,0,Fri Aug 06 2021 09:12:41 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:06:59 GMT-0300 (Brasilia Standard Time)
RT @IsraelVH12: João Doria destina R$ 104 milhões para comprar máscaras de empresa ligada ao Deputado Alexandre Frota....entenderam pq se m…,dória,,,1416316828117258200,AnnaGanga1,,,903,0,Fri Aug 06 2021 09:12:41 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:06:58 GMT-0300 (Brasilia Standard Time)
"Clima péssimo no vestiário após derrota para o Chelsea. Gatito olhando pra parede, Ricardo Gomes chamando o Viniciu… https://t.co/x4NU5lTXFt",dória,,,1413927977491091500,BotafogoFRBot,,,0,0,Fri Aug 06 2021 09:12:41 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:06:55 GMT-0300 (Brasilia Standard Time)
RT @brunavieira: lembrei aqui que falhei com Doria e fui vacinar de calça wide,dória,,,751807462467072000,iisamendesc,,,1,0,Fri Aug 06 2021 09:12:41 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:06:49 GMT-0300 (Brasilia Standard Time)
"RT @BolsonaroSP: Governo João Doria destina R$ 104 milhões para comprar máscaras de empresa ligada ao Deputado Alexandre Frota.

O inquérit…",dória,,,45598894,ArthurCadarn,,,3931,0,Fri Aug 06 2021 09:12:41 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:06:35 GMT-0300 (Brasilia Standard Time)
RT @IsraelVH12: João Doria destina R$ 104 milhões para comprar máscaras de empresa ligada ao Deputado Alexandre Frota....entenderam pq se m…,dória,,,234451159,Orelhudo_,,,903,0,Fri Aug 06 2021 09:12:41 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:06:32 GMT-0300 (Brasilia Standard Time)
@aportinhos mtas filas? vou no inicio da tarde fé em deus que nao vai acabar joao doria vc prometeu,dória,,,144303865,bibianamarques,,,0,0,Fri Aug 06 2021 09:12:41 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:06:09 GMT-0300 (Brasilia Standard Time)
RT @IsraelVH12: João Doria destina R$ 104 milhões para comprar máscaras de empresa ligada ao Deputado Alexandre Frota....entenderam pq se m…,dória,,,1051890795681378300,Kleyton61301247,,,903,0,Fri Aug 06 2021 09:12:41 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:05:54 GMT-0300 (Brasilia Standard Time)
"RT @RodZeidan: Quero Lula como presidente? Não. 

Mas ele não estaria debochando das famílias dos 550 mil mortos e nem estaria impedindo re…",dória,,,2429593566,marcelofec1,,,68,0,Fri Aug 06 2021 09:12:41 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:05:30 GMT-0300 (Brasilia Standard Time)
"RT @BolsonaroSP: Governo João Doria destina R$ 104 milhões para comprar máscaras de empresa ligada ao Deputado Alexandre Frota.

O inquérit…",dória,,,880897781816340500,rosilenesouzae1,,,3931,0,Fri Aug 06 2021 09:12:41 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:05:03 GMT-0300 (Brasilia Standard Time)
"RT @BolsonaroSP: Governo João Doria destina R$ 104 milhões para comprar máscaras de empresa ligada ao Deputado Alexandre Frota.

O inquérit…",dória,,,788075741107945500,julucas_lucas,,,3931,0,Fri Aug 06 2021 09:12:41 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:04:58 GMT-0300 (Brasilia Standard Time)
Doria acusa a pasta federal de ter enviado apenas metade das doses do imunizante da Pfizer a que o Estado tinha dir… https://t.co/PtuQuQ0QeB,dória,,,76732425,jpjornal,,,0,0,Fri Aug 06 2021 09:12:41 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:04:30 GMT-0300 (Brasilia Standard Time)
"@xicograziano Vindo de você @xicograziano fica meio duvidoso, uma vez que você apoia os corruPTos do PT e os seu comparsas (PSDB, DORIA...)",dória,,,713908961796309000,evandomariano,,,0,0,Fri Aug 06 2021 09:12:41 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:03:55 GMT-0300 (Brasilia Standard Time)
"RT @mfriasoficial: A farsa política, chamada João Doria, diz que quer recuperar a Cinemateca. Fazendo como fez com os museus, com verba fed…",dória,,,4258121788,AnyRegi1,,,2197,0,Fri Aug 06 2021 09:12:41 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:03:48 GMT-0300 (Brasilia Standard Time)
"RT @BolsonaroSP: Governo João Doria destina R$ 104 milhões para comprar máscaras de empresa ligada ao Deputado Alexandre Frota.

O inquérit…",dória,,,474251763,pedrinicruz,,,3931,0,Fri Aug 06 2021 09:12:41 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:03:41 GMT-0300 (Brasilia Standard Time)
"RT @Seravat19: Governo João Doria destina R$ 104 milhões para comprar máscaras de empresa ligada ao Deputado Alexandre Frota. Hummmm! 🧐

ht…",dória,,,498404742,WajjtFreitas,,,9,0,Fri Aug 06 2021 09:12:41 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:02:57 GMT-0300 (Brasilia Standard Time)
RT @PauloChuchuSBC: Aconteceu! O ex-ator pornô e dublê de deputado @77_frota conseguiu fazer uma coisa mais baixo nível do que os filmes de…,dória,,,3690110415,AdelaideFeli,,,1486,0,Fri Aug 06 2021 09:12:41 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:02:55 GMT-0300 (Brasilia Standard Time)
"RT @BolsonaroSP: Governo João Doria destina R$ 104 milhões para comprar máscaras de empresa ligada ao Deputado Alexandre Frota.

O inquérit…",dória,,,62676050,dayvesdev,,,3931,0,Fri Aug 06 2021 09:12:41 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:02:31 GMT-0300 (Brasilia Standard Time)
"RT @RodZeidan: Quero Lula como presidente? Não. 

Mas ele não estaria debochando das famílias dos 550 mil mortos e nem estaria impedindo re…",dória,,,38153484,hemanoel,,,68,0,Fri Aug 06 2021 09:12:41 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:02:31 GMT-0300 (Brasilia Standard Time)
"RT @RodZeidan: Quero Lula como presidente? Não. 

Mas ele não estaria debochando das famílias dos 550 mil mortos e nem estaria impedindo re…",dória,,,396693375,lucianorasche72,,,68,0,Fri Aug 06 2021 09:12:41 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:02:23 GMT-0300 (Brasilia Standard Time)
RT @IsraelVH12: João Doria destina R$ 104 milhões para comprar máscaras de empresa ligada ao Deputado Alexandre Frota....entenderam pq se m…,dória,,,1325097682583609300,Sunrise50052540,,,903,0,Fri Aug 06 2021 09:12:41 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:02:08 GMT-0300 (Brasilia Standard Time)
RT @PauloChuchuSBC: Aconteceu! O ex-ator pornô e dublê de deputado @77_frota conseguiu fazer uma coisa mais baixo nível do que os filmes de…,dória,,,1344805354186682400,Debinha51902436,,,1486,0,Fri Aug 06 2021 09:12:41 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:01:36 GMT-0300 (Brasilia Standard Time)
@liberdade_ldr @nikolas_dm Baba ovo do Doria se acha o dono da razão e so vem crescendo na arrogância.,dória,,,1228777702875897900,carlosF65686635,,,0,0,Fri Aug 06 2021 09:12:41 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:01:35 GMT-0300 (Brasilia Standard Time)
@TatianeFeitos o Dória.,dória,,,1338557563374362600,BrunoBergamas10,,,0,0,Fri Aug 06 2021 09:12:41 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:01:18 GMT-0300 (Brasilia Standard Time)
RT @UOLNoticias: Paraisópolis: Doria autoriza pagamento de indenização a famílias de vítimas https://t.co/mbPLB1EjCZ,dória,,,1415280869615542300,Ribeiro31311947,,,4,0,Fri Aug 06 2021 09:12:41 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:01:15 GMT-0300 (Brasilia Standard Time)
"RT @BolsonaroSP: Governo João Doria destina R$ 104 milhões para comprar máscaras de empresa ligada ao Deputado Alexandre Frota.

O inquérit…",dória,,,44258331,maisvalia,,,3931,0,Fri Aug 06 2021 09:12:41 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:01:02 GMT-0300 (Brasilia Standard Time)
RT @LolitaMunin: Pior que é isso mesmo. Doria é impiedoso! #DoriaAnuleDecreto @carlaopignatari  @maurobragato  @PrCarlosCezar https://t.co/…,dória,,,1395787733256315000,SoniaCa40140057,,,22,0,Fri Aug 06 2021 09:12:41 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:00:43 GMT-0300 (Brasilia Standard Time)
"@pedrodoria A pergunta final é piada, né, Doria?",dória,,,3165343372,DonaOtoni,,,0,0,Fri Aug 06 2021 09:12:41 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:00:32 GMT-0300 (Brasilia Standard Time)
@SixelMalvado Boulos assumiu a posição mas Randolfe vem na cola seguido por Dória em queda livre!🤣🤣🤣,dória,,,1385768841070928000,Bernardo54637,,,0,1,Fri Aug 06 2021 09:12:41 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:00:31 GMT-0300 (Brasilia Standard Time)
"RT @claudetecalhei3: Se Dória pensa q aposentados estão mortos, estamos vivinhos e somos mais de 550 mil. Com as famílias seremos milhões.#…",dória,,,1395787733256315000,SoniaCa40140057,,,1,0,Fri Aug 06 2021 09:12:41 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 08:59:53 GMT-0300 (Brasilia Standard Time)
"RT @RodZeidan: Quero Lula como presidente? Não. 

Mas ele não estaria debochando das famílias dos 550 mil mortos e nem estaria impedindo re…",dória,,,183864569,LahSarandy,,,68,0,Fri Aug 06 2021 09:12:41 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 08:59:48 GMT-0300 (Brasilia Standard Time)
@AndreMarinho kkkkkkkkkkkkkkkkkkkkkkkkk ta aí a mistura de Joice e Doria.... fraldinha kkkkkkkkkkkkkkkkkkkkkkkk,dória,,,1089280088607244300,ErikTeotonio,,,0,0,Fri Aug 06 2021 09:12:41 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 08:59:42 GMT-0300 (Brasilia Standard Time)
"Se Dória pensa q aposentados estão mortos, estamos vivinhos e somos mais de 550 mil. Com as famílias seremos milhões.#CarlaoLiberePDL22",dória,,,1414986861093732400,claudetecalhei3,,,1,1,Fri Aug 06 2021 09:12:41 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 08:59:09 GMT-0300 (Brasilia Standard Time)
RT @PauloChuchuSBC: Aconteceu! O ex-ator pornô e dublê de deputado @77_frota conseguiu fazer uma coisa mais baixo nível do que os filmes de…,dória,,,886667497163903000,GiovanniNogue12,,,1486,0,Fri Aug 06 2021 09:12:41 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 08:58:52 GMT-0300 (Brasilia Standard Time)
"RT @SilvanaLourei10: ATÉ QUANDO ⏳ SR. Governador João Dória @jdoriajr ⁉️
ATÉ QUANDO ⌛   @AssembleiaSP  @carlaopignatari  ⁉️
Queremos de vol…",dória,,,1395787733256315000,SoniaCa40140057,,,19,0,Fri Aug 06 2021 09:12:41 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 08:58:49 GMT-0300 (Brasilia Standard Time)
RT @IsraelVH12: João Doria destina R$ 104 milhões para comprar máscaras de empresa ligada ao Deputado Alexandre Frota....entenderam pq se m…,dória,,,1247190683590496300,Rabelowisk11,,,903,0,Fri Aug 06 2021 09:12:41 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 08:58:24 GMT-0300 (Brasilia Standard Time)
"RT @DulciniaTreviz1: ATÉ QUANDO ⏳ SR. Governador João Dória @jdoriajr ⁉️
ATÉ QUANDO ⌛   @AssembleiaSP  @carlaopignatari  ⁉️
Queremos de vol…",dória,,,1419056017170739200,VacchiSandra,,,17,0,Fri Aug 06 2021 09:12:41 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 08:58:21 GMT-0300 (Brasilia Standard Time)
"RT @SilvanaLourei10: ATÉ QUANDO ⏳ SR. Governador João Dória @jdoriajr ⁉️
ATÉ QUANDO ⌛   @AssembleiaSP  @carlaopignatari  ⁉️
Queremos de vol…",dória,,,1419056017170739200,VacchiSandra,,,19,0,Fri Aug 06 2021 09:12:41 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 08:58:16 GMT-0300 (Brasilia Standard Time)
RT @claudetecalhei3: O dia do pagamento é um dia de tristeza p os aposentados. Dória fez um decreto inconstitucional e confiscou nosso salá…,dória,,,1395787733256315000,SoniaCa40140057,,,1,0,Fri Aug 06 2021 09:12:41 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 08:58:11 GMT-0300 (Brasilia Standard Time)
