text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"RT @RafaelFontana: O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apoia o Taleban?…",dória,,,1053129067313143800,limonta_ma,,,2410,0,Mon Aug 16 2021 10:16:37 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:16:20 GMT-0300 (Brasilia Standard Time)
RT @revistaoeste: Doria aumenta repasse de verbas políticas e gasta R$ 1 bilhão até com deputados federais https://t.co/JQwmueyOT3,dória,,,33422997,Renato_Balbi,,,317,0,Mon Aug 16 2021 10:16:37 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:16:13 GMT-0300 (Brasilia Standard Time)
"RT @fec5588fm: Doria está saquendo os cofres do governo de SP.  Vai sair deixando totalmente quebrado, o maior estado da federação, igual o…",dória,,,1231326283780497400,EvandroBandei10,,,65,0,Mon Aug 16 2021 10:16:37 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:16:13 GMT-0300 (Brasilia Standard Time)
Acabei de ver Doria aumenta repasse de verbas políticas e gasta R$ 1 bilhão até com deputados federais - Clique par… https://t.co/MODqN5RUSj,dória,,,946881829524648000,SantosChamano,,,0,0,Mon Aug 16 2021 10:16:37 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:16:11 GMT-0300 (Brasilia Standard Time)
"RT @fec5588fm: Doria está saquendo os cofres do governo de SP.  Vai sair deixando totalmente quebrado, o maior estado da federação, igual o…",dória,,,1388887087773065200,Andr3wRj21,,,65,0,Mon Aug 16 2021 10:16:37 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:16:10 GMT-0300 (Brasilia Standard Time)
"RT @fec5588fm: Doria está saquendo os cofres do governo de SP.  Vai sair deixando totalmente quebrado, o maior estado da federação, igual o…",dória,,,2608872383,itamar_dantas,,,65,0,Mon Aug 16 2021 10:16:37 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:16:08 GMT-0300 (Brasilia Standard Time)
"RT @kimpaim: Imagine se o repasse bilionário que o DORIA fez, que até a Folha reclamou da transparência, fosse feito por Bolsonaro...

Já i…",dória,,,937403559552913400,Cobra_tabagista,,,337,0,Mon Aug 16 2021 10:16:37 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:16:06 GMT-0300 (Brasilia Standard Time)
"RT @fec5588fm: Doria está saquendo os cofres do governo de SP.  Vai sair deixando totalmente quebrado, o maior estado da federação, igual o…",dória,,,1288452485938589700,UniversoQ1,,,65,0,Mon Aug 16 2021 10:16:37 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:16:05 GMT-0300 (Brasilia Standard Time)
"RT @fec5588fm: Doria está saquendo os cofres do governo de SP.  Vai sair deixando totalmente quebrado, o maior estado da federação, igual o…",dória,,,820670314157899800,LucieneSimes2,,,65,0,Mon Aug 16 2021 10:16:37 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:16:05 GMT-0300 (Brasilia Standard Time)
"RT @brunofribeiro: Os bravos repórteres que assinam esse texto receberam 6 mil folhas de papel, em vez de arquivos digitais, quando pediram…",dória,,,1156924277704339500,AnaValriaToled1,,,129,0,Mon Aug 16 2021 10:16:37 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:16:02 GMT-0300 (Brasilia Standard Time)
"RT @kimpaim: Imagine se o repasse bilionário que o DORIA fez, que até a Folha reclamou da transparência, fosse feito por Bolsonaro...

Já i…",dória,,,949301953695305700,ScarpinEduardo,,,337,0,Mon Aug 16 2021 10:16:37 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:16:01 GMT-0300 (Brasilia Standard Time)
#DoriaPareConfisco porque aposentado não é milionário para custear o Estado mais rico da federação @jdoriajr… https://t.co/jiw8gECfqL,dória,,,359530640,ceciliabarto,,,0,0,Mon Aug 16 2021 10:16:37 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:15:55 GMT-0300 (Brasilia Standard Time)
"RT @kimpaim: Imagine se o repasse bilionário que o DORIA fez, que até a Folha reclamou da transparência, fosse feito por Bolsonaro...

Já i…",dória,,,1373698721012146200,xiaoyaojp001,,,337,0,Mon Aug 16 2021 10:16:37 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:15:52 GMT-0300 (Brasilia Standard Time)
"RT @fec5588fm: Doria está saquendo os cofres do governo de SP.  Vai sair deixando totalmente quebrado, o maior estado da federação, igual o…",dória,,,1056291013097087000,RosanaSilvino,,,65,0,Mon Aug 16 2021 10:16:37 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:15:48 GMT-0300 (Brasilia Standard Time)
"RT @fec5588fm: Doria está saquendo os cofres do governo de SP.  Vai sair deixando totalmente quebrado, o maior estado da federação, igual o…",dória,,,1205881245814657000,PatriotaHomer,,,65,0,Mon Aug 16 2021 10:16:37 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:15:48 GMT-0300 (Brasilia Standard Time)
"RT @fec5588fm: Doria está saquendo os cofres do governo de SP.  Vai sair deixando totalmente quebrado, o maior estado da federação, igual o…",dória,,,1390003195615883300,Roseane72653802,,,65,0,Mon Aug 16 2021 10:16:37 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:15:47 GMT-0300 (Brasilia Standard Time)
RT @TerraBrasilnot: Doria aumenta repasse de verbas políticas e gasta R$ 1 bilhão até com deputados federais https://t.co/qJuX8QJSd2,dória,,,1081701690758385700,JonathasJunior3,,,161,0,Mon Aug 16 2021 10:16:37 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:15:45 GMT-0300 (Brasilia Standard Time)
RT @LeoniceMariana1: Acabei de ver Doria aumenta repasse de verbas políticas e gasta R$ 1 bilhão até com deputados federais - Clique para v…,dória,,,621142162,dredsensato,,,6,0,Mon Aug 16 2021 10:16:37 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:15:43 GMT-0300 (Brasilia Standard Time)
"RT @JanainaDoBrasil: Eu fui a primeira pessoa a escrever, neste Twitter, que Bolsonaro é criticado todos os dias, por ter um tal orçamento…",dória,,,33422997,Renato_Balbi,,,134,0,Mon Aug 16 2021 10:16:37 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:15:41 GMT-0300 (Brasilia Standard Time)
"RT @fec5588fm: Doria está saquendo os cofres do governo de SP.  Vai sair deixando totalmente quebrado, o maior estado da federação, igual o…",dória,,,2302910702,EWaschburger,,,65,0,Mon Aug 16 2021 10:16:37 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:15:41 GMT-0300 (Brasilia Standard Time)
@LettaCameron João Doria?,dória,,,1222769871689261000,mkkbae,,,0,0,Mon Aug 16 2021 10:16:37 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:15:41 GMT-0300 (Brasilia Standard Time)
"RT @fec5588fm: Doria está saquendo os cofres do governo de SP.  Vai sair deixando totalmente quebrado, o maior estado da federação, igual o…",dória,,,1426163701137264600,MegaSena007,,,65,0,Mon Aug 16 2021 10:16:37 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:15:40 GMT-0300 (Brasilia Standard Time)
RT @rafaelbboa: Acelera Doria. 👉🏻 https://t.co/p8mH8fTSNU,dória,,,1123233726572449800,EFontes3,,,27,0,Mon Aug 16 2021 10:16:37 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:15:40 GMT-0300 (Brasilia Standard Time)
"Coe João Dória, num acaba nunca essa quarentena?",dória,,,1182451862957691000,ojaodemerda,,,0,0,Mon Aug 16 2021 10:16:37 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:15:39 GMT-0300 (Brasilia Standard Time)
