text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"RT @lacombeopresso2: Perguntar não ofende. O MBL já se manifestou contra o Doria fazer acordo com o centrão, Chamando o Rodrigo Maia para s…",dória,,,1385664289588007000,VanilzeteM,,,1198,0,Thu Aug 19 2021 19:51:36 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:51:34 GMT-0300 (Brasilia Standard Time)
"RT @DepEduardoCunha: Sem qualquer relevância mais no cenário politico, Rodrigo Maia vai virar agora funcionário de Doria.",dória,,,1239994230988300300,marcelopirate_2,,,1950,0,Thu Aug 19 2021 19:51:36 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:51:34 GMT-0300 (Brasilia Standard Time)
"@RodrigoMaia tá facial não hem de possível candidato a presidência a secretário do dória rapaz 
#MaiaDecadente",dória,,,614490300,adriano75156511,,,0,0,Thu Aug 19 2021 19:51:36 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:51:32 GMT-0300 (Brasilia Standard Time)
"RT @marcelloneves72: O cara é Deputado Federal pelo Rio de Janeiro e vai assumir um cargo no Governo Doria. Resumindo, Rodrigo Maia esta li…",dória,,,772422728519417900,jlthuller,,,508,0,Thu Aug 19 2021 19:51:36 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:51:31 GMT-0300 (Brasilia Standard Time)
"RT @kimpaim: Doria = Maia = Kassab = Lula

Doria é Lula",dória,,,1109353422657110000,AdenilsonFreit9,,,271,0,Thu Aug 19 2021 19:51:36 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:51:30 GMT-0300 (Brasilia Standard Time)
"RT @2022Enquetes: Qual sua avalição do governo de João Doria, governador de São Paulo ?",dória,,,1378804745171779600,FlavioRoMart,,,241,0,Thu Aug 19 2021 19:51:36 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:51:25 GMT-0300 (Brasilia Standard Time)
"RT @2022Enquetes: Qual sua avalição do governo de João Doria, governador de São Paulo ?",dória,,,1094748247682412500,VitorCa66906517,,,241,0,Thu Aug 19 2021 19:51:36 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:51:24 GMT-0300 (Brasilia Standard Time)
"@LaurinhaIronic É uma provocação partidária, não posso dizer pelos 26, mas SP? Queremos comer o Dória com. Farofa!",dória,,,1364035557119185000,OIluministro,,,0,0,Thu Aug 19 2021 19:51:36 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:51:24 GMT-0300 (Brasilia Standard Time)
"RT @olgaapppicarell: Mesmo desacreditados e ignorados  por todos, não podemos  desistir, pois para nós, João Dória @jdoriajr deixe a ALESP…",dória,,,1350436392011243500,Paulo65652394,,,5,0,Thu Aug 19 2021 19:51:36 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:51:23 GMT-0300 (Brasilia Standard Time)
"RT @WORD_NEWSS: Espiritualidade:

Famoso Médium brasileiro afirma que Maia-Dória pode ser a reencarnação de Clinton e Lewinsky. https://t.c…",dória,,,1032042293300285400,LeitorMarcos,,,234,0,Thu Aug 19 2021 19:51:36 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:51:23 GMT-0300 (Brasilia Standard Time)
"RT @lacombeopresso2: Perguntar não ofende. O MBL já se manifestou contra o Doria fazer acordo com o centrão, Chamando o Rodrigo Maia para s…",dória,,,115975662,coyote384,,,1198,0,Thu Aug 19 2021 19:51:36 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:51:19 GMT-0300 (Brasilia Standard Time)
"RT @marcelloneves72: O cara é Deputado Federal pelo Rio de Janeiro e vai assumir um cargo no Governo Doria. Resumindo, Rodrigo Maia esta li…",dória,,,1015576430,lightWarriorNe,,,508,0,Thu Aug 19 2021 19:51:36 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:51:18 GMT-0300 (Brasilia Standard Time)
"RT @bernardokuster2: Virar empregadinho do Dória é o último estágio de nulidade política. Você merece, Nhonho!
https://t.co/4yzxWBoZTf",dória,,,800830316453724200,RolimTeresa,,,542,0,Thu Aug 19 2021 19:51:36 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:51:15 GMT-0300 (Brasilia Standard Time)
"Gov. Dória, qdo o Sr assinou o decreto 65021/20, o famigerado confisco, viu os aposentados como peso morto, inúteis… https://t.co/8HocrLVnux",dória,,,1343261936083939300,ClaudineiaTelli,,,0,0,Thu Aug 19 2021 19:51:36 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:51:14 GMT-0300 (Brasilia Standard Time)
"Em entrevista, o ex-prefeito de THE, Silvio Mendes, declarou-se pré-candidato a GOV às Eleições de 22. Também deixo… https://t.co/ujDyZFmure",dória,,,1367637260150202400,weslleydemespi,,,0,0,Thu Aug 19 2021 19:51:36 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:51:11 GMT-0300 (Brasilia Standard Time)
"@GabiLulu22 @olga_doda @jdoriajr @carlaopignatari @maurobragato @AssembleiaSP AGRIPINO DÓRIA, CHEGA DE CONFISCO AOS… https://t.co/BjP6GjJAss",dória,,,1403131434496368600,VALCARV52169014,,,0,0,Thu Aug 19 2021 19:51:36 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:51:11 GMT-0300 (Brasilia Standard Time)
"RT @BloombergLBr: #EXCLUSIVO: Doria (@jdoriajr) diz que o presidente Jair Bolsonaro (@jairbolsonaro) é um ""criminoso"" que será julgado por…",dória,,,2277204910,davi754,,,1319,0,Thu Aug 19 2021 19:51:36 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:51:10 GMT-0300 (Brasilia Standard Time)
"RT @marcelloneves72: O cara é Deputado Federal pelo Rio de Janeiro e vai assumir um cargo no Governo Doria. Resumindo, Rodrigo Maia esta li…",dória,,,1375484712442036200,Rose26795451,,,508,0,Thu Aug 19 2021 19:51:36 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:51:10 GMT-0300 (Brasilia Standard Time)
"RT @avila_rosilene: @SoniaCa40140057 @jdoriajr @carlaopignatari #DoriaPrejudicaAposentados 
Doria é tirano demais!",dória,,,1402094310179360800,Daguinha4,,,4,0,Thu Aug 19 2021 19:51:36 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:51:09 GMT-0300 (Brasilia Standard Time)
RT @Fasalles: O mais novo empregadinho do Doria! https://t.co/1tzvnULODF,dória,,,817420441,DiniCamargo,,,35,0,Thu Aug 19 2021 19:51:36 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:51:09 GMT-0300 (Brasilia Standard Time)
JOÃO DORIA JÁ PODE ME MONITORAR!!!,dória,,,443093986,glcrms_,,,0,0,Thu Aug 19 2021 19:51:36 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:51:08 GMT-0300 (Brasilia Standard Time)
"RT @ValHCarvalho: @Mara59597932 @jdoriajr @carlaopignatari @AssembleiaSP Agripino Dória, chega de confisco previdenciário nas aposentadoria…",dória,,,1402094310179360800,Daguinha4,,,2,0,Thu Aug 19 2021 19:51:36 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:51:06 GMT-0300 (Brasilia Standard Time)
"RT @2022Enquetes: Qual sua avalição do governo de João Doria, governador de São Paulo ?",dória,,,1378699774518517800,ramos_destro,,,241,0,Thu Aug 19 2021 19:51:36 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:51:05 GMT-0300 (Brasilia Standard Time)
"Com Maia e FHC, Doria coloca campanha na rua e elege Bolsonaro como adversário | Brasil de Fato https://t.co/UsnpMYgKwb",dória,,,1560797137,tarlouze,,,0,0,Thu Aug 19 2021 19:51:36 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:51:00 GMT-0300 (Brasilia Standard Time)
"@g1saopaulo Vai, Doria, libera tudo 😍🙏🏻",dória,,,3065038198,xrehplay,,,0,0,Thu Aug 19 2021 19:51:36 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:51:00 GMT-0300 (Brasilia Standard Time)
"Com Maia e FHC, Doria coloca campanha na rua e elege Bolsonaro como adversário | Brasil de Fato https://t.co/xIgF0pPAex",dória,,,1291527256083517400,ancipado,,,0,0,Thu Aug 19 2021 19:51:36 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:50:59 GMT-0300 (Brasilia Standard Time)
