text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"Aprovem PDL22! 🗣️ Sr Dória , o descaso com os aposentados de São Paulo é aterrorizante! Não  conseguimos mais sobre… https://t.co/ziUQn3eUi8",dória,,,1367954264170111000,GaliciaManu,,,0,0,Tue Aug 10 2021 20:18:46 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 20:18:43 GMT-0300 (Brasilia Standard Time)
"RT @JornalBSM: Imagens obtidas com exclusividade pelo BSM mostram encontro nesta segunda-feira (9) entre o ministro do STF, o ex-presidente…",dória,,,503239202,Zasandri,,,1374,0,Tue Aug 10 2021 20:18:46 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 20:18:43 GMT-0300 (Brasilia Standard Time)
"RT @Marcio_R_Cruz: Pronto Dória, já arrumei seu tuíte. Maldito corretor ortográfico https://t.co/XZ7zcNsKAI",dória,,,1256293731835281400,Ricardo64266735,,,242,0,Tue Aug 10 2021 20:18:46 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 20:18:42 GMT-0300 (Brasilia Standard Time)
"RT @oiIuiz: É gabinete paralelo que fala?

https://t.co/JlWyDpurrD https://t.co/CqbAi3tXIj",dória,,,1386492758165184500,GilbertoluizEs2,,,1508,0,Tue Aug 10 2021 20:18:46 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 20:18:37 GMT-0300 (Brasilia Standard Time)
@chrisferrao1802 @BorboletaDirceu @claudioedantas Que Poder o Maia é chefe? Que poder o vice do Doria é chefe? E ma… https://t.co/J8d7IDjLPh,dória,,,50636251,zewestphalen,,,0,0,Tue Aug 10 2021 20:18:46 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 20:18:37 GMT-0300 (Brasilia Standard Time)
"RT @viniciussexto: Hoje Alexandre de Moraes, Rodrigo Maia e Rodrigo Garcia (vice do Doria) se encontraram em uma churrascaria para discutir…",dória,,,1042149208847994900,NajaSamira,,,68,0,Tue Aug 10 2021 20:18:46 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 20:18:31 GMT-0300 (Brasilia Standard Time)
"RT @SigaGazetaBR: Alexandre de Moraes, do STF, Maia, e vice de Doria se encontram em churrascaria de SP 

https://t.co/pNDon6aLcZ",dória,,,30358619,Aklons,,,2082,0,Tue Aug 10 2021 20:18:46 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 20:18:30 GMT-0300 (Brasilia Standard Time)
"RT @JornalBSM: Imagens obtidas com exclusividade pelo BSM mostram encontro nesta segunda-feira (9) entre o ministro do STF, o ex-presidente…",dória,,,706849099,nilsonbotega1,,,1374,0,Tue Aug 10 2021 20:18:46 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 20:18:28 GMT-0300 (Brasilia Standard Time)
"@VEJA @radaronline DORIA PRECISA ALEM DE PROIBIR VENDA ILEGAL DE MADEIRA, AJUDAR OS PROPRIETARIOS A FAZEREM REFLORE… https://t.co/SE2g82fTCq",dória,,,2919086701,tupaceara,,,0,0,Tue Aug 10 2021 20:18:46 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 20:18:27 GMT-0300 (Brasilia Standard Time)
"RT @gouveia_kita: Que reuniãozinha é essa do Xandão , Nhonho e do vice do Dória? Aí tem ! 🤬 #VotoImpressoAuditavelJa2022 https://t.co/D7wzn…",dória,,,1400149817209327600,Joselen58920205,,,20,0,Tue Aug 10 2021 20:18:46 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 20:18:26 GMT-0300 (Brasilia Standard Time)
