text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
RT @nikolas_dm: Denúncia grave: Dória mentiu pra você. https://t.co/A3XlyhdPJ2,dória,,,2772361509,marquinhococa1,,,2486,0,Wed Aug 25 2021 19:47:49 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 19:47:47 GMT-0300 (Brasilia Standard Time)
RT @fernandobobby7: O Dória mentiu tanto no Roda Morta que nem os checadores enviezados conseguiram ignorar. https://t.co/psShe0j6fb,dória,,,1383094399731699700,Eduardo95394084,,,1745,0,Wed Aug 25 2021 19:47:49 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 19:47:47 GMT-0300 (Brasilia Standard Time)
RT @profpaulamarisa: O Doria tb vai ser investigado por fake news? https://t.co/LCQPBiOgnd,dória,,,1372365475280265200,tischergilson,,,504,0,Wed Aug 25 2021 19:47:49 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 19:47:47 GMT-0300 (Brasilia Standard Time)
Doria diz que oitava dose em idosos poderá ser aplicada antes de 2023. https://t.co/ejQIGZrhqp,dória,,,1060870389700681700,otarionista,,,0,0,Wed Aug 25 2021 19:47:49 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 19:47:45 GMT-0300 (Brasilia Standard Time)
"RT @ValStrongest: Faltam palavras para descrever o quanto canalha é esta chamada da CNN. 
Presidente Bolsonaro alertou que, após ZERAR IMPO…",dória,,,3473818636,joejoejs1984,,,24,0,Wed Aug 25 2021 19:47:49 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 19:47:43 GMT-0300 (Brasilia Standard Time)
RT @GuilhermeBoulos: Vejam o absurdo da política habitacional de Doria em São Bernardo do Campo. Só marketing! https://t.co/xVW2KV44Rx,dória,,,71381774,karly1313,,,163,0,Wed Aug 25 2021 19:47:49 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 19:47:42 GMT-0300 (Brasilia Standard Time)
"RT @BolsonaroSP: Faltam palavras p descrever o quanto canalha é esta chamada da CNN

PR alertou q, após ZERAR IMPOSTOS FEDERAIS, na refinar…",dória,,,94393261,cb007,,,2412,0,Wed Aug 25 2021 19:47:49 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 19:47:41 GMT-0300 (Brasilia Standard Time)
"RT @carlosjordy: Mais uma mentira do Doria, um mau caráter que não assume o que faz. Mentiu sobre a eficácia 100% da coronavac para zero ch…",dória,,,3028854634,engnadiariosgm1,,,1083,0,Wed Aug 25 2021 19:47:49 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 19:47:41 GMT-0300 (Brasilia Standard Time)
"RT @CanaldoFalcao1: ATENÇÃO!
Vamos ter cuidado com os infiltrados na manifestação.
Estaremos protegidos pelas autoridades de segurança , se…",dória,,,27387049,cengelbert,,,600,0,Wed Aug 25 2021 19:47:49 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 19:47:40 GMT-0300 (Brasilia Standard Time)
RT @nikolas_dm: Denúncia grave: Dória mentiu pra você. https://t.co/A3XlyhdPJ2,dória,,,176092460,alanschmidel,,,2486,0,Wed Aug 25 2021 19:47:49 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 19:47:37 GMT-0300 (Brasilia Standard Time)
RT @nikolas_dm: Denúncia grave: Dória mentiu pra você. https://t.co/A3XlyhdPJ2,dória,,,1231912837871784000,Marciol24623428,,,2486,0,Wed Aug 25 2021 19:47:49 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 19:47:34 GMT-0300 (Brasilia Standard Time)
RT @profpaulamarisa: O Doria tb vai ser investigado por fake news? https://t.co/LCQPBiOgnd,dória,,,59341222,kornpb,,,504,0,Wed Aug 25 2021 19:47:49 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 19:47:34 GMT-0300 (Brasilia Standard Time)
"@BolsonaroSP @mqueiroga2 Esse é o demônio João dória,o lixo dos paulista ,o fruto das urnas eletrônica",dória,,,1428785916303351800,NilsonBarreiros,,,0,0,Wed Aug 25 2021 19:47:49 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 19:47:27 GMT-0300 (Brasilia Standard Time)
RT @vivimendes_sp: É muito grave o que está acontecendo em SP. A esquerda está impedida de se manifestar em QUALQUER LUGAR DA CIDADE no dia…,dória,,,142141975,nadiabambirra,,,17,0,Wed Aug 25 2021 19:47:49 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 19:47:27 GMT-0300 (Brasilia Standard Time)
"RT @N_Carvalheira: - Doria é um desqualificado, diz Aécio Neves.

. https://t.co/T5WBN107CP",dória,,,1560305988,PapaiMauricio,,,4,0,Wed Aug 25 2021 19:47:49 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 19:47:25 GMT-0300 (Brasilia Standard Time)
RT @profpaulamarisa: O Doria tb vai ser investigado por fake news? https://t.co/LCQPBiOgnd,dória,,,1417482649355104300,LopesPatriota1,,,504,0,Wed Aug 25 2021 19:47:49 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 19:47:24 GMT-0300 (Brasilia Standard Time)
RT @nikolas_dm: Denúncia grave: Dória mentiu pra você. https://t.co/A3XlyhdPJ2,dória,,,1379640121000145000,TomCastilhano,,,2486,0,Wed Aug 25 2021 19:47:49 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 19:47:24 GMT-0300 (Brasilia Standard Time)
RT @DouglasGarcia: Pelo menos dois Coronéis já se manifestaram contra João Dória e a favor do 7 de Setembro. Há movimentos de PMs locando ô…,dória,,,928617635645976600,RuiterOrlandi,,,1141,0,Wed Aug 25 2021 19:47:49 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 19:47:23 GMT-0300 (Brasilia Standard Time)
RT @rapha_prado: O ano é 2021 e a gente tá aqui retuitando Doria pra combater mentira do Genocida. 🤦🏻‍♂️ https://t.co/TJ9hbLqLPr,dória,,,784970501735194600,MatsBats23,,,2,0,Wed Aug 25 2021 19:47:49 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 19:47:17 GMT-0300 (Brasilia Standard Time)
