text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"RT @rafa_c_ramos: Putz oq essa aceleração da vacinação deve ter feito na popularidade do Ibaneis é sacanagem, mas temos que continuar na op…",ibaneis,,,311090543,davifdsousa,,,27,0,Sun Aug 15 2021 20:02:06 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:53:36 GMT-0300 (Brasilia Standard Time)
RT @leandrograss: A maior semelhança entre Bolsonaro e Ibaneis é a preguiça. Zero trabalho.,ibaneis,,,2563727019,AlvarenMarilia,,,8,0,Sun Aug 15 2021 20:02:06 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:38:02 GMT-0300 (Brasilia Standard Time)
RT @leandrograss: A maior semelhança entre Bolsonaro e Ibaneis é a preguiça. Zero trabalho.,ibaneis,,,198181485,heliomdoyle,,,8,0,Sun Aug 15 2021 20:02:06 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:33:46 GMT-0300 (Brasilia Standard Time)
RT @leandrograss: A maior semelhança entre Bolsonaro e Ibaneis é a preguiça. Zero trabalho.,ibaneis,,,1171173876233048000,rafa_c_ramos,,,8,0,Sun Aug 15 2021 20:02:06 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:20:30 GMT-0300 (Brasilia Standard Time)
RT @leandrograss: A maior semelhança entre Bolsonaro e Ibaneis é a preguiça. Zero trabalho.,ibaneis,,,942176977,luigiberzoini,,,8,0,Sun Aug 15 2021 20:02:06 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:19:05 GMT-0300 (Brasilia Standard Time)
RT @leandrograss: A maior semelhança entre Bolsonaro e Ibaneis é a preguiça. Zero trabalho.,ibaneis,,,53433872,l_uarde,,,8,0,Sun Aug 15 2021 20:02:06 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:13:02 GMT-0300 (Brasilia Standard Time)
"@leandrograss Que isso, Ibaneis é bem disposto e proativo quando o assunto é trabalhar por Corrente-PI!",ibaneis,,,44473454,asanortino,,,0,3,Sun Aug 15 2021 20:02:06 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:10:50 GMT-0300 (Brasilia Standard Time)
RT @leandrograss: A maior semelhança entre Bolsonaro e Ibaneis é a preguiça. Zero trabalho.,ibaneis,,,1237172382172938200,MacriodosSanto5,,,8,0,Sun Aug 15 2021 20:02:06 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:07:17 GMT-0300 (Brasilia Standard Time)
RT @leandrograss: A maior semelhança entre Bolsonaro e Ibaneis é a preguiça. Zero trabalho.,ibaneis,,,1669074486,luizverso,,,8,0,Sun Aug 15 2021 20:02:06 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:06:24 GMT-0300 (Brasilia Standard Time)
RT @leandrograss: A maior semelhança entre Bolsonaro e Ibaneis é a preguiça. Zero trabalho.,ibaneis,,,276970917,ravisilvas,,,8,0,Sun Aug 15 2021 20:02:06 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:06:17 GMT-0300 (Brasilia Standard Time)
A maior semelhança entre Bolsonaro e Ibaneis é a preguiça. Zero trabalho.,ibaneis,,,63507573,leandrograss,,,8,77,Sun Aug 15 2021 20:02:06 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:05:04 GMT-0300 (Brasilia Standard Time)
"O governador do Distrito Federal, Ibaneis Rocha (MDB), disse que a vacinação contra a Covid-19 de jovens de 18 e 19… https://t.co/djeqkGJ9CS",ibaneis,,,806923857206444000,CadeBrasilia,,,0,0,Sun Aug 15 2021 20:02:06 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 18:59:38 GMT-0300 (Brasilia Standard Time)
"RT @telmafontes11: Dória(PSDB), Claudio Castro(PSC), Ronaldo Caiado(DEM), Ratinho Junior(PSD), Renato Casagrande, Eduardo Leite (PSDB), Iba…",ibaneis,,,160525513,justinianoneto,,,1,0,Sun Aug 15 2021 20:02:06 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 18:58:33 GMT-0300 (Brasilia Standard Time)
"RT @DFDaDepre: A privatização da CEB trouxe mais apagões para o DF. Valeu, Ibaneis. Sempre se superando!👍",ibaneis,,,16979783,Rafael_Parente,,,39,0,Sun Aug 15 2021 20:02:06 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 18:55:21 GMT-0300 (Brasilia Standard Time)
"@ajeitadinha Vamos conversar, debater e construir. Ibaneis abandonou o serviço público. Acredito em uma gestão técn… https://t.co/ySYnsVKEjE",ibaneis,,,63507573,leandrograss,,,0,0,Sun Aug 15 2021 20:02:06 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 18:12:31 GMT-0300 (Brasilia Standard Time)
"RT @DFDaDepre: A privatização da CEB trouxe mais apagões para o DF. Valeu, Ibaneis. Sempre se superando!👍",ibaneis,,,1276288076,profmariocastro,,,39,0,Sun Aug 15 2021 20:02:06 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 17:43:18 GMT-0300 (Brasilia Standard Time)
"RT @DFDaDepre: A privatização da CEB trouxe mais apagões para o DF. Valeu, Ibaneis. Sempre se superando!👍",ibaneis,,,2750068845,GaalahadF,,,39,0,Sun Aug 15 2021 20:02:06 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 17:43:14 GMT-0300 (Brasilia Standard Time)
"RT @leandrograss: Ibaneis nunca foi gestor público. Nem tem formação para isso. Gosta de poder, não de trabalho. Anda de helicóptero e só p…",ibaneis,,,1085052400208097300,candybrubs,,,84,0,Sun Aug 15 2021 20:02:06 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 17:40:36 GMT-0300 (Brasilia Standard Time)
"Dória(PSDB), Claudio Castro(PSC), Ronaldo Caiado(DEM), Ratinho Junior(PSD), Renato Casagrande, Eduardo Leite (PSDB)… https://t.co/oKDA96lV48",ibaneis,,,405873099,telmafontes11,,,1,1,Sun Aug 15 2021 20:02:06 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 17:29:11 GMT-0300 (Brasilia Standard Time)
"RT @leandrograss: Ibaneis nunca foi gestor público. Nem tem formação para isso. Gosta de poder, não de trabalho. Anda de helicóptero e só p…",ibaneis,,,308154813,taaaaainazao,,,84,0,Sun Aug 15 2021 20:02:06 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 17:27:29 GMT-0300 (Brasilia Standard Time)
"RT @DFDaDepre: A privatização da CEB trouxe mais apagões para o DF. Valeu, Ibaneis. Sempre se superando!👍",ibaneis,,,703961955623706600,GBMartins1995,,,39,0,Sun Aug 15 2021 20:02:06 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 17:23:36 GMT-0300 (Brasilia Standard Time)
"RT @ceimuitatreta: Ibaneis acabou de falar
A partir de Terça feira começa a Vacinação +18.
Geração tik Tok e que não tiveram Orkut e Msn, c…",ibaneis,,,886986965849124900,FernandsBt,,,157,0,Sun Aug 15 2021 20:02:06 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 17:16:02 GMT-0300 (Brasilia Standard Time)
RT @PoliticaemBSB: A privatização da CEB é mais um legado de Ibaneis Rocha. Agora temos apagões diários por todo o Distrito Federal. Parabé…,ibaneis,,,1394809275583770600,TeresaArrais,,,3,0,Sun Aug 15 2021 20:02:06 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 16:55:50 GMT-0300 (Brasilia Standard Time)
Se ibaneis se reeleger a governador é melhor fechar o DF e evacuar essa merda,ibaneis,,,51074105,andrefelipramos,,,0,2,Sun Aug 15 2021 20:02:06 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 16:53:40 GMT-0300 (Brasilia Standard Time)
"RT @rafa_c_ramos: Putz oq essa aceleração da vacinação deve ter feito na popularidade do Ibaneis é sacanagem, mas temos que continuar na op…",ibaneis,,,1074278136,bernardo_c13,,,27,0,Sun Aug 15 2021 20:02:06 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 16:50:05 GMT-0300 (Brasilia Standard Time)
ibaneis por favor entre na minha casa e vacine o cu de toda minha família,ibaneis,,,1132033463488524300,VianaGabriel4,,,0,0,Sun Aug 15 2021 20:02:06 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 16:48:39 GMT-0300 (Brasilia Standard Time)
"RT @DFDaDepre: A privatização da CEB trouxe mais apagões para o DF. Valeu, Ibaneis. Sempre se superando!👍",ibaneis,,,214446273,_rayssex,,,39,0,Sun Aug 15 2021 20:02:06 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 16:48:07 GMT-0300 (Brasilia Standard Time)
"RT @DFDaDepre: A privatização da CEB trouxe mais apagões para o DF. Valeu, Ibaneis. Sempre se superando!👍",ibaneis,,,58906329,ylsrch,,,39,0,Sun Aug 15 2021 20:02:06 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 16:47:30 GMT-0300 (Brasilia Standard Time)
"RT @leandrograss: Ibaneis nunca foi gestor público. Nem tem formação para isso. Gosta de poder, não de trabalho. Anda de helicóptero e só p…",ibaneis,,,709623148187160600,vigorzito,,,84,0,Sun Aug 15 2021 20:02:06 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 16:46:46 GMT-0300 (Brasilia Standard Time)
"RT @leandrograss: Ibaneis nunca foi gestor público. Nem tem formação para isso. Gosta de poder, não de trabalho. Anda de helicóptero e só p…",ibaneis,,,828781312303624200,_Gimonte,,,84,0,Sun Aug 15 2021 20:02:06 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 16:39:06 GMT-0300 (Brasilia Standard Time)
"RT @leandrograss: Ibaneis nunca foi gestor público. Nem tem formação para isso. Gosta de poder, não de trabalho. Anda de helicóptero e só p…",ibaneis,,,1720043863,koelhos,,,84,0,Sun Aug 15 2021 20:02:06 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 16:36:58 GMT-0300 (Brasilia Standard Time)
"RT @leandrograss: Ibaneis nunca foi gestor público. Nem tem formação para isso. Gosta de poder, não de trabalho. Anda de helicóptero e só p…",ibaneis,,,1010718070199980000,victorialc_,,,84,0,Sun Aug 15 2021 20:02:06 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 16:35:21 GMT-0300 (Brasilia Standard Time)
"RT @leandrograss: Ibaneis nunca foi gestor público. Nem tem formação para isso. Gosta de poder, não de trabalho. Anda de helicóptero e só p…",ibaneis,,,1241392181736353800,LeoTMPaula,,,84,0,Sun Aug 15 2021 20:02:06 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 16:29:51 GMT-0300 (Brasilia Standard Time)
"RT @leandrograss: Ibaneis nunca foi gestor público. Nem tem formação para isso. Gosta de poder, não de trabalho. Anda de helicóptero e só p…",ibaneis,,,3178660426,gabiilss,,,84,0,Sun Aug 15 2021 20:02:06 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 16:25:51 GMT-0300 (Brasilia Standard Time)
"RT @DFDaDepre: A privatização da CEB trouxe mais apagões para o DF. Valeu, Ibaneis. Sempre se superando!👍",ibaneis,,,1137001215789809700,analuisa_dmd,,,39,0,Sun Aug 15 2021 20:02:06 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 16:23:40 GMT-0300 (Brasilia Standard Time)
