text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"RT @neuzaortiz: O governador do Distrito Federal, IBANEIS ROCHA, pretende gastar R$ 26 milhões na construção do MUSEU DA BÍBLIA. Entretanto…",ibaneis,,,1103818235265339400,AnaLuizaHolan10,,,2,0,Thu Aug 12 2021 19:54:26 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 19:52:41 GMT-0300 (Brasilia Standard Time)
"RT @neuzaortiz: O governador do Distrito Federal, IBANEIS ROCHA, pretende gastar R$ 26 milhões na construção do MUSEU DA BÍBLIA. Entretanto…",ibaneis,,,1424811341567742000,bolinhamaia,,,2,0,Thu Aug 12 2021 19:54:26 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 19:44:04 GMT-0300 (Brasilia Standard Time)
"O governador do Distrito Federal, IBANEIS ROCHA, pretende gastar R$ 26 milhões na construção do MUSEU DA BÍBLIA. En… https://t.co/U957g6XVyv",ibaneis,,,171315754,neuzaortiz,,,2,6,Thu Aug 12 2021 19:54:26 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 19:43:41 GMT-0300 (Brasilia Standard Time)
RT @leandrograss: Nem o secretário da cultura é a favor do Museu da Bíblia e Ibaneis insiste nesse projeto. É uma heresia gastar tanto em a…,ibaneis,,,161648527,mariomlapolli,,,24,0,Thu Aug 12 2021 19:54:26 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 19:32:56 GMT-0300 (Brasilia Standard Time)
"A deputada distrital Jaqueline Silva está de malas prontas para deixar o PTB e ingressar de vez, no Partido Agir, a… https://t.co/F4lc6nCcOL",ibaneis,,,1232977121808703500,RADARDF6,,,0,1,Thu Aug 12 2021 19:54:26 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 19:27:26 GMT-0300 (Brasilia Standard Time)
@contraorelogio A Sec de Saúde disse q os adolescentes sem comorbidades serão vacinados depois q todos os 18+ receb… https://t.co/yQo2Bi8GJm,ibaneis,,,1249134386844446700,RitaYoshimine,,,0,3,Thu Aug 12 2021 19:54:26 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 19:24:25 GMT-0300 (Brasilia Standard Time)
"O tombamento de Brasília, depois de Ibaneis não existe.#DF2",ibaneis,,,1197280453369184300,JosAmor62280219,,,0,0,Thu Aug 12 2021 19:54:26 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 19:23:45 GMT-0300 (Brasilia Standard Time)
ibaneis acorda https://t.co/4yf4c8VqNt,ibaneis,,,1159565435613929500,vitorinja_,,,0,0,Thu Aug 12 2021 19:54:26 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 19:14:20 GMT-0300 (Brasilia Standard Time)
RT @raemmundo: VAI SE FUDE BOLSONARO E IBANEIS 🐊🐊🐊🐊🐊🐊🐊🐊🐊 https://t.co/lrVX8pJMn9,ibaneis,,,945250985122979800,kroucees,,,1,0,Thu Aug 12 2021 19:54:26 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 19:05:40 GMT-0300 (Brasilia Standard Time)
"Ibaneis privatizou, o povo se lascou. https://t.co/Mzb2SzKMLr",ibaneis,,,1211467978463559700,RodrigoCabralBR,,,0,2,Thu Aug 12 2021 19:54:26 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 18:55:22 GMT-0300 (Brasilia Standard Time)
É FF hj o ibaneis lanço a braba,ibaneis,,,489730719,luizzxDQ,,,0,1,Thu Aug 12 2021 19:54:26 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 18:50:51 GMT-0300 (Brasilia Standard Time)
"RT @fabiofelixdf: Hoje de manhã falei à @cbnbrasilia sobre a construção do Museu da Bíblia, projeto milionário que o governo Ibaneis quer c…",ibaneis,,,1264375490216935400,BatalhaZe,,,4,0,Thu Aug 12 2021 19:54:26 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 18:40:12 GMT-0300 (Brasilia Standard Time)
RT @leandrograss: Nem o secretário da cultura é a favor do Museu da Bíblia e Ibaneis insiste nesse projeto. É uma heresia gastar tanto em a…,ibaneis,,,954601508,vini_sanders,,,24,0,Thu Aug 12 2021 19:54:26 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 18:37:43 GMT-0300 (Brasilia Standard Time)
"RT @sabilisacrf: Se o Ibaneis soubesse que vacinação dos jovens de 20 anos seria do jeito que tá sendo, ele tinha largado de mão a vacinaçã…",ibaneis,,,513544314,thaisisabele1,,,2,0,Thu Aug 12 2021 19:54:26 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 18:35:32 GMT-0300 (Brasilia Standard Time)
"@Luiscarlos_ss @IbaneisOficial Deus me livre defender Ibaneis. Mas, esperemos que não estejam fazendo agora por con… https://t.co/iVHJq1NCfK",ibaneis,,,294058380,de_parasita,,,0,0,Thu Aug 12 2021 19:54:26 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 18:28:10 GMT-0300 (Brasilia Standard Time)
RT @sarahmarcelos: Eu tô chorando de emoção de como anda a organização das vacinas e toda criatividade das equipes pra chamar atenção e aum…,ibaneis,,,958109754081140700,LeoOSM1,,,3,0,Thu Aug 12 2021 19:54:26 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 18:21:22 GMT-0300 (Brasilia Standard Time)
"RT @fabiofelixdf: Hoje de manhã falei à @cbnbrasilia sobre a construção do Museu da Bíblia, projeto milionário que o governo Ibaneis quer c…",ibaneis,,,1237068524767633400,Jeffwin72095858,,,4,0,Thu Aug 12 2021 19:54:26 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 18:20:20 GMT-0300 (Brasilia Standard Time)
"SINPRO-DF REPUDIA DECLARAÇÕES DE IBANEIS E DEFENDE POLÍTICA SÉRIA DE INVESTIMENTO NA EDUCAÇÃO. Em vídeo, Rosilene C… https://t.co/jpo8RvAuyj",ibaneis,,,4833502174,JTaguacei,,,0,0,Thu Aug 12 2021 19:54:26 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 18:12:10 GMT-0300 (Brasilia Standard Time)
"RT @fabiofelixdf: Hoje de manhã falei à @cbnbrasilia sobre a construção do Museu da Bíblia, projeto milionário que o governo Ibaneis quer c…",ibaneis,,,1311102943,jademabreu,,,4,0,Thu Aug 12 2021 19:54:26 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 18:09:24 GMT-0300 (Brasilia Standard Time)
"Partido Agir, antigo Partido Trabalhista Cristão (PTC), fecha apoio a @ibaneisoficial em 2022

https://t.co/ajcq5b2Y3T",ibaneis,,,1401163681027723300,politica061,,,0,0,Thu Aug 12 2021 19:54:26 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 18:04:59 GMT-0300 (Brasilia Standard Time)
"RT @fabiofelixdf: Hoje de manhã falei à @cbnbrasilia sobre a construção do Museu da Bíblia, projeto milionário que o governo Ibaneis quer c…",ibaneis,,,88974532,babywollf,,,4,0,Thu Aug 12 2021 19:54:26 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 18:00:34 GMT-0300 (Brasilia Standard Time)
"Hoje de manhã falei à @cbnbrasilia sobre a construção do Museu da Bíblia, projeto milionário que o governo Ibaneis… https://t.co/qC9Vcjw5EB",ibaneis,,,81384580,fabiofelixdf,,,4,21,Thu Aug 12 2021 19:54:26 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 17:59:08 GMT-0300 (Brasilia Standard Time)
e Luziânia que vai começar amanhã a vacinação para +18 ai o murro no ibaneis de novo,ibaneis,,,1633307012,allaboutbarb1,,,0,0,Thu Aug 12 2021 19:54:26 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 17:58:14 GMT-0300 (Brasilia Standard Time)
Boatos que terça já vai ser 15+ o Flamengo chega quando pra ibaneis tá fazendo o mínimo?,ibaneis,,,707226924,Letafranca,,,0,1,Thu Aug 12 2021 19:54:26 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 17:46:21 GMT-0300 (Brasilia Standard Time)
RT @fa_albuquerq: bora ibaneis abra pra 18 anos agora msm 😭,ibaneis,,,1208469114269896700,Wanessinh4,,,16,0,Thu Aug 12 2021 19:54:26 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 17:29:30 GMT-0300 (Brasilia Standard Time)
"RT @LOBOPATRIOTA1: Temos que estar PRONTOS PRO CONFRONTO COM A POLICIA COMUNISTA DO CONGRESSO, STF  E DO SAFADO  O IBANEIS O GOVERNADOR VIG…",ibaneis,,,1053341980254711800,soares_souza16,,,11,0,Thu Aug 12 2021 19:54:26 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 17:26:39 GMT-0300 (Brasilia Standard Time)
"RT @rosa_vertov: Bora vacinar porraaa
Pela quebra das patentes, sem indenização pros capitalistas! 
Fora Bolsonaro, Mourão e militares! E n…",ibaneis,,,1263561100748107800,bozo_bot,,,1,0,Thu Aug 12 2021 19:54:26 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 17:21:25 GMT-0300 (Brasilia Standard Time)
"RT @LOBOPATRIOTA1: Temos que estar PRONTOS PRO CONFRONTO COM A POLICIA COMUNISTA DO CONGRESSO, STF  E DO SAFADO  O IBANEIS O GOVERNADOR VIG…",ibaneis,,,74769833,DZK976,,,11,0,Thu Aug 12 2021 19:54:26 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 17:21:24 GMT-0300 (Brasilia Standard Time)
"RT @rosa_vertov: Bora vacinar porraaa
Pela quebra das patentes, sem indenização pros capitalistas! 
Fora Bolsonaro, Mourão e militares! E n…",ibaneis,,,1051998543404240900,liberalc_rah,,,1,0,Thu Aug 12 2021 19:54:26 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 17:20:21 GMT-0300 (Brasilia Standard Time)
Entidades propõem a Ibaneis projeto de desenvolvimento da TI https://t.co/Kx7WiIg32X,ibaneis,,,806923857206444000,CadeBrasilia,,,0,0,Thu Aug 12 2021 19:54:26 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 17:15:53 GMT-0300 (Brasilia Standard Time)
"RT @LOBOPATRIOTA1: Temos que estar PRONTOS PRO CONFRONTO COM A POLICIA COMUNISTA DO CONGRESSO, STF  E DO SAFADO  O IBANEIS O GOVERNADOR VIG…",ibaneis,,,1291971030764978200,ValdineiAnton14,,,11,0,Thu Aug 12 2021 19:54:26 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 17:15:36 GMT-0300 (Brasilia Standard Time)
"RT @LOBOPATRIOTA1: Temos que estar PRONTOS PRO CONFRONTO COM A POLICIA COMUNISTA DO CONGRESSO, STF  E DO SAFADO  O IBANEIS O GOVERNADOR VIG…",ibaneis,,,2911055069,roupasdesaojor1,,,11,0,Thu Aug 12 2021 19:54:26 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 17:14:33 GMT-0300 (Brasilia Standard Time)
"RT @LOBOPATRIOTA1: Temos que estar PRONTOS PRO CONFRONTO COM A POLICIA COMUNISTA DO CONGRESSO, STF  E DO SAFADO  O IBANEIS O GOVERNADOR VIG…",ibaneis,,,1142224857364611100,AG21D,,,11,0,Thu Aug 12 2021 19:54:26 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 17:12:23 GMT-0300 (Brasilia Standard Time)
"RT @LOBOPATRIOTA1: Temos que estar PRONTOS PRO CONFRONTO COM A POLICIA COMUNISTA DO CONGRESSO, STF  E DO SAFADO  O IBANEIS O GOVERNADOR VIG…",ibaneis,,,1341199920146071600,IracemaHorta,,,11,0,Thu Aug 12 2021 19:54:26 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 17:09:43 GMT-0300 (Brasilia Standard Time)
@HeitorPrinces0 @MrCinnamonBoy Espero que nãooo! Olha: https://t.co/NuxRX2q2Or,ibaneis,,,1385104493465981000,victorfgondim,,,0,0,Thu Aug 12 2021 19:54:26 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 16:57:07 GMT-0300 (Brasilia Standard Time)
"Temos que estar PRONTOS PRO CONFRONTO COM A POLICIA COMUNISTA DO CONGRESSO, STF  E DO SAFADO  O IBANEIS O GOVERNADO… https://t.co/iXliqgCSF7",ibaneis,,,1380669294695100400,LOBOPATRIOTA1,,,11,24,Thu Aug 12 2021 19:54:26 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 16:56:33 GMT-0300 (Brasilia Standard Time)
RT @PedroJos32: Porra Ibaneis abre logo pra 19 anos vacinar🥺🥺🥺,ibaneis,,,1010718070199980000,victorialc_,,,15,0,Thu Aug 12 2021 19:54:26 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 16:52:13 GMT-0300 (Brasilia Standard Time)
O jovem brasiliense... depois quer falar mal do Ibaneis https://t.co/0eZfIJMUXI,ibaneis,,,208047857,lusconde,,,0,3,Thu Aug 12 2021 19:54:26 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 16:46:58 GMT-0300 (Brasilia Standard Time)
RT @clarammalmeida: o silêncio do ibaneis sobre vacinar a galera de 18 e 19 é ensurdecedor,ibaneis,,,1396580164088307700,idfcstyles_,,,2,0,Thu Aug 12 2021 19:54:26 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 16:44:50 GMT-0300 (Brasilia Standard Time)
