text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
Solidariedade do Ibaneis = Tirar cobertor de pessoas em situação de rua... https://t.co/8AN9c3KeZp,ibaneis,,,69963008,kpadjoficial,,,0,0,Tue Aug 10 2021 10:15:01 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 10:09:12 GMT-0300 (Brasilia Standard Time)
não sei se estou vivendo eu só esperando o ibaneis tweetar que a vacina vai estar disponível para os adolescentes,ibaneis,,,1103484039066017800,sweetzfalls,,,0,0,Tue Aug 10 2021 10:15:01 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 10:02:40 GMT-0300 (Brasilia Standard Time)
"RT @danilopaulodf: Adorei que o ibaneis anunciou a vacinação pra +20 pra essa quinta, depois de toda a população jovem já ter se vacinado o…",ibaneis,,,938477793461047300,giucrff,,,222,0,Tue Aug 10 2021 10:15:01 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 09:55:59 GMT-0300 (Brasilia Standard Time)
"@DFDaDepre Sei bem o que quer dizer. Tô trancado com meus filhos e tem fdp fazendo festão, buteco, recusando vacina… https://t.co/grlTD23V5r",ibaneis,,,1270177406909853700,Rodrigo06687577,,,0,0,Tue Aug 10 2021 10:15:01 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 09:54:40 GMT-0300 (Brasilia Standard Time)
"RT @danilopaulodf: Adorei que o ibaneis anunciou a vacinação pra +20 pra essa quinta, depois de toda a população jovem já ter se vacinado o…",ibaneis,,,1029443205597749200,the_Lyncon6IX,,,222,0,Tue Aug 10 2021 10:15:01 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 09:42:25 GMT-0300 (Brasilia Standard Time)
"Então já sabe, se você fizer um rolê e chamar o Ibaneis, já reserva um quarto de hospital pra ele poder dar o vexame",ibaneis,,,1031206510335090700,letsresendee,,,0,0,Tue Aug 10 2021 10:15:01 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 09:36:02 GMT-0300 (Brasilia Standard Time)
"Tiveram que mandar o cavalao que não sabe beber pro hospital, e no final de todo o rolê, Ibaneis mandou a conta de… https://t.co/i1ymCD8kiE",ibaneis,,,1031206510335090700,letsresendee,,,0,0,Tue Aug 10 2021 10:15:01 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 09:34:45 GMT-0300 (Brasilia Standard Time)
"Pra quem quer saber da tour, o toda vez que o Ibaneis ingere bebidinha alcoólicas passa mal (inclusive quase toda s… https://t.co/IveZIdMu9d",ibaneis,,,1031206510335090700,letsresendee,,,0,0,Tue Aug 10 2021 10:15:01 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 09:33:09 GMT-0300 (Brasilia Standard Time)
RT @maailaf: como eu amo ser valparaisense bota mais no cu do ibaneis ai vai,ibaneis,,,863543302959845400,monteirojkk,,,6,0,Tue Aug 10 2021 10:15:01 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 09:29:56 GMT-0300 (Brasilia Standard Time)
obrigada ibaneis por NADA,ibaneis,,,3122763929,IIyasminlI,,,0,1,Tue Aug 10 2021 10:15:01 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 09:28:37 GMT-0300 (Brasilia Standard Time)
