text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"RT @SoniarArsoni: @demori Exatamente! Não interessa a Bolsonaro se o voto é impresso, auditado ou não, o interesse do Bolsonaro é tumultuar…",lula,,,943486496312524800,criminalchae,,,12,0,Fri Aug 06 2021 09:12:47 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:12:46 GMT-0300 (Brasilia Standard Time)
"@pauloteixeira13 Fora bolsonaro e LULA, por favor, não entre!",lula,,,1081504562224209900,moimontalvan,,,0,0,Fri Aug 06 2021 09:12:47 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:12:45 GMT-0300 (Brasilia Standard Time)
"RT @juliovschneider: Procuradoria do DF ratifica denúncia da Lava Jato contra Lula, Palocci e Odebrecht https://t.co/TeuVay7080 via @vuejs",lula,,,42035302,humbertosisley,,,10,0,Fri Aug 06 2021 09:12:47 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:12:45 GMT-0300 (Brasilia Standard Time)
"RT @carteiroreaca: Estão noticiando que a Justiça liberou o Galo do Lula, autor no atentado contra o monumento ao Borba Gato. Se está liber…",lula,,,80309894,hhurbano,,,1957,0,Fri Aug 06 2021 09:12:47 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:12:44 GMT-0300 (Brasilia Standard Time)
"RT @TerraBrasilnot: Carta de empresários contra Bolsonaro é encabeçada por Luiza Trajano do Magazine Luiza cotada para vice de Lula, Drauzi…",lula,,,298884996,CAP_Cavalcanti,,,58,0,Fri Aug 06 2021 09:12:47 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:12:43 GMT-0300 (Brasilia Standard Time)
RT @EstevamReboucas: Lula explica como o golpe contra Dilma foi motivado pelo petróleo https://t.co/mIiXv3NKaP,lula,,,1163211392557695000,ins_salgado,,,67,0,Fri Aug 06 2021 09:12:47 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:12:43 GMT-0300 (Brasilia Standard Time)
RT @SigaGazetaBR: Procuradoria no DF ratifica denúncia contra Lula feita pela Lava Jato. o caso é referente à compra de um terreno para o I…,lula,,,1282289177921552400,RamonaTH2,,,19,0,Fri Aug 06 2021 09:12:47 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:12:43 GMT-0300 (Brasilia Standard Time)
"RT @mattoso_camila: Painel: Procuradoria no DF ratifica denúncia contra Lula, Palocci e Marcelo Odebrecht feita pela Lava Jato https://t.co…",lula,,,1413605947440783400,LiberdadeTotal3,,,2,0,Fri Aug 06 2021 09:12:47 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:12:38 GMT-0300 (Brasilia Standard Time)
"Dedo no cu, gritaria e Lula livre https://t.co/7HsgMY513Y",lula,,,1397546843706376200,LalisMaico,,,0,0,Fri Aug 06 2021 09:12:47 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:12:35 GMT-0300 (Brasilia Standard Time)
"RT @revistaoeste: Procuradoria do DF ratifica denúncia da Lava Jato contra Lula, Palocci e Odebrecht https://t.co/5P3Em2pIle",lula,,,1058007102650769400,ElieteMoya,,,246,0,Fri Aug 06 2021 09:12:47 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:12:34 GMT-0300 (Brasilia Standard Time)
