text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"RT @DCM_online: Lula: “Tem que por os pobres no orçamento e o rico no Imposto de Renda”
https://t.co/6r1TVOjRog https://t.co/APwWEMCr7d",lula,,,1148750380999815200,BrasilLivre20,,,27,0,Sun Aug 15 2021 20:02:29 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:27 GMT-0300 (Brasilia Standard Time)
"RT @kimpaim: Até então a MAIOR CONQUISTA da Lava-jato tinha sido PRENDER o LULA

Lula foi SOLTO e nenhum dos LAVAJATISTAS reclamou, pelo co…",lula,,,121551447,Josegarcian,,,168,0,Sun Aug 15 2021 20:02:29 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:27 GMT-0300 (Brasilia Standard Time)
"RT @L_Dornelles: ""Lula vai ter dificuldade de andar de jatinho"" - Mares Guia não é mais único dono do Gulfstream III que há anos empresta p…",lula,,,56387655,OsvaldoMP,,,4,0,Sun Aug 15 2021 20:02:29 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:27 GMT-0300 (Brasilia Standard Time)
"RT @PauloChuchuSBC: ""O LADRÃO CHEGOOOOU!""

Recife está de parabéns por dar a Lula a recepção que ele merece. 

Não tem Datafolha que escond…",lula,,,66470040,FalandodeCroche,,,22,0,Sun Aug 15 2021 20:02:29 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:27 GMT-0300 (Brasilia Standard Time)
RT @gouveia_kita: A minha amiga de Recife acabou de me mandar o vídeo da chegada do Lula no aeroporto internacional dos Guararapes! O safad…,lula,,,2266645843,wander2008w,,,83,0,Sun Aug 15 2021 20:02:29 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:26 GMT-0300 (Brasilia Standard Time)
"RT @RaquelBlak: Porque será que o Twitter tornou indisponível o vídeo do Lula chegando ao NE , apinhado de 5 pessoas ?",lula,,,1187607342,anamoretto2011,,,257,0,Sun Aug 15 2021 20:02:29 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:26 GMT-0300 (Brasilia Standard Time)
"RT @kimpaim: Até então a MAIOR CONQUISTA da Lava-jato tinha sido PRENDER o LULA

Lula foi SOLTO e nenhum dos LAVAJATISTAS reclamou, pelo co…",lula,,,772095840676610000,cesaraasantana,,,168,0,Sun Aug 15 2021 20:02:29 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:26 GMT-0300 (Brasilia Standard Time)
"RT @PauloChuchuSBC: ""O LADRÃO CHEGOOOOU!""

Recife está de parabéns por dar a Lula a recepção que ele merece. 

Não tem Datafolha que escond…",lula,,,53940183,mariasalvador,,,22,0,Sun Aug 15 2021 20:02:29 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:26 GMT-0300 (Brasilia Standard Time)
"RT @PauloChuchuSBC: ""O LADRÃO CHEGOOOOU!""

Recife está de parabéns por dar a Lula a recepção que ele merece. 

Não tem Datafolha que escond…",lula,,,124579306,osgonzagajr,,,22,0,Sun Aug 15 2021 20:02:29 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:23 GMT-0300 (Brasilia Standard Time)
RT @gouveia_kita: A minha amiga de Recife acabou de me mandar o vídeo da chegada do Lula no aeroporto internacional dos Guararapes! O safad…,lula,,,831921736228732900,Ana11997788,,,83,0,Sun Aug 15 2021 20:02:29 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:23 GMT-0300 (Brasilia Standard Time)
"@DilmaDilmae Hahaha hahaha
E não é q vc acertou!
Só aqui em casa são 3 votos pra Lula, fora o dos meus irmãos, amig… https://t.co/IAOmEZ702k",lula,,,301426383,Jocenilda1,,,0,0,Sun Aug 15 2021 20:02:29 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:22 GMT-0300 (Brasilia Standard Time)
RT @erikakokay: A esperança de um Brasil feliz de novo começa com Lula e a força do povo nordestino. O Nordeste sabe que um filho teu não f…,lula,,,176618654,Warley_Lopes,,,18,0,Sun Aug 15 2021 20:02:29 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:20 GMT-0300 (Brasilia Standard Time)
"RT @OClannnn: ""O governo Bolsonaro foi o que mais pagou emenda. Pagou mais que Lula, Dilma e Temer juntos..""

Sim, mas estão sendo observad…",lula,,,1267196579066318800,06Norbit,,,5,0,Sun Aug 15 2021 20:02:29 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:20 GMT-0300 (Brasilia Standard Time)
"RT @EnioMainardi: 15/8/2015
LULA FATUROU 27 MILHÕES COM PALESTRAS 
Ele é conhecido por sua cultura, profundo especialista em ciências polít…",lula,,,1403495013066195000,arthur_pr51,,,40,0,Sun Aug 15 2021 20:02:29 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:20 GMT-0300 (Brasilia Standard Time)
"RT @JoaoBoscoDeMor3: Agora temos certeza, lula ladrão só ganha as eleições na fraude, é um cadáver político que se esconde do povo, nem a e…",lula,,,1249320050533810200,MariaBassoli,,,493,0,Sun Aug 15 2021 20:02:29 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:18 GMT-0300 (Brasilia Standard Time)
"RT @kimpaim: Até então a MAIOR CONQUISTA da Lava-jato tinha sido PRENDER o LULA

Lula foi SOLTO e nenhum dos LAVAJATISTAS reclamou, pelo co…",lula,,,369776468,MaxwellM_F,,,168,0,Sun Aug 15 2021 20:02:29 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:18 GMT-0300 (Brasilia Standard Time)
"RT @MariliaArraes: Que felicidade receber o presidente Lula no Recife. Seja muito bem-vindo, Presidente. Você é a esperança do povo pernamb…",lula,,,60973327,___bahrodrigues,,,342,0,Sun Aug 15 2021 20:02:29 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:18 GMT-0300 (Brasilia Standard Time)
"RT @allanldsantos: Lula, quem paga esse jatinho?",lula,,,1254883528900313000,JonasRFaria,,,722,0,Sun Aug 15 2021 20:02:29 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:17 GMT-0300 (Brasilia Standard Time)
"RT @JenoOliveiraa: Lula está hoje em Recife fazendo campanha eleitoral, mas ainda não explicou porque desviou R$ 60 bilhões do povo brasile…",lula,,,1352355830256062500,Cassia78900346,,,209,0,Sun Aug 15 2021 20:02:29 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:17 GMT-0300 (Brasilia Standard Time)
"@NunesJAp Se não fosse o TSE e suas urnas não auditáveis, Doria e Lula teriam que procurar emprego de porteiro de put&amp;!ro para sobreviver",lula,,,108093302,PedroArthurSant,,,0,0,Sun Aug 15 2021 20:02:29 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:16 GMT-0300 (Brasilia Standard Time)
"RT @kimpaim: Até então a MAIOR CONQUISTA da Lava-jato tinha sido PRENDER o LULA

Lula foi SOLTO e nenhum dos LAVAJATISTAS reclamou, pelo co…",lula,,,1357151978904825900,Adria75746382,,,168,0,Sun Aug 15 2021 20:02:29 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:16 GMT-0300 (Brasilia Standard Time)
"RT @TercioTomaz: Quem tá bancando o Jatinho do Lula?
https://t.co/jXZoDx5yhS",lula,,,229903460,JoaoBANatal,,,208,0,Sun Aug 15 2021 20:02:29 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:16 GMT-0300 (Brasilia Standard Time)
"RT @kimpaim: Até então a MAIOR CONQUISTA da Lava-jato tinha sido PRENDER o LULA

Lula foi SOLTO e nenhum dos LAVAJATISTAS reclamou, pelo co…",lula,,,1368590721297563600,CostaGabriel51,,,168,0,Sun Aug 15 2021 20:02:29 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:16 GMT-0300 (Brasilia Standard Time)
"RT @kimpaim: Até então a MAIOR CONQUISTA da Lava-jato tinha sido PRENDER o LULA

Lula foi SOLTO e nenhum dos LAVAJATISTAS reclamou, pelo co…",lula,,,484124768,assistecquali,,,168,0,Sun Aug 15 2021 20:02:29 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:15 GMT-0300 (Brasilia Standard Time)
"RT @kimpaim: Até então a MAIOR CONQUISTA da Lava-jato tinha sido PRENDER o LULA

Lula foi SOLTO e nenhum dos LAVAJATISTAS reclamou, pelo co…",lula,,,1404604724284887000,ketpfs1977,,,168,0,Sun Aug 15 2021 20:02:29 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:15 GMT-0300 (Brasilia Standard Time)
RT @gouveia_kita: A minha amiga de Recife acabou de me mandar o vídeo da chegada do Lula no aeroporto internacional dos Guararapes! O safad…,lula,,,1214692114371620900,CristianoPeix10,,,83,0,Sun Aug 15 2021 20:02:29 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:14 GMT-0300 (Brasilia Standard Time)
RT @gouveia_kita: A minha amiga de Recife acabou de me mandar o vídeo da chegada do Lula no aeroporto internacional dos Guararapes! O safad…,lula,,,1273576176745943000,DarlanWillian16,,,83,0,Sun Aug 15 2021 20:02:29 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:13 GMT-0300 (Brasilia Standard Time)
"RT @boca_privada: 15 mil pernambucanos recepcionaram Lula no Aeroporto, segundo o Datafolha. Segue a imagem dos 15 mil. https://t.co/CICk4o…",lula,,,341565030,calvimlessa,,,150,0,Sun Aug 15 2021 20:02:29 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:13 GMT-0300 (Brasilia Standard Time)
"RT @DilmaDilmae: Estou tentando arrumar uns votos para o Lula, mas está difícil. Todo mundo que conheço já vai votar nel,  inclusive você q…",lula,,,480534361,lynxbeth,,,98,0,Sun Aug 15 2021 20:02:29 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:12 GMT-0300 (Brasilia Standard Time)
"🔵 Doria já tem Slogan?

Em campanha de prévias em SC, João Dória falou de vacinas e criticou Lula e Bolsonaro: “Nem… https://t.co/tMXk2hPEvl",lula,,,1404506222892667000,CentralEleicoes,,,0,1,Sun Aug 15 2021 20:02:29 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:12 GMT-0300 (Brasilia Standard Time)
"RT @NalldoSantos5: Lula, quem paga esse jatinho?
E propina?",lula,,,56387655,OsvaldoMP,,,2,0,Sun Aug 15 2021 20:02:29 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:12 GMT-0300 (Brasilia Standard Time)
"RT @kimpaim: Até então a MAIOR CONQUISTA da Lava-jato tinha sido PRENDER o LULA

Lula foi SOLTO e nenhum dos LAVAJATISTAS reclamou, pelo co…",lula,,,222936747,MavPatriota,,,168,0,Sun Aug 15 2021 20:02:29 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:12 GMT-0300 (Brasilia Standard Time)
@vereador_camilo tá virando petista Camilo que vergonha hein daqui a pouco vai defender o ladrão do lula,lula,,,440043568,lealdade1969,,,0,0,Sun Aug 15 2021 20:02:29 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:11 GMT-0300 (Brasilia Standard Time)
"RT @liberdade_ldr: Só pra avisar:
Lula é um dos principais aliados internacionais do Talibã, Hamas e outras ""organizações"" islâmicas",lula,,,1063061292221677600,JoseConserva73,,,4,0,Sun Aug 15 2021 20:02:29 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:11 GMT-0300 (Brasilia Standard Time)
"RT @augustosnunes: Para libertar Lula, o STF decidiu que um ladrão só pode ser preso depois que a sentença condenatória transitar em julgad…",lula,,,2495914451,OsmaneMart,,,11023,0,Sun Aug 15 2021 20:02:29 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:11 GMT-0300 (Brasilia Standard Time)
"RT @vitormarchetti: Cada governo com sua marca:
* FHC = combate à inflação.
* Lula/Dilma = combate à desigualdade.
* Bolsonaro = combate ao…",lula,,,1265181797182328800,mslvr_,,,1992,0,Sun Aug 15 2021 20:02:29 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:10 GMT-0300 (Brasilia Standard Time)
RT @giraldirenato: Todo mundo já sabia que a turma do voto LULO tá ajudando  o LULA!!! https://t.co/DnfdCXRFTR,lula,,,121551447,Josegarcian,,,178,0,Sun Aug 15 2021 20:02:29 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:10 GMT-0300 (Brasilia Standard Time)
"RT @BrunaoBarreto1: Em 24h já tentaram:

- convencer-nos de que o JB é ""parça"" do Gilmar Mendes 😂

- colar a narrativa de que Mourão estari…",lula,,,392075005,jotajcmmorais,,,457,0,Sun Aug 15 2021 20:02:29 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:10 GMT-0300 (Brasilia Standard Time)
"RT @vitormarchetti: Cada governo com sua marca:
* FHC = combate à inflação.
* Lula/Dilma = combate à desigualdade.
* Bolsonaro = combate ao…",lula,,,930693894,gabruellam,,,1992,0,Sun Aug 15 2021 20:02:29 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:09 GMT-0300 (Brasilia Standard Time)
"RT @gomesdeco: bicho essas artes de ""Lula pelo Nordeste"" não estão equilibradas para o meu emocional não 🥺🥺🥺 quem ainda não viu, vai nos st…",lula,,,399092326,Rangel_Lucia,,,52,0,Sun Aug 15 2021 20:02:29 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:09 GMT-0300 (Brasilia Standard Time)
RT @bernardokuster2: Lula foi ao Nordeste e disse que “não haverá ato público de massa por causa da pandemia”. Isto é desculpa de bandido q…,lula,,,1081674235599339500,ManoelFidelis1,,,1779,0,Sun Aug 15 2021 20:02:29 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:08 GMT-0300 (Brasilia Standard Time)
"RT @kimpaim: Até então a MAIOR CONQUISTA da Lava-jato tinha sido PRENDER o LULA

Lula foi SOLTO e nenhum dos LAVAJATISTAS reclamou, pelo co…",lula,,,1394394483404546000,MarizaZelak,,,168,0,Sun Aug 15 2021 20:02:29 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:08 GMT-0300 (Brasilia Standard Time)
RT @bernardokuster2: Lula foi ao Nordeste e disse que “não haverá ato público de massa por causa da pandemia”. Isto é desculpa de bandido q…,lula,,,1405876053453721600,JosFari28395026,,,1779,0,Sun Aug 15 2021 20:02:29 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:07 GMT-0300 (Brasilia Standard Time)
"RT @Lindasod: E o cidadão honesto do Nordeste vai receber o maior Ladrão do Brasil como? Vem pra rua, Lula! #LulaOpovoTeOdeia https://t.co/…",lula,,,1425525095490015200,drikaconta2,,,74,0,Sun Aug 15 2021 20:02:29 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:07 GMT-0300 (Brasilia Standard Time)
"RT @PauloChuchuSBC: ""O LADRÃO CHEGOOOOU!""

Recife está de parabéns por dar a Lula a recepção que ele merece. 

Não tem Datafolha que escond…",lula,,,1267506286029086700,Zeris44393509,,,22,0,Sun Aug 15 2021 20:02:29 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:06 GMT-0300 (Brasilia Standard Time)
RT @bernardokuster2: Lula foi ao Nordeste e disse que “não haverá ato público de massa por causa da pandemia”. Isto é desculpa de bandido q…,lula,,,1376988362725277700,Kuan951,,,1779,0,Sun Aug 15 2021 20:02:29 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:06 GMT-0300 (Brasilia Standard Time)
"RT @DilmaDilmae: Estou tentando arrumar uns votos para o Lula, mas está difícil. Todo mundo que conheço já vai votar nel,  inclusive você q…",lula,,,1239952087527706600,gayLulista13,,,98,0,Sun Aug 15 2021 20:02:29 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:06 GMT-0300 (Brasilia Standard Time)
