text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"RT @gizabuso: Esse é o MBL que se apoia o Lula em quase tudo...ao invés de mortadela, distribuem bebidas no Ato político, contra o presiden…",lula,,,67865633,tovaga,,,2,0,Thu Aug 12 2021 19:54:57 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 19:54:55 GMT-0300 (Brasilia Standard Time)
"RT @Henriqu48791299: Bagé - RS, recepcionando e ovacionando Lula, como ele merece!😂😂😂😂 https://t.co/8bdqYAty91",lula,,,849924225666351100,Marcelo56970036,,,675,0,Thu Aug 12 2021 19:54:57 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 19:54:50 GMT-0300 (Brasilia Standard Time)
RT @filipebarrost: “Sou favorável ao voto eletrônico porque não sei se não fosse isso eu teria um dia sido presidente da República nesse pa…,lula,,,1391861394576920600,Rodrigo39122299,,,2904,0,Thu Aug 12 2021 19:54:57 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 19:54:49 GMT-0300 (Brasilia Standard Time)
RT @lwnzi: meu maior sonho atual eh estar em 2023 reclamando do governo lula,lula,,,1007705755519258600,kexausta,,,601,0,Thu Aug 12 2021 19:54:57 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 19:54:46 GMT-0300 (Brasilia Standard Time)
@DrFrazaoOficial Foi exatamente o que fizeram durante os governos Lula e Dilma,lula,,,1364194502601306000,Leila29690982,,,0,0,Thu Aug 12 2021 19:54:57 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 19:54:46 GMT-0300 (Brasilia Standard Time)
"2022 iremos de lula, se alguém falar de terceria via eu vou meter porrada",lula,,,1406425674915664000,rimacomcadeira,,,0,0,Thu Aug 12 2021 19:54:57 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 19:54:43 GMT-0300 (Brasilia Standard Time)
"RT @Henriqu48791299: Bagé - RS, recepcionando e ovacionando Lula, como ele merece!😂😂😂😂 https://t.co/8bdqYAty91",lula,,,1383890881510449200,Rolando15863589,,,675,0,Thu Aug 12 2021 19:54:57 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 19:54:43 GMT-0300 (Brasilia Standard Time)
RT @vnssalin: O jeito que o Lula conta história é engraçado demais https://t.co/OrVuaWVjQl,lula,,,145746395,Intermexe,,,1731,0,Thu Aug 12 2021 19:54:57 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 19:54:43 GMT-0300 (Brasilia Standard Time)
RT @Rconstantino: Pela primeira vez concordo com Lula! https://t.co/R2HICIThWU,lula,,,1284133047344955400,moreirafabio643,,,257,0,Thu Aug 12 2021 19:54:57 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 19:54:41 GMT-0300 (Brasilia Standard Time)
"RT @SergioG82743147: Bolsonaro, teve a sua formação no Exercito e no Parlamento.
Natural que ele escolha seus auxiliares, nas Forças Armada…",lula,,,123364815,luciahrio,,,9,0,Thu Aug 12 2021 19:54:57 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 19:54:40 GMT-0300 (Brasilia Standard Time)
"RT @Henriqu48791299: Bagé - RS, recepcionando e ovacionando Lula, como ele merece!😂😂😂😂 https://t.co/8bdqYAty91",lula,,,42789898,Oilas,,,675,0,Thu Aug 12 2021 19:54:57 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 19:54:39 GMT-0300 (Brasilia Standard Time)
@hehehevit LULA LIVRE 👍🇧🇷🇧🇷🇧🇷,lula,,,1144993154204127200,heheheduda,,,0,0,Thu Aug 12 2021 19:54:57 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 19:54:37 GMT-0300 (Brasilia Standard Time)
"RT @henriolliveira_: @Rconstantino Pra atrair eleitores do LULA, vão distribuir cachaça também https://t.co/83U90bflN3",lula,,,1319423583018455000,Adriana05176370,,,17,0,Thu Aug 12 2021 19:54:57 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 19:54:34 GMT-0300 (Brasilia Standard Time)
"RT @MarivoneLula: #LulaPresidente2022  🤩&lt; MAS QUE MERDA É ESSA ? 🤔💩&gt;&gt; Economista VICTOR CANDIDO , do Santander defende golpe para evitar a…",lula,,,1298346611291181000,Sandroka131,,,2,0,Thu Aug 12 2021 19:54:57 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 19:54:32 GMT-0300 (Brasilia Standard Time)
