text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"Porra Lula tu não cansa de falar sobre o Bolsonaro não??? caralho mano, vai falar sobre como você pode ajudar quando vencer sabe",lula,,,2977527088,augustob790,,,0,0,Wed Aug 11 2021 17:59:29 GMT-0300 (Brasilia Standard Time),Wed Aug 11 2021 17:59:23 GMT-0300 (Brasilia Standard Time)
"RT @forget_world_: O pior q isso é mto real, tava vendo bob esponja por ligação cm a minha sobrinha e ele é um chatooooo! De vdd, lula molu…",lula,,,1267486456148344800,ourvgogh,,,1,0,Wed Aug 11 2021 17:59:29 GMT-0300 (Brasilia Standard Time),Wed Aug 11 2021 17:59:21 GMT-0300 (Brasilia Standard Time)
@cirogomes @lhmandetta @EduardoLeite_ @lfdavilaoficial @Estadao @CLP_Brasil @bandnewstv Sem o Lula???? Não tem deba… https://t.co/uUX4kS5Mkl,lula,,,351821133,DPadova,,,0,0,Wed Aug 11 2021 17:59:29 GMT-0300 (Brasilia Standard Time),Wed Aug 11 2021 17:59:21 GMT-0300 (Brasilia Standard Time)
"RT @fec5588fm: O Presidente Bolsonaro TRUCOU e o pstf do lula ladrão e o ministro aveludado, gritaram seis. Os deputados que só elegem com…",lula,,,1311494672301383700,IsmaelR71121537,,,124,0,Wed Aug 11 2021 17:59:29 GMT-0300 (Brasilia Standard Time),Wed Aug 11 2021 17:59:20 GMT-0300 (Brasilia Standard Time)
"RT @BobJeffRoadKing: Na calada, Gilmar e Lewandowski operaram pra enterrar o processo que estava na mão de Bretas sobre a montanha de dinhe…",lula,,,65496440,PauloRCirne,,,878,0,Wed Aug 11 2021 17:59:29 GMT-0300 (Brasilia Standard Time),Wed Aug 11 2021 17:59:19 GMT-0300 (Brasilia Standard Time)
"RT @MieRenato: Se fosse Lula o indiciamento seria por corrupção e lavagem de dinheiro. 

Como não conseguem isso contra Bolsonaro então vam…",lula,,,793159859395002400,claudioanibal84,,,1,0,Wed Aug 11 2021 17:59:29 GMT-0300 (Brasilia Standard Time),Wed Aug 11 2021 17:59:19 GMT-0300 (Brasilia Standard Time)
@RenanSantosMBL MBL é Ciro e Ciro é Lula,lula,,,1268219624342069200,neiamelo7,,,0,0,Wed Aug 11 2021 17:59:29 GMT-0300 (Brasilia Standard Time),Wed Aug 11 2021 17:59:19 GMT-0300 (Brasilia Standard Time)
RT @LulaOficial: Lula ao vivo na Rádio Aparecida de São Paulo https://t.co/KLeZ7oG85O,lula,,,160675477,marciaco7,,,143,0,Wed Aug 11 2021 17:59:29 GMT-0300 (Brasilia Standard Time),Wed Aug 11 2021 17:59:14 GMT-0300 (Brasilia Standard Time)
"@LulaOficial presidente Lula, qndo tu vem para o Twitter é bom demais",lula,,,976575254742159400,ChaconEstevam,,,0,0,Wed Aug 11 2021 17:59:29 GMT-0300 (Brasilia Standard Time),Wed Aug 11 2021 17:59:13 GMT-0300 (Brasilia Standard Time)
"RT @bixparrilla: Na minha cabeça quando falar ""lula é o novo presidente do brasil"" automaticamente o dólar vai cair igual todo mundo pensav…",lula,,,1027960288539287600,anelyx,,,2,0,Wed Aug 11 2021 17:59:29 GMT-0300 (Brasilia Standard Time),Wed Aug 11 2021 17:59:13 GMT-0300 (Brasilia Standard Time)
"RT @updatechartuc: Baseado em pesquisas feitas pelo IntraCampos, se as eleições fossem hoje, Lula seria ELEITO com 57% dos votos no segundo…",lula,,,1225164042400161800,cururu000,,,788,0,Wed Aug 11 2021 17:59:29 GMT-0300 (Brasilia Standard Time),Wed Aug 11 2021 17:59:12 GMT-0300 (Brasilia Standard Time)
"RT @fec5588fm: O Presidente Bolsonaro TRUCOU e o pstf do lula ladrão e o ministro aveludado, gritaram seis. Os deputados que só elegem com…",lula,,,1376935928363630600,MiraniMota,,,124,0,Wed Aug 11 2021 17:59:29 GMT-0300 (Brasilia Standard Time),Wed Aug 11 2021 17:59:10 GMT-0300 (Brasilia Standard Time)
@andersongtorres @JusticaGovBR Dr. @andersongtorres e os delegados federais corruptos que forjaram o sequestro do f… https://t.co/W2bMThCCpu,lula,,,1320576294011216000,albuquerque_vr,,,0,0,Wed Aug 11 2021 17:59:29 GMT-0300 (Brasilia Standard Time),Wed Aug 11 2021 17:59:09 GMT-0300 (Brasilia Standard Time)
RT @LulaOficial: Lula ao vivo na Rádio Aparecida de São Paulo https://t.co/KLeZ7oG85O,lula,,,4245972591,pontopalavras,,,143,0,Wed Aug 11 2021 17:59:29 GMT-0300 (Brasilia Standard Time),Wed Aug 11 2021 17:59:07 GMT-0300 (Brasilia Standard Time)
"@LulaOficial Lula, não minta, Bolsa família foi criado pelo FHC com nome de ""Bolsa Escola"", o Bolsonaro tá fazendo… https://t.co/zdleRrKHCr",lula,,,1326007213694070800,ABKBRUCKMANN,,,0,0,Wed Aug 11 2021 17:59:29 GMT-0300 (Brasilia Standard Time),Wed Aug 11 2021 17:59:07 GMT-0300 (Brasilia Standard Time)
"RT @BobJeffRoadKing: Na calada, Gilmar e Lewandowski operaram pra enterrar o processo que estava na mão de Bretas sobre a montanha de dinhe…",lula,,,1267111016149770200,CarusoLurdes,,,878,0,Wed Aug 11 2021 17:59:29 GMT-0300 (Brasilia Standard Time),Wed Aug 11 2021 17:59:01 GMT-0300 (Brasilia Standard Time)
"@LulaOficial Lula até quando você vai ficar escondido atrás das redes sociais!
Você pensa que a grande maioria dos… https://t.co/V8HhgoW40k",lula,,,1345148229189562400,EnildoCavalcan8,,,0,0,Wed Aug 11 2021 17:59:29 GMT-0300 (Brasilia Standard Time),Wed Aug 11 2021 17:59:00 GMT-0300 (Brasilia Standard Time)
"@PollyInTheSky__ @UOL Você apoia Lula em 2021, quer algo mais bizantino que isto?",lula,,,1408582460758179800,DelkKalopsitaa,,,0,0,Wed Aug 11 2021 17:59:29 GMT-0300 (Brasilia Standard Time),Wed Aug 11 2021 17:59:00 GMT-0300 (Brasilia Standard Time)
RT @LulaOficial: Lula ao vivo na Rádio Aparecida de São Paulo https://t.co/KLeZ7oG85O,lula,,,1101110755636797400,pslaranja,,,143,0,Wed Aug 11 2021 17:59:29 GMT-0300 (Brasilia Standard Time),Wed Aug 11 2021 17:58:58 GMT-0300 (Brasilia Standard Time)
"RT @majorfabianadep: Zé Dirceu, o condenado:
""Vamos tomar o poder...""

Barroso, o ""juiz”::
""Eleição não se vence, se toma"".

Lula, a ‘mão i…",lula,,,1221831405514248200,Gabrielharris27,,,469,0,Wed Aug 11 2021 17:59:29 GMT-0300 (Brasilia Standard Time),Wed Aug 11 2021 17:58:53 GMT-0300 (Brasilia Standard Time)
"RT @Sandroka131: Bora fazer um SDV para o @pejulio e @LulaOficial ? Quem acha que eles merecem segue de volta e RT. 
Meta:
Padre Júlio 1 mi…",lula,,,124606484,pakulsar,,,24,0,Wed Aug 11 2021 17:59:29 GMT-0300 (Brasilia Standard Time),Wed Aug 11 2021 17:58:52 GMT-0300 (Brasilia Standard Time)
"@Gustavo_C12 @lluishenriq @mbatalha3 @pedrocertezas porra, mas foi o que mais aconteceu quando a merda começou a es… https://t.co/mxf3Noa402",lula,,,1373126219357638700,romarino_,,,0,0,Wed Aug 11 2021 17:59:29 GMT-0300 (Brasilia Standard Time),Wed Aug 11 2021 17:58:50 GMT-0300 (Brasilia Standard Time)
"RT @BobJeffRoadKing: Na calada, Gilmar e Lewandowski operaram pra enterrar o processo que estava na mão de Bretas sobre a montanha de dinhe…",lula,,,1068558237258182700,LuziclerR,,,878,0,Wed Aug 11 2021 17:59:29 GMT-0300 (Brasilia Standard Time),Wed Aug 11 2021 17:58:49 GMT-0300 (Brasilia Standard Time)
"@BudBudRose @reikafka @brnmaciel @shes_notme @cartacapital @jdoriajr kkk tome seus remédios, só pode ser doença. Só… https://t.co/qTRZdTNs5L",lula,,,991336329102446600,Pabloschulz18,,,0,0,Wed Aug 11 2021 17:59:29 GMT-0300 (Brasilia Standard Time),Wed Aug 11 2021 17:58:45 GMT-0300 (Brasilia Standard Time)
"https://t.co/w29IDozHZ0 Como a CNN, de forma ""isenta"", fez questão de destacar que Jorge Oliveira é aliado de Bolso… https://t.co/VFewPjeA5N",lula,,,1109518938017284100,JosMaurciodeMe1,,,0,0,Wed Aug 11 2021 17:59:29 GMT-0300 (Brasilia Standard Time),Wed Aug 11 2021 17:58:45 GMT-0300 (Brasilia Standard Time)
eu que peguei o celular do Lula pra tuitar isso aqui https://t.co/R6D2caEwko,lula,,,1439578440,umvitorqualquer,,,0,0,Wed Aug 11 2021 17:59:29 GMT-0300 (Brasilia Standard Time),Wed Aug 11 2021 17:58:44 GMT-0300 (Brasilia Standard Time)
São noticias que tem ter responsabilidade pra divulgar. Delegado da PF que atacou o acampamento Lula Livre morreu.N… https://t.co/8qu060xjSv,lula,,,41666235,otaviani,,,0,0,Wed Aug 11 2021 17:59:29 GMT-0300 (Brasilia Standard Time),Wed Aug 11 2021 17:58:43 GMT-0300 (Brasilia Standard Time)
"@andersongtorres @JusticaGovBR Doutor, e os delegados federais corruptos que forjaram o sequestro do filho do então… https://t.co/D27Ede6Ten",lula,,,1320576294011216000,albuquerque_vr,,,0,0,Wed Aug 11 2021 17:59:29 GMT-0300 (Brasilia Standard Time),Wed Aug 11 2021 17:58:43 GMT-0300 (Brasilia Standard Time)
"RT @BobJeffRoadKing: Na calada, Gilmar e Lewandowski operaram pra enterrar o processo que estava na mão de Bretas sobre a montanha de dinhe…",lula,,,1401222989564231700,EDERSON70039945,,,878,0,Wed Aug 11 2021 17:59:29 GMT-0300 (Brasilia Standard Time),Wed Aug 11 2021 17:58:42 GMT-0300 (Brasilia Standard Time)
"RT @updatechartuc: Baseado em pesquisas feitas pelo IntraCampos, se as eleições fossem hoje, Lula seria ELEITO com 57% dos votos no segundo…",lula,,,1095753201939333100,idgaw_ann,,,788,0,Wed Aug 11 2021 17:59:29 GMT-0300 (Brasilia Standard Time),Wed Aug 11 2021 17:58:42 GMT-0300 (Brasilia Standard Time)
