text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"RT @PRabello: Assistam ao programa no link abaixo, debate entre 3 pre-candidatos, Ciro, Leite e Mandetta. Bom nível e clara superioridade d…",mandetta,,,104838659,LeoHidSouza,,,71,0,Fri Aug 13 2021 09:27:20 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:27:18 GMT-0300 (Brasilia Standard Time)
"RT @MrioMoreiraTor1: @lhmandetta ""É isto aí, Mandetta, precisamos reunir as Pessoas e Políticos do Bem, para juntos construirmos e formatar…",mandetta,,,2551107689,tupihgl,,,3,0,Fri Aug 13 2021 09:27:20 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:26:51 GMT-0300 (Brasilia Standard Time)
"@83MarcosSantos Ainda não vi… como foi Mandetta, continua babando por Ciro? Kkkkk Pq nas vzs em que se encontraram,… https://t.co/Y0jRr4Q594",mandetta,,,1295908564356259800,JoyceBa11489028,,,0,0,Fri Aug 13 2021 09:27:20 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:25:25 GMT-0300 (Brasilia Standard Time)
"Exemplo claro, Sarney, Collor, Itamar, Fernando Henrique, Lula, Dilma, Valdemar da Costa Neto, Mandetta, Eduardo Cu… https://t.co/yCZRTcdyKo",mandetta,,,1142200792167985200,JohnBrasileiro3,,,0,0,Fri Aug 13 2021 09:27:20 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:24:01 GMT-0300 (Brasilia Standard Time)
"RT @renato_battista: Pessoas que eu votaria contra Lula e Bolsonaro:

João Amoêdo
Sérgio Moro
Danilo Gentili
Henrique Mandetta
João Doria
E…",mandetta,,,1040976018037780500,Tocantins79,,,142,0,Fri Aug 13 2021 09:27:20 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:24:01 GMT-0300 (Brasilia Standard Time)
"RT @PRabello: Assistam ao programa no link abaixo, debate entre 3 pre-candidatos, Ciro, Leite e Mandetta. Bom nível e clara superioridade d…",mandetta,,,938056800259199000,Kate_indignada,,,71,0,Fri Aug 13 2021 09:27:20 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:23:19 GMT-0300 (Brasilia Standard Time)
"RT @zfabrogmailcom: Min Alexandre pede para o Barroso analisar Campanha Eleitoral Antecipada do Mininstro da Justiça 
@andersongtorres

Ele…",mandetta,,,1261720918759538700,NukuiSimone,,,25,0,Fri Aug 13 2021 09:27:20 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:22:28 GMT-0300 (Brasilia Standard Time)
"RT @madruga010: Hei, @TSEjusbr  pode blog de extrema esquerda fazer campanha antecipada com candidatos a presidência em 2022?

Eduardo Leit…",mandetta,,,1352643002632720400,SylviaMinion3,,,104,0,Fri Aug 13 2021 09:27:20 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:22:10 GMT-0300 (Brasilia Standard Time)
"RT @PRabello: Assistam ao programa no link abaixo, debate entre 3 pre-candidatos, Ciro, Leite e Mandetta. Bom nível e clara superioridade d…",mandetta,,,1039885063872237600,CcesarcAlmeida,,,71,0,Fri Aug 13 2021 09:27:20 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:21:18 GMT-0300 (Brasilia Standard Time)
"RT @Estadao: #2022EmDebate: Com Ciro (@cirogomes), Leite (@eduardoleite) e Mandetta (@lhmandetta), 'Primárias' discute nesta quinta como me…",mandetta,,,1047515495396757500,FRANCINALDOAN11,,,79,0,Fri Aug 13 2021 09:27:20 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:21:07 GMT-0300 (Brasilia Standard Time)
"RT @todoscomciro: Acabou de terminar o #2022EmDebate com a participação de Mandetta, Eduardo Leite e Ciro Gomes.

Confiram aqui a fala fina…",mandetta,,,113932892,murilosinger,,,363,0,Fri Aug 13 2021 09:27:20 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:20:46 GMT-0300 (Brasilia Standard Time)
RT @donizetearruda7: 💣💣💣CIRO GOMES FAZ O QUE MAIS GOSTA: ESCULHAMBAR LULA E O PT. E O PT DO CEARÁ NADA RESPONDE NA DEFESA DO PARTIDO E DE L…,mandetta,,,1423452566248169500,MarcosMjsn,,,2,0,Fri Aug 13 2021 09:27:20 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:20:39 GMT-0300 (Brasilia Standard Time)
"RT @todoscomciro: Acabou de terminar o #2022EmDebate com a participação de Mandetta, Eduardo Leite e Ciro Gomes.

Confiram aqui a fala fina…",mandetta,,,1279785410026233900,Nmechamoleandro,,,363,0,Fri Aug 13 2021 09:27:20 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:20:34 GMT-0300 (Brasilia Standard Time)
"RT @renato_battista: Pessoas que eu votaria contra Lula e Bolsonaro:

João Amoêdo
Sérgio Moro
Danilo Gentili
Henrique Mandetta
João Doria
E…",mandetta,,,1149046349893111800,LucasGustavo700,,,142,0,Fri Aug 13 2021 09:27:20 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:19:04 GMT-0300 (Brasilia Standard Time)
"RT @brom_elisa: ⚖️Min Alexandre pede para o Barroso analisar Campanha Eleitoral Antecipada do Mininstro da Justiça @andersongtorres 

Ele j…",mandetta,,,1147495471675531300,AugustoCesarAz1,,,333,0,Fri Aug 13 2021 09:27:20 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:17:58 GMT-0300 (Brasilia Standard Time)
"RT @brom_elisa: ⚖️Min Alexandre pede para o Barroso analisar Campanha Eleitoral Antecipada do Mininstro da Justiça @andersongtorres 

Ele j…",mandetta,,,323946846,FerreiraCardin,,,333,0,Fri Aug 13 2021 09:27:20 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:15:36 GMT-0300 (Brasilia Standard Time)
O ex-ministro da Saúde Luis Henrique Mandetta (DEM-MT) usou as redes sociais para lamentar a morte do ator Tarcísio… https://t.co/jf8sgxSeVy,mandetta,,,820044123524792300,InfoTodaHora,,,0,1,Fri Aug 13 2021 09:27:20 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:14:46 GMT-0300 (Brasilia Standard Time)
"RT @paulofilippus: Não esquece de avisar no grupo do zap que não vais jogar bola essa semana, é um saco quando as pessoas faltam sem avisar…",mandetta,,,1261295133670203400,MariaSocorroBr4,,,26,0,Fri Aug 13 2021 09:27:20 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:14:40 GMT-0300 (Brasilia Standard Time)
"RT @ricardope: O Estadão vai fazer um debate entre ciro, mandetta e eduardo leite. E eu pensando que só nas Olimpíadas tinha disputa pelo b…",mandetta,,,146245337,caribeironeto,,,354,0,Fri Aug 13 2021 09:27:20 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:08:24 GMT-0300 (Brasilia Standard Time)
"RT @brom_elisa: ⚖️Min Alexandre pede para o Barroso analisar Campanha Eleitoral Antecipada do Mininstro da Justiça @andersongtorres 

Ele j…",mandetta,,,908269040,hugow10,,,333,0,Fri Aug 13 2021 09:27:20 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:08:22 GMT-0300 (Brasilia Standard Time)
"RT @ricardope: O Estadão vai fazer um debate entre ciro, mandetta e eduardo leite. E eu pensando que só nas Olimpíadas tinha disputa pelo b…",mandetta,,,68533741,joicereis_,,,354,0,Fri Aug 13 2021 09:27:20 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:07:32 GMT-0300 (Brasilia Standard Time)
"RT @brom_elisa: ⚖️Min Alexandre pede para o Barroso analisar Campanha Eleitoral Antecipada do Mininstro da Justiça @andersongtorres 

Ele j…",mandetta,,,1146004940659314700,CezarAlmeida18,,,333,0,Fri Aug 13 2021 09:27:20 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:06:01 GMT-0300 (Brasilia Standard Time)
RT @DrKristopher: @lhmandetta @EduardoLeite_ @cirogomes @CLP_Brasil @Estadao @lfdavilaoficial Eduardo Leite quebrou ainda mais o RS com as…,mandetta,,,3075956003,colombinigbrl,,,1,0,Fri Aug 13 2021 09:27:20 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:04:33 GMT-0300 (Brasilia Standard Time)
"RT @Gisaieira: Olha só,os candidatos Mandetta,Ciro e Eduardo Leite em debate político mas,Alexandre de Moraes manda investigar o ministro d…",mandetta,,,363879946,motter_ja,,,3,0,Fri Aug 13 2021 09:27:20 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:03:17 GMT-0300 (Brasilia Standard Time)
"RT @ricardope: O Estadão vai fazer um debate entre ciro, mandetta e eduardo leite. E eu pensando que só nas Olimpíadas tinha disputa pelo b…",mandetta,,,69118562,jonespalomino,,,354,0,Fri Aug 13 2021 09:27:20 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:03:08 GMT-0300 (Brasilia Standard Time)
"RT @ricardope: O Estadão vai fazer um debate entre ciro, mandetta e eduardo leite. E eu pensando que só nas Olimpíadas tinha disputa pelo b…",mandetta,,,1132136112,msdias70,,,354,0,Fri Aug 13 2021 09:27:20 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:01:53 GMT-0300 (Brasilia Standard Time)
"RT @Reconectad0sSA: •Insegurança de dados virtuais, incluso urnas eletrônicas?
•Vacina compulsória?
•Lockdown?
•Imposições do estado?
•Cará…",mandetta,,,895047409868386300,Reconectad0sSA,,,6,0,Fri Aug 13 2021 09:27:20 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 08:58:58 GMT-0300 (Brasilia Standard Time)
"RT @todoscomciro: Acabou de terminar o #2022EmDebate com a participação de Mandetta, Eduardo Leite e Ciro Gomes.

Confiram aqui a fala fina…",mandetta,,,1262857659042214000,MarcusVMB74,,,363,0,Fri Aug 13 2021 09:27:20 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 08:56:36 GMT-0300 (Brasilia Standard Time)
