text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"RT @cartacapital: Brasil está muito perto de uma ruptura democrática, diz Mandetta

https://t.co/7psf9tu32p",mandetta,,,86980101,ricklife,,,41,0,Mon Aug 16 2021 10:16:44 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:16:12 GMT-0300 (Brasilia Standard Time)
"RT @o_antagonista: Mandetta: ""Nunca estivemos tão próximos de uma ruptura""
https://t.co/QvMos1tk5Y",mandetta,,,1258107200347803600,Regina93243572,,,60,0,Mon Aug 16 2021 10:16:44 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:15:13 GMT-0300 (Brasilia Standard Time)
"RT @cartacapital: Brasil está muito perto de uma ruptura democrática, diz Mandetta

https://t.co/7psf9tu32p",mandetta,,,1192456581050491000,Walter19384,,,41,0,Mon Aug 16 2021 10:16:44 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:14:10 GMT-0300 (Brasilia Standard Time)
"País está muito perto de uma ruptura democrática, avalia Mandetta https://t.co/wNnik17JqB",mandetta,,,1678135832,celsoocolorado,,,0,0,Mon Aug 16 2021 10:16:44 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:13:23 GMT-0300 (Brasilia Standard Time)
"RT @cartacapital: Brasil está muito perto de uma ruptura democrática, diz Mandetta

https://t.co/7psf9tu32p",mandetta,,,335288724,Portaltamoios1,,,41,0,Mon Aug 16 2021 10:16:44 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:09:25 GMT-0300 (Brasilia Standard Time)
"Nem Lula, nem Bolsonaro, nem Ciro e nem Mandetta. https://t.co/GYQcRlek5y",mandetta,,,715134804,luizcarlostavo1,,,0,2,Mon Aug 16 2021 10:16:44 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:08:24 GMT-0300 (Brasilia Standard Time)
"RT @cartacapital: Brasil está muito perto de uma ruptura democrática, diz Mandetta

https://t.co/7psf9tu32p",mandetta,,,1252013433752559600,crazyfogo,,,41,0,Mon Aug 16 2021 10:16:44 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:05:22 GMT-0300 (Brasilia Standard Time)
"RT @farias_leonidas: Esgoto Moral do Brasil

@lhmandetta é presidenciável do partido que + defende Bolsonaro e o que mais ganha dinheiro pr…",mandetta,,,715134804,luizcarlostavo1,,,1,0,Mon Aug 16 2021 10:16:44 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:05:09 GMT-0300 (Brasilia Standard Time)
"RT @o_antagonista: Mandetta: ""Nunca estivemos tão próximos de uma ruptura""
https://t.co/QvMos1tk5Y",mandetta,,,1244472140679778300,Claudia03268410,,,60,0,Mon Aug 16 2021 10:16:44 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:04:47 GMT-0300 (Brasilia Standard Time)
"País está muito perto de uma ruptura democrática, avalia Mandetta https://t.co/X0QPahjsnd",mandetta,,,47728029,midiamaxnews,,,0,0,Mon Aug 16 2021 10:16:44 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:04:34 GMT-0300 (Brasilia Standard Time)
"RT @o_antagonista: Mandetta: ""Nunca estivemos tão próximos de uma ruptura""
https://t.co/QvMos1tk5Y",mandetta,,,1103818235265339400,AnaLuizaHolan10,,,60,0,Mon Aug 16 2021 10:16:44 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:00:51 GMT-0300 (Brasilia Standard Time)
"Retrocesso: @cirogomes, @EduardoLeite_  e @lhmandetta  criticam retomada das coligações partidárias aprovada pela C… https://t.co/oySouJ9ERz",mandetta,,,69067899,CLP_Brasil,,,0,0,Mon Aug 16 2021 10:16:44 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:00:01 GMT-0300 (Brasilia Standard Time)
"RT @cartacapital: Brasil está muito perto de uma ruptura democrática, diz Mandetta

https://t.co/7psf9tu32p",mandetta,,,838546273,pensaresonhar,,,41,0,Mon Aug 16 2021 10:16:44 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 09:51:09 GMT-0300 (Brasilia Standard Time)
"País está muito perto de uma ruptura democrática, avalia Mandetta https://t.co/bgkzBwxZvw",mandetta,,,42271371,sonia_divinaa,,,0,0,Mon Aug 16 2021 10:16:44 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 09:50:25 GMT-0300 (Brasilia Standard Time)
"RT @brasil247: Mandetta diz que país se aproxima de uma ruptura democrática
https://t.co/pRCqUcHraH",mandetta,,,856999084313505800,CatiaAmorim5,,,14,0,Mon Aug 16 2021 10:16:44 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 09:47:49 GMT-0300 (Brasilia Standard Time)
"RT @cartacapital: Brasil está muito perto de uma ruptura democrática, diz Mandetta

https://t.co/7psf9tu32p",mandetta,,,78614627,adrisilva1971,,,41,0,Mon Aug 16 2021 10:16:44 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 09:44:33 GMT-0300 (Brasilia Standard Time)
"@cartacapital Mas quem pavimentou isso se chama mandetta, ops, pera...",mandetta,,,60356339,zbabel,,,0,0,Mon Aug 16 2021 10:16:44 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 09:44:29 GMT-0300 (Brasilia Standard Time)
"RT @cartacapital: Brasil está muito perto de uma ruptura democrática, diz Mandetta

https://t.co/7psf9tu32p",mandetta,,,92613487,MarcosBatatinha,,,41,0,Mon Aug 16 2021 10:16:44 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 09:42:36 GMT-0300 (Brasilia Standard Time)
RT @diogomainardi: Mandetta: “Nunca estivemos tão próximos de uma ruptura” https://t.co/Lp0cJHZQjA,mandetta,,,194645058,MariaLCAb,,,20,0,Mon Aug 16 2021 10:16:44 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 09:39:07 GMT-0300 (Brasilia Standard Time)
"RT @cartacapital: Brasil está muito perto de uma ruptura democrática, diz Mandetta

https://t.co/7psf9tu32p",mandetta,,,1085995970335309800,_ileoc,,,41,0,Mon Aug 16 2021 10:16:44 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 09:38:45 GMT-0300 (Brasilia Standard Time)
"RT @cartacapital: Brasil está muito perto de uma ruptura democrática, diz Mandetta

https://t.co/7psf9tu32p",mandetta,,,1103078068762087400,GomesTata58,,,41,0,Mon Aug 16 2021 10:16:44 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 09:33:53 GMT-0300 (Brasilia Standard Time)
"RT @cartacapital: Brasil está muito perto de uma ruptura democrática, diz Mandetta

https://t.co/7psf9tu32p",mandetta,,,194645058,MariaLCAb,,,41,0,Mon Aug 16 2021 10:16:44 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 09:26:43 GMT-0300 (Brasilia Standard Time)
"RT @cartacapital: Brasil está muito perto de uma ruptura democrática, diz Mandetta

https://t.co/7psf9tu32p",mandetta,,,971901593753915400,SheilaS56031442,,,41,0,Mon Aug 16 2021 10:16:44 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 09:22:15 GMT-0300 (Brasilia Standard Time)
RT @diogomainardi: Mandetta: “Nunca estivemos tão próximos de uma ruptura” https://t.co/Lp0cJHZQjA,mandetta,,,176859552,TrudaOceans,,,20,0,Mon Aug 16 2021 10:16:44 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 09:18:55 GMT-0300 (Brasilia Standard Time)
"RT @DCM_online: Para Mandetta, Bolsonaro não blefa e “há chance de ruptura democrática”
https://t.co/fVxJC0KfkK https://t.co/u8OjT2knLI",mandetta,,,337861071,madalenacarpa,,,28,0,Mon Aug 16 2021 10:16:44 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 09:15:58 GMT-0300 (Brasilia Standard Time)
"RT @madruga010: Hei, @TSEjusbr  pode blog de extrema esquerda fazer campanha antecipada com candidatos a presidência em 2022?

Eduardo Leit…",mandetta,,,1305645157925245000,JorgeAm13343176,,,111,0,Mon Aug 16 2021 10:16:44 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 09:10:10 GMT-0300 (Brasilia Standard Time)
"RT @cartacapital: Brasil está muito perto de uma ruptura democrática, diz Mandetta

https://t.co/7psf9tu32p",mandetta,,,1162335295146254300,Srgio45974011,,,41,0,Mon Aug 16 2021 10:16:44 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 09:08:51 GMT-0300 (Brasilia Standard Time)
"RT @cartacapital: Brasil está muito perto de uma ruptura democrática, diz Mandetta

https://t.co/7psf9tu32p",mandetta,,,33506767,Ecormack,,,41,0,Mon Aug 16 2021 10:16:44 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 09:08:46 GMT-0300 (Brasilia Standard Time)
"RT @correio: País está muito perto de uma ruptura democrática, avalia Mandetta

https://t.co/0ffnb2VzA6 https://t.co/oGLH4a9iyT",mandetta,,,715364459099856900,odio_nao,,,11,0,Mon Aug 16 2021 10:16:44 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 09:08:24 GMT-0300 (Brasilia Standard Time)
"@jandira_feghali PROTOCOLO MANDETTA, fiquem em casa que a economia veremos depois.",mandetta,,,233334112,alfivonh,,,0,0,Mon Aug 16 2021 10:16:44 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 09:04:14 GMT-0300 (Brasilia Standard Time)
"Brasil está muito perto de uma ruptura democrática, avalia Mandetta https://t.co/A78991fzR3",mandetta,,,36439280,domtotal,,,0,0,Mon Aug 16 2021 10:16:44 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 08:59:15 GMT-0300 (Brasilia Standard Time)
"RT @o_antagonista: Mandetta: ""Nunca estivemos tão próximos de uma ruptura""
https://t.co/QvMos1tk5Y",mandetta,,,1281572817381871600,ricardo80700311,,,60,0,Mon Aug 16 2021 10:16:44 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 08:57:47 GMT-0300 (Brasilia Standard Time)
"RT @MarcosR12402270: REAL MOTIVOS DAS MORTES
No início da pandemia, os remédios baratos eram demonizados. mas havia um grande lobby pelos r…",mandetta,,,1266832483250770000,PadilhaAntenor,,,7,0,Mon Aug 16 2021 10:16:44 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 08:52:13 GMT-0300 (Brasilia Standard Time)
"Ao se referir especificamente à pandemia, o ex-ministro criticou a postura do governo, do qual ele fez parte https://t.co/lMVqOMj19d",mandetta,,,49825011,OficialJBr,,,0,0,Mon Aug 16 2021 10:16:44 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 08:49:44 GMT-0300 (Brasilia Standard Time)
"""País está muito perto de uma ruptura democrática"", avalia ex-ministro Mandetta.
https://t.co/FWNm0R4e2R https://t.co/DpgEO5k3UT",mandetta,,,227603813,afranioasoares,,,0,0,Mon Aug 16 2021 10:16:44 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 08:46:27 GMT-0300 (Brasilia Standard Time)
"@rabilos @adrianofscarton @CarlosBolsonaro Mas elejo Lula MIL VEZES a esse podre! Elevo Dória, Amoêdo, Ciro, Mandet… https://t.co/aTZQ9PxRAB",mandetta,,,1349383195133948000,MarNaoSereno,,,0,0,Mon Aug 16 2021 10:16:44 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 08:44:26 GMT-0300 (Brasilia Standard Time)
"País está muito perto de uma ruptura democrática, avalia Mandetta https://t.co/Knv5MPQTwB",mandetta,,,4048681217,blogchicosoares,,,0,0,Mon Aug 16 2021 10:16:44 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 08:42:50 GMT-0300 (Brasilia Standard Time)
"@correio Aguém pode falar pro Mandetta que ex não apita nada???? ainda tá todo mundo em casa, como a rede grôbo e e… https://t.co/8cu6nr3OMr",mandetta,,,223535478,tiabiga,,,0,0,Mon Aug 16 2021 10:16:44 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 08:40:29 GMT-0300 (Brasilia Standard Time)
"RT @DCM_online: Para Mandetta, Bolsonaro não blefa e “há chance de ruptura democrática”
https://t.co/fVxJC0KfkK https://t.co/u8OjT2knLI",mandetta,,,3205955609,MariaCidada1,,,28,0,Mon Aug 16 2021 10:16:44 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 08:37:28 GMT-0300 (Brasilia Standard Time)
Realmente é meu medo. Bolsonaro não deve estar apenas blefando sabemos que a população não está contente com a atua… https://t.co/tTwjoyNgHA,mandetta,,,1082400080299262000,ColomboRossetto,,,0,0,Mon Aug 16 2021 10:16:44 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 08:30:27 GMT-0300 (Brasilia Standard Time)
"RT @cartacapital: Brasil está muito perto de uma ruptura democrática, diz Mandetta

https://t.co/7psf9tu32p",mandetta,,,3806879902,RitaLongo61,,,41,0,Mon Aug 16 2021 10:16:44 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 08:28:49 GMT-0300 (Brasilia Standard Time)
"@carlosaccano @Alexand11321943 @deborabpaimSP Esta desgraça é igual 
Mandetta...ambos mentem e são vagabundos igual o capêta.",mandetta,,,1390233862630948900,EDUARDO01967777,,,0,1,Mon Aug 16 2021 10:16:44 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 08:25:56 GMT-0300 (Brasilia Standard Time)
"@Veny_ @BelemJameson Seria muito legal se todos se unissem em torno de uma candidatura única.

Sendo definido já, d… https://t.co/JN8lh2Sx8E",mandetta,,,201532540,uhmorcego,,,0,0,Mon Aug 16 2021 10:16:44 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 08:24:02 GMT-0300 (Brasilia Standard Time)
"RT @cartacapital: Brasil está muito perto de uma ruptura democrática, diz Mandetta

https://t.co/7psf9tu32p",mandetta,,,38324224,wpz13,,,41,0,Mon Aug 16 2021 10:16:44 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 08:22:46 GMT-0300 (Brasilia Standard Time)
