text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"RT @mmarescast: Não é só Dória, Mandetta, Moro ou Ciro q não decolam. O bolsonarismo ocupou o eleitorado da direita tirando o oxigênio dess…",mandetta,,,399092326,Rangel_Lucia,,,2,0,Sun Aug 15 2021 20:02:30 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:58:34 GMT-0300 (Brasilia Standard Time)
"RT @mmarescast: Não é só Dória, Mandetta, Moro ou Ciro q não decolam. O bolsonarismo ocupou o eleitorado da direita tirando o oxigênio dess…",mandetta,,,426020295,cleberiam,,,2,0,Sun Aug 15 2021 20:02:30 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:54:44 GMT-0300 (Brasilia Standard Time)
"Não é só Dória, Mandetta, Moro ou Ciro q não decolam. O bolsonarismo ocupou o eleitorado da direita tirando o oxigê… https://t.co/Wba0OuzZjm",mandetta,,,146541122,mmarescast,,,2,10,Sun Aug 15 2021 20:02:30 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:49:46 GMT-0300 (Brasilia Standard Time)
"MeuS amigos o CN foi definido por LULA/1993:""tem mais D 300CANALHAS""! Eliane Calmon/2011:""no Brasil tem JUIZ CANALH… https://t.co/nt7884xZDb",mandetta,,,267752624,josepgondim,,,0,0,Sun Aug 15 2021 20:02:30 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:45:11 GMT-0300 (Brasilia Standard Time)
"MeUs amigos o CN foi definido por LULA/1993:""tem mais D 300CANALHAS""! Eliane Calmon/2011:""no Brasil tem JUIZ CANALH… https://t.co/xggPyT6evK",mandetta,,,267752624,josepgondim,,,0,0,Sun Aug 15 2021 20:02:30 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:45:03 GMT-0300 (Brasilia Standard Time)
"MEus amigos o CN foi definido por LULA/1993:""tem mais D 300CANALHAS""! Eliane Calmon/2011:""no Brasil tem JUIZ CANALH… https://t.co/uIfDePNOyw",mandetta,,,267752624,josepgondim,,,0,0,Sun Aug 15 2021 20:02:30 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:44:54 GMT-0300 (Brasilia Standard Time)
"MEUS AMIGOS o CN foi definido por LULA/1993:""tem mais D 300CANALHAS""! Eliane Calmon/2011:""no Brasil tem JUIZ CANALH… https://t.co/84bC1dHIcC",mandetta,,,267752624,josepgondim,,,0,0,Sun Aug 15 2021 20:02:30 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:43:55 GMT-0300 (Brasilia Standard Time)
"Meus AMIGOS o CN foi definido por LULA/1993:""tem mais D 300CANALHAS""! Eliane Calmon/2011:""no Brasil tem JUIZ CANALH… https://t.co/r1Kl5twQm1",mandetta,,,267752624,josepgondim,,,0,0,Sun Aug 15 2021 20:02:30 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:43:37 GMT-0300 (Brasilia Standard Time)
"MEUS amigos o CN foi definido por LULA/1993:""tem mais D 300CANALHAS""! Eliane Calmon/2011:""no Brasil tem JUIZ CANALH… https://t.co/jUJBBWx8RU",mandetta,,,267752624,josepgondim,,,0,0,Sun Aug 15 2021 20:02:30 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:43:25 GMT-0300 (Brasilia Standard Time)
"Meus Amigos o CN foi definido por LULA/1993:""tem mais D 300CANALHAS""! Eliane Calmon/2011:""no Brasil tem JUIZ CANALH… https://t.co/0EwFq78SkM",mandetta,,,267752624,josepgondim,,,0,0,Sun Aug 15 2021 20:02:30 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:43:14 GMT-0300 (Brasilia Standard Time)
"RT @josepgondim: Meus amigos o CN foi definido por LULA/1993:""tem mais D 300CANALHAS""! Eliane Calmon/2011:""no Brasil tem JUIZ CANALHA ATRÁS…",mandetta,,,309633451,recalleleitoral,,,1,0,Sun Aug 15 2021 20:02:30 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:43:01 GMT-0300 (Brasilia Standard Time)
"Meus amigos o CN foi definido por LULA/1993:""tem mais D 300CANALHAS""! Eliane Calmon/2011:""no Brasil tem JUIZ CANALH… https://t.co/sVVV6uzrnn",mandetta,,,267752624,josepgondim,,,0,0,Sun Aug 15 2021 20:02:30 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:42:55 GMT-0300 (Brasilia Standard Time)
