text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"Pacheco falando parecia o Mandetta. Igualzinhos. 
Devem ter tido o mesmo adestrador. Palavras vazias. 
Frases monta… https://t.co/Id2c8tu0R3",mandetta,,,1218273499707560000,TaniaS_Brasil,,,0,1,Wed Aug 25 2021 19:47:56 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 19:43:04 GMT-0300 (Brasilia Standard Time)
"@CrimesReais @CacoBrasil2 Esta é situação que este desgoverno,  Ricardo Barros e Mandetta queriam pra povo brasileiro privatizando o SUS",mandetta,,,572843753,verancorrea,,,0,0,Wed Aug 25 2021 19:47:56 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 19:35:30 GMT-0300 (Brasilia Standard Time)
@Estadao @EstadaoPolitica Mandetta? Do DEM? O golpista? O mesmo que votou contra o SUS? Que perseguiu o Mais Médico… https://t.co/Nf9vIy0QKn,mandetta,,,2692525199,andiamomeno,,,0,1,Wed Aug 25 2021 19:47:56 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 19:32:18 GMT-0300 (Brasilia Standard Time)
"RT @ElianeMS6: @desbocadadobar talvez, décima via.
 O DEM e o PSDB são os donos do cidadania. 
Dem está testando o Mandetta, aquele que que…",mandetta,,,1410200058973278200,desbocadadobar,,,1,0,Wed Aug 25 2021 19:47:56 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 19:24:12 GMT-0300 (Brasilia Standard Time)
"@ElianeMS6 Aécio não decola e nem Mandetta. Tasso eu acho que não tem eleitorado necessário no país inteiro.
Doria… https://t.co/8RO6hrorXh",mandetta,,,1410200058973278200,desbocadadobar,,,0,1,Wed Aug 25 2021 19:47:56 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 19:24:10 GMT-0300 (Brasilia Standard Time)
@Estadao @EstadaoPolitica O mandetta é aquele que expulsou os médicos cubanos e que tinha a missão de privatizar o SUS? Next.,mandetta,Brazil,"Sao Paulo, Brazil",1147957178592059400,resende_fabi,,,0,3,Wed Aug 25 2021 19:47:56 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 19:19:34 GMT-0300 (Brasilia Standard Time)
"@desbocadadobar talvez, décima via.
 O DEM e o PSDB são os donos do cidadania. 
Dem está testando o Mandetta, aquel… https://t.co/M2ihl8f2jG",mandetta,,,1235336482153468000,ElianeMS6,,,1,1,Wed Aug 25 2021 19:47:56 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 19:15:40 GMT-0300 (Brasilia Standard Time)
RT @Estadao: Mandetta faz seminários para se credenciar como nome do DEM à Presidência (via @EstadaoPolitica) https://t.co/VsfU2SKzxe,mandetta,,,50613002,Saodionisio,,,2,0,Wed Aug 25 2021 19:47:56 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 19:06:54 GMT-0300 (Brasilia Standard Time)
"RT @JoseDinisPFons1: @lhmandetta @lhmandetta 
MANDETTA SEGUNDO A SUA IGNORÂNCIA:
   ‘’FIQUE EM CASA ATÉ SENTIR FALTA DE AR,DEPOIS VÁ AO HOS…",mandetta,,,1242795997790691300,JoseDinisPFons1,,,1,0,Wed Aug 25 2021 19:47:56 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 19:06:42 GMT-0300 (Brasilia Standard Time)
RT @Estadao: Mandetta faz seminários para se credenciar como nome do DEM à Presidência (via @EstadaoPolitica) https://t.co/VsfU2SKzxe,mandetta,,,1108732332,MosilveiraF,,,2,0,Wed Aug 25 2021 19:47:56 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 19:02:50 GMT-0300 (Brasilia Standard Time)
