text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"Salvador vacinando 18+ pra quem trabalha na indústria, e moro em Camaçari 🤡",moro,,,1251208891553198000,almeidaerafa,,,0,0,Tue Aug 10 2021 10:15:25 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 10:15:21 GMT-0300 (Brasilia Standard Time)
"@rockinrio Só o justin poderia me fazer sair do fim do mundo que eu moro pra ir nesse festival, avisa rir 🤷🏽‍♂️💜",moro,,,1367526386659979300,Rbieber00_,,,0,0,Tue Aug 10 2021 10:15:25 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 10:15:20 GMT-0300 (Brasilia Standard Time)
"RT @superiIudido: ""esperava mais de você"" 

mano, eu não sei explicar nem onde eu moro",moro,,,1275745437643952000,moranguet__,,,2301,0,Tue Aug 10 2021 10:15:25 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 10:15:15 GMT-0300 (Brasilia Standard Time)
"@bolsodrip EU moro aqui e posso confirmar

Que não tem nenhuma rua assim",moro,,,1407055432217211000,The_caesar1868,,,0,0,Tue Aug 10 2021 10:15:25 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 10:15:13 GMT-0300 (Brasilia Standard Time)
"RT @superiIudido: ""esperava mais de você"" 

mano, eu não sei explicar nem onde eu moro",moro,,,1227232551737135000,byandracr,,,2301,0,Tue Aug 10 2021 10:15:25 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 10:15:03 GMT-0300 (Brasilia Standard Time)
@Miguel07739896 eu moro no país gente grande DOIS,moro,,,1190070983262118000,yugochat,,,0,0,Tue Aug 10 2021 10:15:25 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 10:15:01 GMT-0300 (Brasilia Standard Time)
"RT @BrazilFight: O GOLPE
1.Acabar com a prisão em segunda instância=Lula solto
2.Anular julgamentos de Moro=Lula elegível
3.Institutos frau…",moro,,,1154197500796031000,MarciaF26315459,,,362,0,Tue Aug 10 2021 10:15:25 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 10:14:48 GMT-0300 (Brasilia Standard Time)
"RT @JSMorais1: @leandroruschel Moro foi declarado suspeito simplesmente por ter conversado com o promotor do caso, imagina esses aí q são o…",moro,,,1112402624131854300,GelsonMarcucci,,,24,0,Tue Aug 10 2021 10:15:25 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 10:14:43 GMT-0300 (Brasilia Standard Time)
"@rosamariavolei Vc merece, nenêm. Merece todo carinho, amor do mundo. Pena que moro longe( na Bahia) , mas com cert… https://t.co/INX0u7gxuJ",moro,,,3995431175,Carollevy77,,,0,0,Tue Aug 10 2021 10:15:25 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 10:14:39 GMT-0300 (Brasilia Standard Time)
"@rockinrio se n tiver Taylor Swift e Ivete no mesmo dia eu taco fogo no parque olímpico, moro perto mesmo",moro,,,1086022251798020100,blackrosekind,,,0,0,Tue Aug 10 2021 10:15:25 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 10:14:38 GMT-0300 (Brasilia Standard Time)
"Sem desgrudar da bandeira do combate à corrupção, Moro não abre o jogo sobre 2022. O ex-juiz empolga alguns gatos p… https://t.co/aPWMfT72WV",moro,,,839060604241457200,MarceloRib_eiro,,,0,0,Tue Aug 10 2021 10:15:25 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 10:14:38 GMT-0300 (Brasilia Standard Time)
@nereucrispim @anaamelialemos @EduardoLeite_ @marceloramosam @KimKataguiri @joicehasselmann @SF_Moro Tem medo mas n… https://t.co/IMuBxMXrII,moro,,,1057791301134049300,mariade65110228,,,0,0,Tue Aug 10 2021 10:15:25 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 10:14:36 GMT-0300 (Brasilia Standard Time)
"RT @BrazilFight: O GOLPE
1.Acabar com a prisão em segunda instância=Lula solto
2.Anular julgamentos de Moro=Lula elegível
3.Institutos frau…",moro,,,1082345290307457000,nelitlomartins,,,362,0,Tue Aug 10 2021 10:15:25 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 10:14:35 GMT-0300 (Brasilia Standard Time)
mds do céu depois eu viro o sergio moro n vao sabe pq  olha quem veio novamente pra me dar essa matéria,moro,,,4729782273,soobinagiota,,,0,2,Tue Aug 10 2021 10:15:25 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 10:14:32 GMT-0300 (Brasilia Standard Time)
@BorgesKemp Eu queria demais colocar o Sérgio Moro entre Bolsonaro e Lula pra mim ele tá anos luz na frente mas sei… https://t.co/HFLVRXPK2h,moro,,,1354250158771417000,juao_CRF,,,0,0,Tue Aug 10 2021 10:15:25 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 10:14:28 GMT-0300 (Brasilia Standard Time)
"RT @BrazilFight: O GOLPE
1.Acabar com a prisão em segunda instância=Lula solto
2.Anular julgamentos de Moro=Lula elegível
3.Institutos frau…",moro,,,1361313012079071200,LuizAquino20,,,362,0,Tue Aug 10 2021 10:15:25 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 10:14:22 GMT-0300 (Brasilia Standard Time)
"pior é eu que tenho que ir buscar pq decidiram que moro em lugar perigoso, sendo que o lugar perigoso é onde a agên… https://t.co/Jym10yA7EW",moro,,,1317652123841106000,kilekiller,,,0,0,Tue Aug 10 2021 10:15:25 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 10:14:18 GMT-0300 (Brasilia Standard Time)
"@LRobertoBarroso Barroso, você não tem voto. Já deveria ter sido impichado por ativismo político, interferindo nos… https://t.co/qNMtPwuUZU",moro,,,82634976,JAFE21,,,0,0,Tue Aug 10 2021 10:15:25 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 10:14:12 GMT-0300 (Brasilia Standard Time)
