text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"RT @justicebaldwinb: 📍 THREAD: HOTÉIS EM CONTA PARA ESTADIA DURANTE O ROCK IN RIO (próximo ao local do show ou estações de BRT). 

1° Eu nã…",moro,,,929736219805790200,rhodeluxo,,,11,0,Wed Aug 11 2021 17:59:31 GMT-0300 (Brasilia Standard Time),Wed Aug 11 2021 17:59:27 GMT-0300 (Brasilia Standard Time)
"Moro presidente já! Pela prisão dos seguintes corruptos: Sarney, Collor, FHC, Lulalau, Dilma, Temer, Bolsohitler (e… https://t.co/3uOyUkXEeH",moro,,,1379238511447003100,JODERYMA1,,,0,0,Wed Aug 11 2021 17:59:31 GMT-0300 (Brasilia Standard Time),Wed Aug 11 2021 17:59:12 GMT-0300 (Brasilia Standard Time)
@msbyswf TB MORO NO SUL LUZ,moro,,,1393779402148884500,yeagerg1rll,,,0,0,Wed Aug 11 2021 17:59:31 GMT-0300 (Brasilia Standard Time),Wed Aug 11 2021 17:59:11 GMT-0300 (Brasilia Standard Time)
"@marininonawa eu moro em Sergipe, da não muito caro kkkkkkk vou ter que esperar mesmo",moro,,,1289979060131594200,Nickolaybeloved,,,0,0,Wed Aug 11 2021 17:59:31 GMT-0300 (Brasilia Standard Time),Wed Aug 11 2021 17:59:04 GMT-0300 (Brasilia Standard Time)
Tanta coisa pra fazer em casa que vou fingir que não moro sozinha e dormir 😐,moro,Brazil,"Sao Paulo, Brazil",60399812,kastefanie,,,0,0,Wed Aug 11 2021 17:59:31 GMT-0300 (Brasilia Standard Time),Wed Aug 11 2021 17:59:02 GMT-0300 (Brasilia Standard Time)
"#surfenaEspn
Renam manda um salve aqui pro Gustavo Moro Katherine Moro do cantão de bora bora em Boraceia todos na… https://t.co/8lOAczFS88",moro,,,1230608984190705700,andrechina2,,,0,0,Wed Aug 11 2021 17:59:31 GMT-0300 (Brasilia Standard Time),Wed Aug 11 2021 17:58:59 GMT-0300 (Brasilia Standard Time)
"RT @justicebaldwinb: 📍 THREAD: HOTÉIS EM CONTA PARA ESTADIA DURANTE O ROCK IN RIO (próximo ao local do show ou estações de BRT). 

1° Eu nã…",moro,,,820401387452436500,c4rolinyv,,,11,0,Wed Aug 11 2021 17:59:31 GMT-0300 (Brasilia Standard Time),Wed Aug 11 2021 17:58:55 GMT-0300 (Brasilia Standard Time)
@louvscabello Onde moro não liberaram ainda,moro,,,1367659897773564000,JosuaMarta,,,0,0,Wed Aug 11 2021 17:59:31 GMT-0300 (Brasilia Standard Time),Wed Aug 11 2021 17:58:53 GMT-0300 (Brasilia Standard Time)
"RT @justicebaldwinb: 📍 THREAD: HOTÉIS EM CONTA PARA ESTADIA DURANTE O ROCK IN RIO (próximo ao local do show ou estações de BRT). 

1° Eu nã…",moro,,,1360557123021791200,drewczzle,,,11,0,Wed Aug 11 2021 17:59:31 GMT-0300 (Brasilia Standard Time),Wed Aug 11 2021 17:58:49 GMT-0300 (Brasilia Standard Time)
fazer qualquer coisa em feira é extremamente desgastante pois eu moro em AC,moro,,,3370735654,cometinh4,,,0,0,Wed Aug 11 2021 17:59:31 GMT-0300 (Brasilia Standard Time),Wed Aug 11 2021 17:58:35 GMT-0300 (Brasilia Standard Time)
