text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
Primeira e única indústria de trigo do Amapá paralisa atividades por falta de incentivos do governo Waldez e 300 pa… https://t.co/s25lDrTeEo,waldez,,,51137903,eduardonevesmcp,,,0,1,Thu Aug 19 2021 19:51:18 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:46:07 GMT-0300 (Brasilia Standard Time)
"Eu acho que nós estamos igual o desenho Caverna do Dragão. Morremos, fomos pro inferno e ninguém avisou a gente ain… https://t.co/pIv6vmhEYI",waldez,,,1237755585979875300,JulianaCvlhr,,,0,3,Thu Aug 19 2021 19:51:18 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 17:52:32 GMT-0300 (Brasilia Standard Time)
CRM-AP se insurge contra descaso de Waldez na Saúde e pede providências da Sesa quanto a limpeza do Hospital de San… https://t.co/u9lHnnzFmm,waldez,,,168172487,heversoncastro,,,0,0,Thu Aug 19 2021 19:51:18 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 16:24:30 GMT-0300 (Brasilia Standard Time)
"RT @NellyYumi: Governadores q assinaram apoio ao STF: Rui Costa, Flávio Dino, Paulo Câmara, João Doria, Eduardo Leite, Camilo Santana, João…",waldez,,,1029850932677361700,Julioslima2,,,836,0,Thu Aug 19 2021 19:51:18 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 15:08:45 GMT-0300 (Brasilia Standard Time)
@DCM_online @randolfeap nas mesmas fileiras do Waldez Góes que ironia hein senador 🤮,waldez,,,1395153628751704000,Eduardo64214494,,,0,0,Thu Aug 19 2021 19:51:18 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 12:30:44 GMT-0300 (Brasilia Standard Time)
Kkkkkkkk doente demais,waldez,,,754712738744664000,waldez_filho,,,0,0,Thu Aug 19 2021 19:51:18 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 12:28:56 GMT-0300 (Brasilia Standard Time)
@waldez_filho @joaobrasv Kkkkkkkkkkkk ceis são retardado dms,waldez,,,768824342117507100,ArthurDantasM,,,0,0,Thu Aug 19 2021 19:51:18 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 12:25:17 GMT-0300 (Brasilia Standard Time)
"@joaobrasv @ArthurDantasM Então, a gente fica acostumado com ela pink e do nada fica laranja",waldez,,,754712738744664000,waldez_filho,,,0,1,Thu Aug 19 2021 19:51:18 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 12:24:27 GMT-0300 (Brasilia Standard Time)
O novo apresentador do programa Balanço Geral da Record TV AP q foi um grande apoiador de Waldez nas últimas eleiçõ… https://t.co/l2OEjqH1KQ,waldez,,,260523969,Valdeir_mcp,,,0,0,Thu Aug 19 2021 19:51:18 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 12:07:31 GMT-0300 (Brasilia Standard Time)
"Disputarei o Governo do Amapá pela REDE em uma aliança de oposição à Waldez"", afirma Randolfe* | Ponto da Pauta… https://t.co/CGVEDKmCYc",waldez,,,370739907,DenisSanta,,,0,0,Thu Aug 19 2021 19:51:18 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 07:46:15 GMT-0300 (Brasilia Standard Time)
