text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"@DiarioDoAmapa Vcs são uma piada,pior de tudo é que nao conseguem 50 curtidas.
Vão procurar se informar, vcs só sab… https://t.co/daJ05KiWfZ",waldez,,,968171000209772500,locutorjonatas,,,0,0,Tue Aug 10 2021 20:18:31 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 20:04:59 GMT-0300 (Brasilia Standard Time)
Xadrez de 2022: 45% votam em candidato apoiado por Furlan e 75% não votam em candidato apoiado por Waldez- Portal A… https://t.co/gUHXXoWrKv,waldez,,,168172487,heversoncastro,,,0,0,Tue Aug 10 2021 20:18:31 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 19:27:45 GMT-0300 (Brasilia Standard Time)
"Feira do perpétuo socorro, hoje de manhã e por todo o tempo de governo Waldez. https://t.co/MbAq36v4I7",waldez,,,3773164283,Brinuda,,,0,3,Tue Aug 10 2021 20:18:31 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 18:19:59 GMT-0300 (Brasilia Standard Time)
"RT @portalamapaAP: Xadrez de 2022: 45% votam em candidato apoiado por Furlan e 75% não votam em candidato apoiado por Waldez, aponta pesqui…",waldez,,,168172487,heversoncastro,,,1,0,Tue Aug 10 2021 20:18:31 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 17:20:50 GMT-0300 (Brasilia Standard Time)
"Xadrez de 2022: 45% votam em candidato apoiado por Furlan e 75% não votam em candidato apoiado por Waldez, aponta p… https://t.co/RIalujSlcv",waldez,,,1090117327990022100,portalamapaAP,,,1,1,Tue Aug 10 2021 20:18:31 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 17:18:48 GMT-0300 (Brasilia Standard Time)
"RT @desolaoficial: PSG x Barcelona na final da Champions

O Messi:

Crédito: Crhedrys/Twitter https://t.co/BTbAiSF9OX",waldez,,,754712738744664000,waldez_filho,,,3565,0,Tue Aug 10 2021 20:18:31 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 12:59:34 GMT-0300 (Brasilia Standard Time)
@waldez_filho nunca,waldez,,,513464864,_aguiarjv,,,0,0,Tue Aug 10 2021 20:18:31 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 11:09:49 GMT-0300 (Brasilia Standard Time)
@_aguiarjv O cara q mais zikou o psg e o neyney. Te odeio 👍🏻,waldez,,,754712738744664000,waldez_filho,,,0,3,Tue Aug 10 2021 20:18:31 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 10:52:24 GMT-0300 (Brasilia Standard Time)
RT @pequeninobrecho: o tanto de gente que vi nesse site dizendo que em julho gastou como se fosse filho do próprio waldez eu perdi as conta…,waldez,,,158531525,agarafeeling,,,1,0,Tue Aug 10 2021 20:18:31 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 07:52:19 GMT-0300 (Brasilia Standard Time)
o tanto de gente que vi nesse site dizendo que em julho gastou como se fosse filho do próprio waldez eu perdi as co… https://t.co/BPPXiC48F7,waldez,,,1231841326351687700,pequeninobrecho,,,1,8,Tue Aug 10 2021 20:18:31 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 03:11:47 GMT-0300 (Brasilia Standard Time)
@mardmoreira Hoje rendeu em,waldez,,,754712738744664000,waldez_filho,,,0,0,Tue Aug 10 2021 20:18:31 GMT-0300 (Brasilia Standard Time),Mon Aug 09 2021 21:47:24 GMT-0300 (Brasilia Standard Time)
@hyorran_f Ai ce brincou,waldez,,,754712738744664000,waldez_filho,,,0,0,Tue Aug 10 2021 20:18:31 GMT-0300 (Brasilia Standard Time),Mon Aug 09 2021 21:47:15 GMT-0300 (Brasilia Standard Time)
@waldez_filho estudou muito waldezin,waldez,,,3290775278,mardmoreira,,,0,0,Tue Aug 10 2021 20:18:31 GMT-0300 (Brasilia Standard Time),Mon Aug 09 2021 21:39:04 GMT-0300 (Brasilia Standard Time)
@waldez_filho Vc faz nada rapaz,waldez,,,800558688243068900,hyorran_f,,,0,0,Tue Aug 10 2021 20:18:31 GMT-0300 (Brasilia Standard Time),Mon Aug 09 2021 21:26:08 GMT-0300 (Brasilia Standard Time)
Hoje eu cansei nu,waldez,,,754712738744664000,waldez_filho,,,0,0,Tue Aug 10 2021 20:18:31 GMT-0300 (Brasilia Standard Time),Mon Aug 09 2021 21:23:18 GMT-0300 (Brasilia Standard Time)
"minha mae ta ajudando um projeto pra ajudar a eleição do vice do waldez...parece q gosta de sofrer
 https://t.co/m2S0ZSRvhD",waldez,,,764526056003035100,bohemiatrincada,,,0,1,Tue Aug 10 2021 20:18:31 GMT-0300 (Brasilia Standard Time),Mon Aug 09 2021 21:08:14 GMT-0300 (Brasilia Standard Time)
e pensar q a cea foi vendida pra mesma empresa de energia q tem no pará pqp waldez eu te odeio tanto https://t.co/F7etYMRZ9U,waldez,,,737008606122549200,KAlKYOIN,,,0,0,Tue Aug 10 2021 20:18:31 GMT-0300 (Brasilia Standard Time),Mon Aug 09 2021 20:17:49 GMT-0300 (Brasilia Standard Time)
Duplicação da Duca Serra vai para o 8 anos em obras e nada de conclusão é a cara da incompetência do governo Waldez https://t.co/AFVW5qNUhB,waldez,Brazil,"Macapá, Brazil",52481971,JulianoDCS,,,0,1,Tue Aug 10 2021 20:18:31 GMT-0300 (Brasilia Standard Time),Mon Aug 09 2021 10:33:32 GMT-0300 (Brasilia Standard Time)
Waldez paga aí pra gente ter paz de espírito e na mente,waldez,,,819324245809446900,aryoliver7,,,0,3,Tue Aug 10 2021 20:18:31 GMT-0300 (Brasilia Standard Time),Mon Aug 09 2021 07:56:19 GMT-0300 (Brasilia Standard Time)
Que sono é esse,waldez,,,754712738744664000,waldez_filho,,,0,1,Tue Aug 10 2021 20:18:31 GMT-0300 (Brasilia Standard Time),Mon Aug 09 2021 05:46:41 GMT-0300 (Brasilia Standard Time)
@mardmoreira @babsnovais NEM FUDENDO KKKKKKK,waldez,,,754712738744664000,waldez_filho,,,0,1,Tue Aug 10 2021 20:18:31 GMT-0300 (Brasilia Standard Time),Sun Aug 08 2021 23:07:04 GMT-0300 (Brasilia Standard Time)
WALDEZ FAZ ALGUMA COISA,waldez,,,1252238223742566400,jjksavages,,,0,0,Tue Aug 10 2021 20:18:31 GMT-0300 (Brasilia Standard Time),Sun Aug 08 2021 23:05:16 GMT-0300 (Brasilia Standard Time)
@waldez_filho @babsnovais vou mandar o seu waldez,waldez,,,3290775278,mardmoreira,,,0,1,Tue Aug 10 2021 20:18:31 GMT-0300 (Brasilia Standard Time),Sun Aug 08 2021 23:05:15 GMT-0300 (Brasilia Standard Time)
