text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
RT @Felipespaixao: O Governo Waldez está há quatro meses sem pagar so funcionários de empresa terceirizada que atende na saude. Por esse mo…,waldez,,,354966282,paulosantosnews,,,6,0,Wed Aug 04 2021 22:13:44 GMT-0300 (Brasilia Standard Time),Wed Aug 04 2021 22:07:57 GMT-0300 (Brasilia Standard Time)
RT @Felipespaixao: O Governo Waldez está há quatro meses sem pagar so funcionários de empresa terceirizada que atende na saude. Por esse mo…,waldez,,,95945707,jonataNazario,,,6,0,Wed Aug 04 2021 22:13:44 GMT-0300 (Brasilia Standard Time),Wed Aug 04 2021 21:13:49 GMT-0300 (Brasilia Standard Time)
Hitei com o vídeo do Waldez fazendo hamburger,waldez,,,3298727421,carloswearboots,,,0,0,Wed Aug 04 2021 22:13:44 GMT-0300 (Brasilia Standard Time),Wed Aug 04 2021 20:19:46 GMT-0300 (Brasilia Standard Time)
RT @Felipespaixao: O Governo Waldez está há quatro meses sem pagar so funcionários de empresa terceirizada que atende na saude. Por esse mo…,waldez,,,438688821,marcondysap,,,6,0,Wed Aug 04 2021 22:13:44 GMT-0300 (Brasilia Standard Time),Wed Aug 04 2021 19:42:57 GMT-0300 (Brasilia Standard Time)
RT @vinezsz: perdeu tudo! 😱 o drama de waldez 😳 vendendo hambúrguer 😋🍔😜,waldez,,,867506424913571800,EdwiLuiz,,,3,0,Wed Aug 04 2021 22:13:44 GMT-0300 (Brasilia Standard Time),Wed Aug 04 2021 19:10:25 GMT-0300 (Brasilia Standard Time)
disk o waldez tá vendendo hambúrguer p se sustentar😥,waldez,,,1165237191225872400,galaiusom,,,0,1,Wed Aug 04 2021 22:13:44 GMT-0300 (Brasilia Standard Time),Wed Aug 04 2021 17:49:19 GMT-0300 (Brasilia Standard Time)
"@locapope confirmado 
lorem tem uma queda pelo waldez",waldez,,,797580168185442300,Kelroth,,,0,0,Wed Aug 04 2021 22:13:44 GMT-0300 (Brasilia Standard Time),Wed Aug 04 2021 17:47:32 GMT-0300 (Brasilia Standard Time)
"mas isso não é um governador
é um pai
eu te amo waldez!!!!!!!!!! https://t.co/bzlpeM9U2Z",waldez,,,797580168185442300,Kelroth,,,1,5,Wed Aug 04 2021 22:13:44 GMT-0300 (Brasilia Standard Time),Wed Aug 04 2021 17:42:03 GMT-0300 (Brasilia Standard Time)
"@luanadarby_ talvez não, porque acredito que a população jovem esteja mais mobilizada... clecio carrega uma parcela… https://t.co/eceNV3ShNS",waldez,,,1000403413161726000,eliseualvs,,,0,0,Wed Aug 04 2021 22:13:44 GMT-0300 (Brasilia Standard Time),Wed Aug 04 2021 14:58:08 GMT-0300 (Brasilia Standard Time)
"@eliseualvs Se a indignação que o pessoal tem pelo Waldez hoje em dia refletisse em voto, botaria fé. 
Creio que va… https://t.co/eVCnGdhzcI",waldez,,,44467655,luanadarby_,,,0,0,Wed Aug 04 2021 22:13:44 GMT-0300 (Brasilia Standard Time),Wed Aug 04 2021 14:52:53 GMT-0300 (Brasilia Standard Time)
@luanadarby_ vai levar ele pro segundo turno com certeza. para mim qm vai definir essa eleição infelizmente é o waldez.,waldez,,,1000403413161726000,eliseualvs,,,0,0,Wed Aug 04 2021 22:13:44 GMT-0300 (Brasilia Standard Time),Wed Aug 04 2021 14:51:14 GMT-0300 (Brasilia Standard Time)
"BM em ação
Prefeito Bruno Mineiro, de Tartarugalzinho, recebeu no final de semana, senador Davi e governador Waldez… https://t.co/mfgE7RM9d4",waldez,,,133032922,clay_sam,,,0,0,Wed Aug 04 2021 22:13:44 GMT-0300 (Brasilia Standard Time),Wed Aug 04 2021 14:20:37 GMT-0300 (Brasilia Standard Time)
RT @Felipespaixao: O Governo Waldez está há quatro meses sem pagar so funcionários de empresa terceirizada que atende na saude. Por esse mo…,waldez,,,80973508,Jenyyy____,,,6,0,Wed Aug 04 2021 22:13:44 GMT-0300 (Brasilia Standard Time),Wed Aug 04 2021 13:43:32 GMT-0300 (Brasilia Standard Time)
RT @vinezsz: perdeu tudo! 😱 o drama de waldez 😳 vendendo hambúrguer 😋🍔😜,waldez,,,263606108,DieegoArj,,,3,0,Wed Aug 04 2021 22:13:44 GMT-0300 (Brasilia Standard Time),Wed Aug 04 2021 13:10:52 GMT-0300 (Brasilia Standard Time)
"@vinezsz @lan1s_ Pior que ficou bonito o hambúrguer kkkkkkkkkkk
Me dá um pedaço Waldez",waldez,,,987695551,rllssy,,,0,1,Wed Aug 04 2021 22:13:44 GMT-0300 (Brasilia Standard Time),Wed Aug 04 2021 13:10:25 GMT-0300 (Brasilia Standard Time)
RT @vinezsz: perdeu tudo! 😱 o drama de waldez 😳 vendendo hambúrguer 😋🍔😜,waldez,,,2980647786,lan1s_,,,3,0,Wed Aug 04 2021 22:13:44 GMT-0300 (Brasilia Standard Time),Wed Aug 04 2021 13:09:06 GMT-0300 (Brasilia Standard Time)
perdeu tudo! 😱 o drama de waldez 😳 vendendo hambúrguer 😋🍔😜 https://t.co/0HAzoPgDC8,waldez,,,1074079599330504700,vinezsz,,,3,7,Wed Aug 04 2021 22:13:44 GMT-0300 (Brasilia Standard Time),Wed Aug 04 2021 13:05:00 GMT-0300 (Brasilia Standard Time)
RT @Felipespaixao: O Governo Waldez está há quatro meses sem pagar so funcionários de empresa terceirizada que atende na saude. Por esse mo…,waldez,,,256161319,sereiasafofa,,,6,0,Wed Aug 04 2021 22:13:44 GMT-0300 (Brasilia Standard Time),Wed Aug 04 2021 12:05:43 GMT-0300 (Brasilia Standard Time)
RT @Felipespaixao: O Governo Waldez está há quatro meses sem pagar so funcionários de empresa terceirizada que atende na saude. Por esse mo…,waldez,,,71938167,jackelbrasil,,,6,0,Wed Aug 04 2021 22:13:44 GMT-0300 (Brasilia Standard Time),Wed Aug 04 2021 11:32:52 GMT-0300 (Brasilia Standard Time)
O Governo Waldez está há quatro meses sem pagar so funcionários de empresa terceirizada que atende na saude. Por es… https://t.co/xUjLi0okNt,waldez,,,137541522,Felipespaixao,,,6,23,Wed Aug 04 2021 22:13:44 GMT-0300 (Brasilia Standard Time),Wed Aug 04 2021 11:27:11 GMT-0300 (Brasilia Standard Time)
RT @priscilatostes_: O Waldez daqui a algumas semanas 🙂,waldez,,,440587124,lenerdrgs,,,1,0,Wed Aug 04 2021 22:13:44 GMT-0300 (Brasilia Standard Time),Wed Aug 04 2021 09:39:55 GMT-0300 (Brasilia Standard Time)
O Waldez daqui a algumas semanas 🙂 https://t.co/49Iomp7ZP7,waldez,,,2985058060,priscilatostes_,,,1,0,Wed Aug 04 2021 22:13:44 GMT-0300 (Brasilia Standard Time),Wed Aug 04 2021 09:12:03 GMT-0300 (Brasilia Standard Time)
"@cakelicas Não falo bem do Waldez, mas@se ele me pagasse eu D*v*",waldez,Brazil,"Macapá, Brazil",353388754,BiaRafaelah,,,0,1,Wed Aug 04 2021 22:13:44 GMT-0300 (Brasilia Standard Time),Tue Aug 03 2021 21:59:54 GMT-0300 (Brasilia Standard Time)
Quem vier falar bem do Waldez ou do Clécio no meu perfil eu vou ignorar,waldez,,,3304788790,cakelicas,,,0,3,Wed Aug 04 2021 22:13:44 GMT-0300 (Brasilia Standard Time),Tue Aug 03 2021 21:58:14 GMT-0300 (Brasilia Standard Time)
RT @MariaOdilena: No jornal o Amapá apareceu hoje no vermelho ! E o Waldez liberando os bares,waldez,,,49339134,CamiloPSB,,,1,0,Wed Aug 04 2021 22:13:44 GMT-0300 (Brasilia Standard Time),Tue Aug 03 2021 18:32:49 GMT-0300 (Brasilia Standard Time)
No jornal o Amapá apareceu hoje no vermelho ! E o Waldez liberando os bares https://t.co/mJGFJXBLhG,waldez,,,1304624060945571800,MariaOdilena,,,1,3,Wed Aug 04 2021 22:13:44 GMT-0300 (Brasilia Standard Time),Tue Aug 03 2021 18:16:50 GMT-0300 (Brasilia Standard Time)
RT @CamiloPSB: ao Bailique e que lamentavelmente está aos poucos sendo destruída por dois fatores igualmente danosos: o abandono imposto pe…,waldez,,,183628508,dalva_nery,,,1,0,Wed Aug 04 2021 22:13:44 GMT-0300 (Brasilia Standard Time),Tue Aug 03 2021 11:21:03 GMT-0300 (Brasilia Standard Time)
ao Bailique e que lamentavelmente está aos poucos sendo destruída por dois fatores igualmente danosos: o abandono i… https://t.co/3oPOtMH617,waldez,,,49339134,CamiloPSB,,,1,4,Wed Aug 04 2021 22:13:44 GMT-0300 (Brasilia Standard Time),Tue Aug 03 2021 10:14:52 GMT-0300 (Brasilia Standard Time)
"@FreeFireBR @Facebook tô com problemas, toda vez que vou entrar na minha conta, coloco número e senha, quando apert… https://t.co/Rp46EQPKZs",waldez,,,1077590580455186400,Victor_waldez,,,0,0,Wed Aug 04 2021 22:13:44 GMT-0300 (Brasilia Standard Time),Tue Aug 03 2021 02:31:08 GMT-0300 (Brasilia Standard Time)
"@vanezasf35 É minha amiga. E não será a corja do Waldez, Clecio, Alcolumbre e afins... Estes só dão migalhas.",waldez,,,1410250206243868700,UAmazonie,,,0,0,Wed Aug 04 2021 22:13:44 GMT-0300 (Brasilia Standard Time),Tue Aug 03 2021 01:13:26 GMT-0300 (Brasilia Standard Time)
KKKK EU AMO O WALDEZ,waldez,,,937486610589016000,atrohj,,,0,1,Wed Aug 04 2021 22:13:44 GMT-0300 (Brasilia Standard Time),Mon Aug 02 2021 22:19:06 GMT-0300 (Brasilia Standard Time)
