text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
Acabei de ver Fachin mantém validade de busca e apreensão em gabinete e residência de mulher de Wellington Dias - C… https://t.co/Igz15ryOqR,wellington dias,,,1342776958397149200,MalyaIi,,,0,0,Fri Aug 13 2021 09:27:05 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 08:47:39 GMT-0300 (Brasilia Standard Time)
RT @brpopular: Wellington Dias vai a Brasília tratar de projeto de incentivo a veículos elétricos para o NE https://t.co/IPK669vRvE,wellington dias,,,1165159975804706800,RosaLulaBrasil,,,2,0,Fri Aug 13 2021 09:27:05 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 08:45:38 GMT-0300 (Brasilia Standard Time)
RT @revistaoeste: Fachin mantém validade de busca e apreensão em gabinete e residência de mulher de Wellington Dias https://t.co/kCY9CvhxRj,wellington dias,,,1413997328462143500,Laurinha_2050,,,48,0,Fri Aug 13 2021 09:27:05 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 08:41:15 GMT-0300 (Brasilia Standard Time)
Fachin mantém validade de busca e apreensão em gabinete e residência de mulher de Wellington Dias https://t.co/UHNo8uGtUw,wellington dias,,,69708117,EderGSantos1,,,0,0,Fri Aug 13 2021 09:27:05 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 08:09:48 GMT-0300 (Brasilia Standard Time)
Wellington Dias negocia a compra direta de vacinas para o Piauí https://t.co/LjPfCIcGtp,wellington dias,,,78126405,portalcostanort,,,0,0,Fri Aug 13 2021 09:27:05 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 07:40:13 GMT-0300 (Brasilia Standard Time)
"Bom dia patriotas!          Menos para Os PTs, uma vez ladrão, sempre ladrão! https://t.co/zV3VMs9kDJ",wellington dias,,,1230473588962209800,SERGIOLOPESDUT1,,,0,0,Fri Aug 13 2021 09:27:05 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 06:30:08 GMT-0300 (Brasilia Standard Time)
"RT @Hedilbe49136857: Fachin mantém validade de busca e apreensão em gabinete e residência de mulher de Wellington Dias

https://t.co/OZNQ0t…",wellington dias,,,1352085552850468900,TheRabbitHRole,,,3,0,Fri Aug 13 2021 09:27:05 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 06:22:08 GMT-0300 (Brasilia Standard Time)
"RT @Hedilbe49136857: Fachin mantém validade de busca e apreensão em gabinete e residência de mulher de Wellington Dias

https://t.co/OZNQ0t…",wellington dias,,,1296479147791986700,venicius_brito,,,3,0,Fri Aug 13 2021 09:27:05 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 06:17:24 GMT-0300 (Brasilia Standard Time)
"RT @Hedilbe49136857: Fachin mantém validade de busca e apreensão em gabinete e residência de mulher de Wellington Dias

https://t.co/OZNQ0t…",wellington dias,,,162012710,ptriste,,,3,0,Fri Aug 13 2021 09:27:05 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 06:10:19 GMT-0300 (Brasilia Standard Time)
"Fachin mantém validade de busca e apreensão em gabinete e residência de mulher de Wellington Dias

https://t.co/OZNQ0t2uT3",wellington dias,,,1117498200171139100,Hedilbe49136857,,,3,6,Fri Aug 13 2021 09:27:05 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 06:08:46 GMT-0300 (Brasilia Standard Time)
"RT @horaciohudson: O presidente mais honesto que já passou pela nova republica do Brasil,
está sendo investigado por um ex advogado do PCC…",wellington dias,,,1109963566407446500,Wellington_1971,,,367,0,Fri Aug 13 2021 09:27:05 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 06:03:03 GMT-0300 (Brasilia Standard Time)
