text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"Wellington Dias, governador do estado do Piauí https://t.co/oq1JP86kTE #Bolsonaro #Lula 
#Ipuiúna #Itamogi… https://t.co/LZFezSLRZy",wellington dias,,,1417877601381720000,Voltair18332327,,,0,0,Sun Aug 15 2021 20:02:15 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:13:49 GMT-0300 (Brasilia Standard Time)
@JASampaiog Wellington dias e Ciro nogueira na mesma ft? impossível.,wellington dias,,,955098929049362400,Matiasszsz,,,0,1,Sun Aug 15 2021 20:02:15 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 18:30:44 GMT-0300 (Brasilia Standard Time)
"Esta foi a música mais tocada nas rádios portuguesas entre os dias 05 e 11 de agosto:

 - JUSTIN WELLINGTON feat. S… https://t.co/ue031ZHvN0",wellington dias,,,910520586467774500,musicportugalpt,,,0,0,Sun Aug 15 2021 20:02:15 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 17:55:06 GMT-0300 (Brasilia Standard Time)
Aqui é o mesmo. Wellington dias do Piauí multa em 500 reais quem não usar máscara mas faz festa pra duzentas pessoa… https://t.co/BDGG2UQLaz,wellington dias,,,3187015782,JuniorVolk7,,,0,2,Sun Aug 15 2021 20:02:15 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 17:00:49 GMT-0300 (Brasilia Standard Time)
"RT @reportersalles: Pelas conversas de bastidores e análise fria do cenário político/social, me parece que a situação vai piorar muito nos…",wellington dias,,,232237746,wellington_vill,,,767,0,Sun Aug 15 2021 20:02:15 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 16:58:37 GMT-0300 (Brasilia Standard Time)
"RT @ChrisMoreira7: @samanthacavalca @ronaldogalvaren @ciro_nogueira @jairbolsonaro E ontem ele (Ciro Nogueira)tava ""Cocó e trança"" com o ""Í…",wellington dias,,,1096161375959875600,dimMAndrade1,,,1,0,Sun Aug 15 2021 20:02:15 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 16:56:20 GMT-0300 (Brasilia Standard Time)
"Wellington me dando conselhos para os dois próximos dias, estou nervoso mas confiando em Deus 🙌🏻",wellington dias,,,1230148778981765000,omaxcolodedeus,,,0,0,Sun Aug 15 2021 20:02:15 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 16:29:35 GMT-0300 (Brasilia Standard Time)
"@samanthacavalca @ronaldogalvaren @ciro_nogueira @jairbolsonaro E ontem ele (Ciro Nogueira)tava ""Cocó e trança"" com… https://t.co/aYJ4jiz5lt",wellington dias,,,1147585341077053400,ChrisMoreira7,,,1,3,Sun Aug 15 2021 20:02:15 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 15:53:51 GMT-0300 (Brasilia Standard Time)
O governador Wellington Dias publicou novo decreto mantendo as medidas sanitárias excepcionais a serem adotadas do… https://t.co/FhF0jX2gAT,wellington dias,,,39973121,meionorte,,,0,1,Sun Aug 15 2021 20:02:15 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 15:32:56 GMT-0300 (Brasilia Standard Time)
"O governador assinou novo decreto neste domingo (15), que terá validade do dia 16 a 22 de agosto. @wdiaspi… https://t.co/F3JzBNdxg7",wellington dias,,,78697019,portalgp1,,,0,0,Sun Aug 15 2021 20:02:15 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 14:33:36 GMT-0300 (Brasilia Standard Time)
