text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
WELLINGTON DIAS JOVE OLIVEIRA PLMRDS AGILIZA ESSA PORRA EU QUERO ME VACINAR,wellington dias,,,1287027406545531000,ENERGYWRITTEN,,,0,0,Tue Aug 10 2021 10:15:10 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 10:06:28 GMT-0300 (Brasilia Standard Time)
Mas será que invejam a fibra óptica do Wellington Dias também? 🧐 https://t.co/6ztkroetH1,wellington dias,,,2651656021,Serpect,,,0,0,Tue Aug 10 2021 10:15:10 GMT-0300 (Brasilia Standard Time),Mon Aug 09 2021 23:04:29 GMT-0300 (Brasilia Standard Time)
@MussumAlive Lembra da fibra ótica do Wellington Dias? https://t.co/fw9jrDL0fd,wellington dias,,,1245412440189415400,H_S_S_23,,,0,0,Tue Aug 10 2021 10:15:10 GMT-0300 (Brasilia Standard Time),Mon Aug 09 2021 17:21:35 GMT-0300 (Brasilia Standard Time)
@johnnydocontra Wellington Dias hired another influencer to promote fibra ótica,wellington dias,,,26227012,pandrest,,,0,1,Tue Aug 10 2021 10:15:10 GMT-0300 (Brasilia Standard Time),Mon Aug 09 2021 17:13:10 GMT-0300 (Brasilia Standard Time)
"@Welling52913890 Valeu por confirmar Wellington! Por favor, recomendamos não compartilhar e-mail ou qlqr informação… https://t.co/QUlfn0mVcQ",wellington dias,,,3031071234,TeamYouTube,,,0,1,Tue Aug 10 2021 10:15:10 GMT-0300 (Brasilia Standard Time),Mon Aug 09 2021 15:43:16 GMT-0300 (Brasilia Standard Time)
"Wellington Dias, governador do estado do Piauí, no... https://t.co/oq1JP86kTE #Bolsonaro #Lula 
#Golva #Groton… https://t.co/xmZ4kDajaR",wellington dias,,,1417877601381720000,Voltair18332327,,,0,0,Tue Aug 10 2021 10:15:10 GMT-0300 (Brasilia Standard Time),Mon Aug 09 2021 13:49:07 GMT-0300 (Brasilia Standard Time)
"Hierarquia do retrocesso:
Bolsonaro &gt;Wellington Dias &gt; Dr. Pessoa. 

3 Motivos pra geral não está vacinado!",wellington dias,,,85161797,briandourado,,,0,0,Tue Aug 10 2021 10:15:10 GMT-0300 (Brasilia Standard Time),Mon Aug 09 2021 13:32:23 GMT-0300 (Brasilia Standard Time)
"BUNDESLIGA!

Faltam 4 dias para o início da Bundesliga 2021/22. Confira o ranking digital que fiz referente ao mês… https://t.co/lrStraLBtU",wellington dias,,,1137411256363737100,Wellington_CEC,,,3,8,Tue Aug 10 2021 10:15:10 GMT-0300 (Brasilia Standard Time),Mon Aug 09 2021 11:56:00 GMT-0300 (Brasilia Standard Time)
RT @FriedHardt: toda vez que o pessoal da fibra otica do wellington dias aparece em peso no tuiter defendendo alguma coisa eu ja sei q o co…,wellington dias,,,42691847,jumadeira,,,44,0,Tue Aug 10 2021 10:15:10 GMT-0300 (Brasilia Standard Time),Mon Aug 09 2021 11:02:29 GMT-0300 (Brasilia Standard Time)
"@lehduff @Yves54495840 @xpinvestimentos Rui Costa, governador do Piauí, Wellington Dias, Renan Filho (Filho do Rena… https://t.co/NHHdF2cYxJ",wellington dias,,,745542266148651000,TiagoFiori,,,0,0,Tue Aug 10 2021 10:15:10 GMT-0300 (Brasilia Standard Time),Mon Aug 09 2021 08:20:03 GMT-0300 (Brasilia Standard Time)
Wellington Dias prorroga decreto que mantém restrições e toque de recolher https://t.co/OeqvSMlP9I… https://t.co/2SgyxOCyHw,wellington dias,,,751415492900945900,pihoje,,,0,0,Tue Aug 10 2021 10:15:10 GMT-0300 (Brasilia Standard Time),Mon Aug 09 2021 04:46:42 GMT-0300 (Brasilia Standard Time)
RT @saudepr: #VACINACOVID 💉 A Secretaria da Saúde enviou 400.230 vacinas contra a Covid-19 neste sábado (7). Agora o Paraná soma 558.900 do…,wellington dias,,,37937416,Wellington_Tds,,,5,0,Tue Aug 10 2021 10:15:10 GMT-0300 (Brasilia Standard Time),Mon Aug 09 2021 00:14:17 GMT-0300 (Brasilia Standard Time)
"@ThubinhaSk8 Tomamos aqui, minha sogra astra, nos corona, meu sogro não teve nada, minha sogra teve dor e fraqueza… https://t.co/jNIX7G1RWJ",wellington dias,,,216706701,Arsheera,,,0,0,Tue Aug 10 2021 10:15:10 GMT-0300 (Brasilia Standard Time),Sun Aug 08 2021 22:15:46 GMT-0300 (Brasilia Standard Time)
eu já vi dele foi dar fibra ótica do wellington dias q o estado do RJ em estado de calamidade quando a meia já é o dia do qual não tenha pro,wellington dias,,,909438571500724200,botwiththerod,,,0,0,Tue Aug 10 2021 10:15:10 GMT-0300 (Brasilia Standard Time),Sun Aug 08 2021 21:26:07 GMT-0300 (Brasilia Standard Time)
RT @RCJerusalem3D: @calu_barros13 Apenas um deles recebeu dinheiro na surdina pra fazer campanha pro Wellington Dias https://t.co/C5iZ1xbfYa,wellington dias,,,942900647392940000,ENERGIZADO3,,,20,0,Tue Aug 10 2021 10:15:10 GMT-0300 (Brasilia Standard Time),Sun Aug 08 2021 20:59:42 GMT-0300 (Brasilia Standard Time)
"O Governo do Estado do Piauí decidiu por manter as medidas restritivas em combate à #COVID19 

https://t.co/jLlrEpgTAv",wellington dias,,,39973121,meionorte,,,0,1,Tue Aug 10 2021 10:15:10 GMT-0300 (Brasilia Standard Time),Sun Aug 08 2021 20:44:19 GMT-0300 (Brasilia Standard Time)
RT @NAS_RUAS: Motociata com Bolsonaro em homenagem dos Dias dos Pais. https://t.co/2tlXTKEksa,wellington dias,,,1109963566407446500,Wellington_1971,,,127,0,Tue Aug 10 2021 10:15:10 GMT-0300 (Brasilia Standard Time),Sun Aug 08 2021 20:26:19 GMT-0300 (Brasilia Standard Time)
RT @DCM_online: Mãe de Ciro Nogueira ganha dinheiro com governo petista de Wellington Dias no PI https://t.co/cXx722DgWT https://t.co/RnOA2…,wellington dias,,,1096798380,GustavoM2014,,,10,0,Tue Aug 10 2021 10:15:10 GMT-0300 (Brasilia Standard Time),Sun Aug 08 2021 20:00:39 GMT-0300 (Brasilia Standard Time)
RT @DCM_online: Mãe de Ciro Nogueira ganha dinheiro com governo petista de Wellington Dias no PI https://t.co/cXx722DgWT https://t.co/RnOA2…,wellington dias,,,59938027,jganico,,,10,0,Tue Aug 10 2021 10:15:10 GMT-0300 (Brasilia Standard Time),Sun Aug 08 2021 19:58:00 GMT-0300 (Brasilia Standard Time)
@Dias_Aninha Foi do Wellington e do Léo,wellington dias,,,2876209861,drmichaelvo,,,0,0,Tue Aug 10 2021 10:15:10 GMT-0300 (Brasilia Standard Time),Sun Aug 08 2021 19:53:39 GMT-0300 (Brasilia Standard Time)
RT @marioscand: Mãe de Ciro Nogueira ganha dinheiro com governo petista de Wellington Dias no PI https://t.co/7PRvayB8Tc,wellington dias,,,501892875,SrgiodeLaRocque,,,1,0,Tue Aug 10 2021 10:15:10 GMT-0300 (Brasilia Standard Time),Sun Aug 08 2021 19:29:40 GMT-0300 (Brasilia Standard Time)
Mãe de Ciro Nogueira ganha dinheiro com governo petista de Wellington Dias no PI https://t.co/7PRvayB8Tc,wellington dias,,,236185838,marioscand,,,1,1,Tue Aug 10 2021 10:15:10 GMT-0300 (Brasilia Standard Time),Sun Aug 08 2021 19:16:02 GMT-0300 (Brasilia Standard Time)
RT @DCM_online: Mãe de Ciro Nogueira ganha dinheiro com governo petista de Wellington Dias no PI https://t.co/cXx722DgWT https://t.co/RnOA2…,wellington dias,,,56733955,JoseAloiseBahia,,,10,0,Tue Aug 10 2021 10:15:10 GMT-0300 (Brasilia Standard Time),Sun Aug 08 2021 18:20:54 GMT-0300 (Brasilia Standard Time)
Covid: Wellington Dias mantém restrições no Piauí até 15 de agosto https://t.co/M6iN8Or95O,wellington dias,,,756146786712989700,PortalVarada,,,0,0,Tue Aug 10 2021 10:15:10 GMT-0300 (Brasilia Standard Time),Sun Aug 08 2021 18:12:02 GMT-0300 (Brasilia Standard Time)
RT @DCM_online: Mãe de Ciro Nogueira ganha dinheiro com governo petista de Wellington Dias no PI https://t.co/cXx722DgWT https://t.co/RnOA2…,wellington dias,,,1154058182848909300,laico_brasil,,,10,0,Tue Aug 10 2021 10:15:10 GMT-0300 (Brasilia Standard Time),Sun Aug 08 2021 18:10:31 GMT-0300 (Brasilia Standard Time)
RT @DCM_online: Mãe de Ciro Nogueira ganha dinheiro com governo petista de Wellington Dias no PI https://t.co/cXx722DgWT https://t.co/RnOA2…,wellington dias,,,1418217237865848800,MariaDe97368742,,,10,0,Tue Aug 10 2021 10:15:10 GMT-0300 (Brasilia Standard Time),Sun Aug 08 2021 17:43:55 GMT-0300 (Brasilia Standard Time)
RT @DCM_online: Mãe de Ciro Nogueira ganha dinheiro com governo petista de Wellington Dias no PI https://t.co/cXx722DgWT https://t.co/RnOA2…,wellington dias,,,1357881068624486400,SilviaC76059376,,,10,0,Tue Aug 10 2021 10:15:10 GMT-0300 (Brasilia Standard Time),Sun Aug 08 2021 17:33:38 GMT-0300 (Brasilia Standard Time)
RT @DCM_online: Mãe de Ciro Nogueira ganha dinheiro com governo petista de Wellington Dias no PI https://t.co/cXx722DgWT https://t.co/RnOA2…,wellington dias,,,913515306894680000,FabiolaFable,,,10,0,Tue Aug 10 2021 10:15:10 GMT-0300 (Brasilia Standard Time),Sun Aug 08 2021 17:20:13 GMT-0300 (Brasilia Standard Time)
RT @DCM_online: Mãe de Ciro Nogueira ganha dinheiro com governo petista de Wellington Dias no PI https://t.co/cXx722DgWT https://t.co/RnOA2…,wellington dias,,,213470142,NandoFeOficial,,,10,0,Tue Aug 10 2021 10:15:10 GMT-0300 (Brasilia Standard Time),Sun Aug 08 2021 17:16:50 GMT-0300 (Brasilia Standard Time)
"@wellington_L667 @Relacionemos Você consegue melhorar todos os meus dias em 100% com uma simples msg, você é a minh… https://t.co/gtuP6gHNGr",wellington dias,,,1336013991253041200,ViihSantos_F,,,0,1,Tue Aug 10 2021 10:15:10 GMT-0300 (Brasilia Standard Time),Sun Aug 08 2021 17:12:14 GMT-0300 (Brasilia Standard Time)
Mãe de Ciro Nogueira ganha dinheiro com governo petista de Wellington Dias no PI https://t.co/cXx722DgWT https://t.co/RnOA2I1MLq,wellington dias,,,43340387,DCM_online,,,10,47,Tue Aug 10 2021 10:15:10 GMT-0300 (Brasilia Standard Time),Sun Aug 08 2021 17:10:43 GMT-0300 (Brasilia Standard Time)
Os governadores do Nordeste (comunistas) querendo importar uma vacina perigosa só pq foi produzida pela antiga URSS… https://t.co/BQjKNPFES2,wellington dias,,,52251467,rdosantiago,,,0,0,Tue Aug 10 2021 10:15:10 GMT-0300 (Brasilia Standard Time),Sun Aug 08 2021 16:56:00 GMT-0300 (Brasilia Standard Time)
RT @lekah_freitas: Esses dias eu e o Wellington vimos um armado assim pra separar uma discussão de família 🤡,wellington dias,,,164081720,RootsWellington,,,1,0,Tue Aug 10 2021 10:15:10 GMT-0300 (Brasilia Standard Time),Sun Aug 08 2021 15:02:25 GMT-0300 (Brasilia Standard Time)
Esses dias eu e o Wellington vimos um armado assim pra separar uma discussão de família 🤡 https://t.co/f26DDW9GYM,wellington dias,,,161406477,lekah_freitas,,,1,3,Tue Aug 10 2021 10:15:10 GMT-0300 (Brasilia Standard Time),Sun Aug 08 2021 14:56:30 GMT-0300 (Brasilia Standard Time)
"@DecaBGarcia Esses que criticam o Roberto Jefferson pq ele disse alguma coisa sobre o Ciro Nogueira, ou eles não sa… https://t.co/besfSj5YLX",wellington dias,,,1022194030543818800,josuelisboa1999,,,0,1,Tue Aug 10 2021 10:15:10 GMT-0300 (Brasilia Standard Time),Sun Aug 08 2021 12:45:43 GMT-0300 (Brasilia Standard Time)
@tenor_sax_br Eles também não tem a fibra ótica do Wellington Dias,wellington dias,,,1228043025793912800,RaphaoMarshall,,,0,6,Tue Aug 10 2021 10:15:10 GMT-0300 (Brasilia Standard Time),Sun Aug 08 2021 12:33:21 GMT-0300 (Brasilia Standard Time)
@itsmedanielfc @jonasarbo Essa pessoa do post inclusive fez parte daquele mensalinho petista do Wellington Dias kkkk,wellington dias,,,1202480932554518500,vhnpc,,,0,1,Tue Aug 10 2021 10:15:10 GMT-0300 (Brasilia Standard Time),Sun Aug 08 2021 11:11:33 GMT-0300 (Brasilia Standard Time)
RT @FriedHardt: toda vez que o pessoal da fibra otica do wellington dias aparece em peso no tuiter defendendo alguma coisa eu ja sei q o co…,wellington dias,,,41940736,guerra_daniel,,,44,0,Tue Aug 10 2021 10:15:10 GMT-0300 (Brasilia Standard Time),Sun Aug 08 2021 11:07:02 GMT-0300 (Brasilia Standard Time)
A mensagem de Wellington Dias para o ministro Ciro Nogueira https://t.co/y38YaBWUQu,wellington dias,,,1130143652146237400,pensarpiaui,,,0,0,Tue Aug 10 2021 10:15:10 GMT-0300 (Brasilia Standard Time),Sun Aug 08 2021 10:40:24 GMT-0300 (Brasilia Standard Time)
"@regallo Feliz dias dos pais,  Wellington!!",wellington dias,,,1237349092512223200,Dianairis28,,,0,2,Tue Aug 10 2021 10:15:10 GMT-0300 (Brasilia Standard Time),Sun Aug 08 2021 09:12:13 GMT-0300 (Brasilia Standard Time)
RT @FriedHardt: toda vez que o pessoal da fibra otica do wellington dias aparece em peso no tuiter defendendo alguma coisa eu ja sei q o co…,wellington dias,,,705857298015653900,mo4ios,,,44,0,Tue Aug 10 2021 10:15:10 GMT-0300 (Brasilia Standard Time),Sun Aug 08 2021 04:53:55 GMT-0300 (Brasilia Standard Time)
"RT @JoseMedeirosMT: Isso é Fakenews, mas não haverá uma agência dizendo, não terá G1, Estadao, folha. Ele é um dos mais barulhentos da CPI…",wellington dias,,,232237746,wellington_vill,,,606,0,Tue Aug 10 2021 10:15:10 GMT-0300 (Brasilia Standard Time),Sun Aug 08 2021 03:00:07 GMT-0300 (Brasilia Standard Time)
RT @RCJerusalem3D: @calu_barros13 Apenas um deles recebeu dinheiro na surdina pra fazer campanha pro Wellington Dias https://t.co/C5iZ1xbfYa,wellington dias,,,53478073,osubversivo,,,20,0,Tue Aug 10 2021 10:15:10 GMT-0300 (Brasilia Standard Time),Sun Aug 08 2021 02:44:41 GMT-0300 (Brasilia Standard Time)
"RT @samirsalimjr: Wifi tá uma bosta em casa

Maldita hora que não elegemos Wellington Dias em sp (apesar do vasto apoio de tuiteiros paulis…",wellington dias,,,3007281507,jhowfa,,,9,0,Tue Aug 10 2021 10:15:10 GMT-0300 (Brasilia Standard Time),Sun Aug 08 2021 01:21:03 GMT-0300 (Brasilia Standard Time)
@FriedHardt O incrível Wellington Dias,wellington dias,,,1027981485599608800,dexterodrigues,,,0,0,Tue Aug 10 2021 10:15:10 GMT-0300 (Brasilia Standard Time),Sun Aug 08 2021 01:19:50 GMT-0300 (Brasilia Standard Time)
"RT @samirsalimjr: Wifi tá uma bosta em casa

Maldita hora que não elegemos Wellington Dias em sp (apesar do vasto apoio de tuiteiros paulis…",wellington dias,,,35514381,RafaelPires__,,,9,0,Tue Aug 10 2021 10:15:10 GMT-0300 (Brasilia Standard Time),Sun Aug 08 2021 01:13:55 GMT-0300 (Brasilia Standard Time)
"RT @samirsalimjr: Wifi tá uma bosta em casa

Maldita hora que não elegemos Wellington Dias em sp (apesar do vasto apoio de tuiteiros paulis…",wellington dias,,,94206440,ambervisionguy,,,9,0,Tue Aug 10 2021 10:15:10 GMT-0300 (Brasilia Standard Time),Sun Aug 08 2021 01:10:50 GMT-0300 (Brasilia Standard Time)
"RT @samirsalimjr: Wifi tá uma bosta em casa

Maldita hora que não elegemos Wellington Dias em sp (apesar do vasto apoio de tuiteiros paulis…",wellington dias,,,7153362,marcurelio,,,9,0,Tue Aug 10 2021 10:15:10 GMT-0300 (Brasilia Standard Time),Sun Aug 08 2021 01:08:21 GMT-0300 (Brasilia Standard Time)
