text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"Se eu fosse dar nota para os governadores do RJ, seria...

Marcello Alencar: 2,1 
Garotinho: 1,2 
Brizola: 0,3
Fran… https://t.co/UOvZgznh2o",witzel,,,929717859080724500,LuccaScaranello,,,0,0,Fri Aug 13 2021 09:27:07 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:26:53 GMT-0300 (Brasilia Standard Time)
"Toda vez que escuto que o governador do RJ é o Cláudio Castro eu fico puto. Mermão, além de elegerem o merda do Wit… https://t.co/dNNWNnhYNT",witzel,,,272205283,JhonatanF7,,,0,0,Fri Aug 13 2021 09:27:07 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 08:25:33 GMT-0300 (Brasilia Standard Time)
@leonelbrizola50 Por isso ele estava tão nervosinho no dia do depoimento do Witzel na CPI!!,witzel,,,1415361107020103700,CastroDenisia,,,0,0,Fri Aug 13 2021 09:27:07 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 07:24:40 GMT-0300 (Brasilia Standard Time)
@katiamariaON @ronaldocaiado é o PIOR GOVERNADOR que esse estado já teve. Um sabujo de miliciano. Deve ser denuncia… https://t.co/cZI4qRyC0z,witzel,,,1363121598694310000,LivrePetista2,,,0,0,Fri Aug 13 2021 09:27:07 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 07:11:25 GMT-0300 (Brasilia Standard Time)
RT @vermelhos_sim: @parox40 Você não estava no estado do Rio na véspera da eleição 2018. Witzel era um ilustre desconhecido e nos dias ante…,witzel,,,2566906453,punhofechado,,,5,0,Fri Aug 13 2021 09:27:07 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 06:35:37 GMT-0300 (Brasilia Standard Time)
RT @parox40: Não há nenhuma evidência de fraude nas eleições brasileiras. O Witzel foi dormir no sábado com 14% das intenções de voto e no…,witzel,,,1287400475252478000,DgicoF,,,35,0,Fri Aug 13 2021 09:27:07 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 03:53:43 GMT-0300 (Brasilia Standard Time)
@leonelbrizola50 Esses que são os hospitais que o Witzel disse que tem dono?,witzel,,,1377415360580878300,TwitteDaMegan,,,0,1,Fri Aug 13 2021 09:27:07 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 02:36:09 GMT-0300 (Brasilia Standard Time)
@pspedepaz Parece o witzel kkk,witzel,,,1513851504,fsp_fabio,,,0,0,Fri Aug 13 2021 09:27:07 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 02:27:24 GMT-0300 (Brasilia Standard Time)
"@vinicius_witzel @AugustoBackes29 Como assim, xóvem!!! É tão legal meter um alavancado e perder 39% em 1 hora!",witzel,,,1295502827108917200,JorgeSiufi,,,0,0,Fri Aug 13 2021 09:27:07 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 02:01:02 GMT-0300 (Brasilia Standard Time)
"RT @carlosaccano: @B51Syrena @ArthurLira_ O @ArthurLira_ é traidor do povo e do presidente Bolsonaro.
Não merece o nosso respeito.
Até ache…",witzel,,,327108599,sorria0,,,1,0,Fri Aug 13 2021 09:27:07 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 01:16:18 GMT-0300 (Brasilia Standard Time)
