text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"@DJRaul23785049 @Robertorj74 @MarceloFreixo O gado tudo votou no witzel só pq apareceu o nome bolsonaro junto, agor… https://t.co/VIj9WwlJWB",witzel,,,1383422514244702200,LucasSmat0s,,,0,0,Mon Aug 16 2021 10:16:31 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 09:18:44 GMT-0300 (Brasilia Standard Time)
@recalleleitoral @nadir_lemos @UursoB Achei que era o Witzel!!😂😂😂,witzel,,,2434053934,JSilva_Oficial,,,0,0,Mon Aug 16 2021 10:16:31 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 08:14:57 GMT-0300 (Brasilia Standard Time)
@BielVerdades meu deus mano o Witzel comemorando n da nao kjkkkkkkkkkkkkkkkkkkkkkkkkkkk,witzel,,,259997737,vinucs_,,,0,0,Mon Aug 16 2021 10:16:31 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 07:53:52 GMT-0300 (Brasilia Standard Time)
"RT @Douglas86736732: Fica tranquilo Bob! O capetão nunca abandonou um soldado ferido em batalha! Só o Bebiano, Moro, Eustáquio, Sara Winter…",witzel,,,67693877,lakyshimi,,,54,0,Mon Aug 16 2021 10:16:31 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 07:37:06 GMT-0300 (Brasilia Standard Time)
"Podem me rotular de tudo, homofóbico, racista, frentista, cicilista, só não conseguem me chamar de witzel.",witzel,,,1263835358153891800,ComunaBot,,,0,0,Mon Aug 16 2021 10:16:31 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 06:37:10 GMT-0300 (Brasilia Standard Time)
"@leoribeiro1980 Tô aqui esperando dez caixas de fogos para soltar no dia q esse FDP for preso , e o carioca precisa… https://t.co/OQ7tTQ8F3N",witzel,,,1350182416195989500,MarcosA02059195,,,0,0,Mon Aug 16 2021 10:16:31 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 02:05:37 GMT-0300 (Brasilia Standard Time)
"RT @Douglas86736732: Fica tranquilo Bob! O capetão nunca abandonou um soldado ferido em batalha! Só o Bebiano, Moro, Eustáquio, Sara Winter…",witzel,,,292743467,jan72009,,,54,0,Mon Aug 16 2021 10:16:31 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 01:03:53 GMT-0300 (Brasilia Standard Time)
@AdijovanoRodri1 @Damadeferroofic Como alguem prova não haver manipulação? Engraçado isso né? Até o data folha erro… https://t.co/kr3j9ENkTg,witzel,,,232777561,hfmar,,,0,1,Mon Aug 16 2021 10:16:31 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 00:25:15 GMT-0300 (Brasilia Standard Time)
@PedroMarcosCar5 @madruga010 Eleita por quem? Essa mulher está conivente com Aziz e Renan! Dois corruptos juramenta… https://t.co/KVEyhQhHUh,witzel,,,1354235104097349600,MariaAn27548268,,,0,0,Mon Aug 16 2021 10:16:31 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 23:32:32 GMT-0300 (Brasilia Standard Time)
@Adry36080506 @madruga010 Pedidos de impeachment podem haver mil mas tem que ter embasamento legal(haver crime e nã… https://t.co/YYaQmg2ecl,witzel,,,1354235104097349600,MariaAn27548268,,,0,0,Mon Aug 16 2021 10:16:31 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 23:29:55 GMT-0300 (Brasilia Standard Time)
@BuscandoALogica @meugulagminhav @ceres_jose @Tio_Dan_Dan @Kyrablondd @didiindignada @Edu_mundial51 @PPReacaFla2… https://t.co/sT8HVF5tS6,witzel,,,1303919730286305300,anandacajueiro,,,0,2,Mon Aug 16 2021 10:16:31 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 22:55:44 GMT-0300 (Brasilia Standard Time)
@alerocharaujo É duro viver no Rio. Eu tenho dó das pessoas que não votaram em Bolsonaro e que estão se arriscando… https://t.co/kh54EvDFSp,witzel,,,252307722,leokbelo13,,,0,0,Mon Aug 16 2021 10:16:31 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 21:57:55 GMT-0300 (Brasilia Standard Time)
"@LaerteCoutinho1 @Nelifaria E se perguntar para o Witzel?
https://t.co/td9VVZOQtr",witzel,,,261698491,Ijunqsouza,,,0,0,Mon Aug 16 2021 10:16:31 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 21:17:35 GMT-0300 (Brasilia Standard Time)
