text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"RT @spinellirio: Witzel, que sofreu impeachment pelos desvios na saúde do Rio, continua solto e Daniel Silveira, que nem crime cometeu, con…",witzel,,,1229907449450291200,VitorAugustoLu5,,,1958,0,Thu Aug 19 2021 19:51:31 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:44:04 GMT-0300 (Brasilia Standard Time)
"RT @MarceloFreixo: Quem diria que o governador @claudiocastroRJ, vice de Wilson Witzel, que foi preso e cassado por corrupção, teria um sec…",witzel,,,937462052246949900,franzkrieg79,,,800,0,Thu Aug 19 2021 19:51:31 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:43:42 GMT-0300 (Brasilia Standard Time)
"Amigos BOLSONARISTAS olhem a palhaçada, doriana anuncia o inhonho Rodrigo Maia  como secretário dele aqui em São Pa… https://t.co/2vSrinbBct",witzel,,,1335236866384212000,Ricardo10940339,,,0,1,Thu Aug 19 2021 19:51:31 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:43:19 GMT-0300 (Brasilia Standard Time)
"@fioravante520 Simples, é o Rio de janeiro. Quer ver, Cabral, garotinho, pezão, Witzel, Crivella, Jair Bolsonaro, F… https://t.co/FmqzKyHagp",witzel,,,1075095574922321900,22forabolsonaro,,,0,0,Thu Aug 19 2021 19:51:31 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:42:22 GMT-0300 (Brasilia Standard Time)
"RT @luanapsol: A Vera Magalhães teve a oportunidade de perguntar sobre milícias para Fernando Bezerra, Sérgio Moro, Witzel, Gustavo Bebiann…",witzel,,,991474378318794800,schatten_sein,,,1651,0,Thu Aug 19 2021 19:51:31 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:39:37 GMT-0300 (Brasilia Standard Time)
"RT @spinellirio: Witzel, que sofreu impeachment pelos desvios na saúde do Rio, continua solto e Daniel Silveira, que nem crime cometeu, con…",witzel,,,1395335502975340500,MariaLi25835567,,,1958,0,Thu Aug 19 2021 19:51:31 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:38:59 GMT-0300 (Brasilia Standard Time)
"@Fontourajr1 @fabiomendes @moura_101 @RogerioVilela Pq não foi aceito no Planalto.
Vou citar quatro exemplos iguais… https://t.co/BErRRS4joO",witzel,,,1409565717779865600,Marcelo34182569,,,0,0,Thu Aug 19 2021 19:51:31 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:38:38 GMT-0300 (Brasilia Standard Time)
"RT @aleestefan: Mourão Governador do RJ?
O RJ não aguenta essa mistura de Witzel com Garotinho!
O Rio respira por aparelhos e necessita de…",witzel,,,1020263844390875100,sampa_vip,,,26,0,Thu Aug 19 2021 19:51:31 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:36:43 GMT-0300 (Brasilia Standard Time)
"RT @PauloFMarques81: @flaviaol Não perguntou sobre milícias com quem estava diretamente ligado a elas, tipo o Witzel... https://t.co/WiJnuK…",witzel,,,1701094332,otarino64,,,26,0,Thu Aug 19 2021 19:51:31 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:35:57 GMT-0300 (Brasilia Standard Time)
"RT @MarceloFreixo: Quem diria que o governador @claudiocastroRJ, vice de Wilson Witzel, que foi preso e cassado por corrupção, teria um sec…",witzel,,,34607312,afbernart,,,800,0,Thu Aug 19 2021 19:51:31 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:31:05 GMT-0300 (Brasilia Standard Time)
