text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"E o Gov. Zema de MG cumpriu a promessa de acertar as contas do estado e pagar em dia os servidores.
Poderão dizer q… https://t.co/ko61XwoFZu",zema,,,26824689,fossachiara,,,0,0,Fri Aug 06 2021 09:12:29 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:10:12 GMT-0300 (Brasilia Standard Time)
"@alesilva_38 Acabou com o NOVO, pois qualquer partido que vota junto com o PT e a extrema esquerda, mesmo que seja… https://t.co/38nNqcbvHZ",zema,,,1262705404921946000,CarlosASMarque1,,,0,0,Fri Aug 06 2021 09:12:29 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:10:05 GMT-0300 (Brasilia Standard Time)
"@leandroruschel Romeu Zema cumpre agendas em Brasília e afirma ser contra o voto impresso
Governador disse que é co… https://t.co/NGAzOskFGH",zema,Brazil,"Montes Claros, Brasil",1401921332217057300,RodrigoVilaa6,,,0,0,Fri Aug 06 2021 09:12:29 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:10:03 GMT-0300 (Brasilia Standard Time)
"@partidonovo30 Acho que me enganei, o NOVO votou contra, e sou daqueles que defendem que, votar junto com o PT, e e… https://t.co/ITFEzCzhAY",zema,,,1262705404921946000,CarlosASMarque1,,,0,0,Fri Aug 06 2021 09:12:29 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 08:58:40 GMT-0300 (Brasilia Standard Time)
@mlmorais @Rconstantino @partidonovo30 Aqui em minas se o zema não sair desse partido nunca mais será reeleito.,zema,,,1400125479244419000,LEcr2021,,,0,0,Fri Aug 06 2021 09:12:29 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 08:50:24 GMT-0300 (Brasilia Standard Time)
@nikolas_dm O ZEMA mandou fechar o comércio igualzinho o Dória!,zema,,,1400597345071517700,Ogro_centric0,,,0,0,Fri Aug 06 2021 09:12:29 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 08:39:42 GMT-0300 (Brasilia Standard Time)
@carlydamasceno2 Só presta o Zema,zema,,,2876585373,pcesarsilva1,,,0,1,Fri Aug 06 2021 09:12:29 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 08:36:57 GMT-0300 (Brasilia Standard Time)
"@pauloganime Tu é um bosta!
Centro esquerda!
O único do novo q ainda presta um pouco é Zema, mas tem suas cagadas t… https://t.co/FcFV4HAteO",zema,,,374604156,FabricioPSRep,,,0,0,Fri Aug 06 2021 09:12:29 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 08:36:45 GMT-0300 (Brasilia Standard Time)
"@FerreSebastiana @LuisAntonC1206 @partidonovo30 @RomeuZema Apesar de ZEMA ser do partido NOVO, misturar os dois num… https://t.co/X9yd5kk257",zema,,,272369737,HAFerraz,,,0,0,Fri Aug 06 2021 09:12:29 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 08:35:43 GMT-0300 (Brasilia Standard Time)
"Bom dia. Já acordei passando raiva com o zema, nada diferente sob o sol",zema,,,144954921,nahavelino,,,0,0,Fri Aug 06 2021 09:12:29 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 08:21:49 GMT-0300 (Brasilia Standard Time)
Governador Zema Faz parte desta Pilantragem https://t.co/VHmeesuqdF,zema,,,235945393,ferando64,,,0,0,Fri Aug 06 2021 09:12:29 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 08:07:53 GMT-0300 (Brasilia Standard Time)
@rmotta2 Queria que o Zema saísse do Novo. Que LIXO o Novo se tornou. Deve ser difícil pra você assistir isso.,zema,Brazil,"Curitiba, Brazil",16928193,anicaferrero,,,0,0,Fri Aug 06 2021 09:12:29 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 08:02:54 GMT-0300 (Brasilia Standard Time)
"Estudos Concluem que 3° dose de vacina será necessária pra quem tomou coronavac, vai ser com outra vacina que não s… https://t.co/s7iF8Xs0xi",zema,,,1905344406,ligadanafazenda,,,0,0,Fri Aug 06 2021 09:12:29 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 07:58:43 GMT-0300 (Brasilia Standard Time)
Parabéns governador Zema! https://t.co/SusVLRmxFJ,zema,,,1147535183790432300,Fernand92058050,,,0,0,Fri Aug 06 2021 09:12:29 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 07:52:31 GMT-0300 (Brasilia Standard Time)
