text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"RT @FalabellaCida: Diz que a Rede Minas, nossa emissora pública de TV, está passando por ""reformulações internas"", com menos espaço para pa…",zema,,,1292280261263196200,femelofemelo,,,26,0,Thu Aug 19 2021 10:10:19 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 10:06:56 GMT-0300 (Brasilia Standard Time)
"@insolitegirl @odelmoleao A gente tá é lascado, Bolsonaro+Zema+Odelmo....",zema,,,803604664000401400,G_abrielCunha,,,0,0,Thu Aug 19 2021 10:10:19 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 10:06:31 GMT-0300 (Brasilia Standard Time)
"Hoje o #Central98 recebe o deputado federal @marceloaro, nomeado líder do governo Zema no Congresso Nacional. https://t.co/QkJURkca88",zema,,,109424506,Radio98Oficial,,,0,0,Thu Aug 19 2021 10:10:19 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 10:06:25 GMT-0300 (Brasilia Standard Time)
"AVISO A ZEMA: Bolsonaro é delinquente, mentiroso, cretino e vil. Defenda-o quem for igual.
https://t.co/Ma7Vein8uw

via @GoogleNews",zema,,,222513166,FogodoEon,,,0,0,Thu Aug 19 2021 10:10:19 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 10:05:43 GMT-0300 (Brasilia Standard Time)
@PhilippeTaynan @diegonewton @henriqueqn @Mineirao O Zé ruela descobriu a massa só agora kkkkkkk e ainda envolve bo… https://t.co/zbvMsZUTcy,zema,,,994560856502493200,arturgmss,,,0,1,Thu Aug 19 2021 10:10:19 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 10:04:25 GMT-0300 (Brasilia Standard Time)
RT @wellingtonmoura: @michelwag @presidentewal O correto seria entrar em entendimento com um governador que reduzisse drasticamente o ICMS.…,zema,,,48518123,wellingtonmoura,,,1,0,Thu Aug 19 2021 10:10:19 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 10:02:29 GMT-0300 (Brasilia Standard Time)
O deputado federal Marcelo Aro foi escolhido por ser um bom articulador e ter bom trânsito com o governo federal. C… https://t.co/y8aFOMgBWJ,zema,,,1292819539189784600,diarioriodoce,,,0,0,Thu Aug 19 2021 10:10:19 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 10:00:24 GMT-0300 (Brasilia Standard Time)
@alpha_zema @j_umbelino @bruno_mrp Ainda sou novo.,zema,,,30472798,nfbp77,,,0,0,Thu Aug 19 2021 10:10:19 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 09:59:47 GMT-0300 (Brasilia Standard Time)
@alpha_zema @SLBenfica @BernardoCSilva Há sacrifícios que valem a pena... Ver o Bernardo com a camisola do Benfica é um sonho!,zema,,,1137836582768128000,Ribas1904,,,0,0,Thu Aug 19 2021 10:10:19 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 09:59:25 GMT-0300 (Brasilia Standard Time)
@michelwag @presidentewal O correto seria entrar em entendimento com um governador que reduzisse drasticamente o IC… https://t.co/C1ITp9V8ua,zema,,,48518123,wellingtonmoura,,,1,0,Thu Aug 19 2021 10:10:19 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 09:59:02 GMT-0300 (Brasilia Standard Time)
@Ribas1904 @SLBenfica @BernardoCSilva Pra desaprender tudo.. Deixa tar o moço.,zema,,,1321932221238907000,alpha_zema,,,0,1,Thu Aug 19 2021 10:10:19 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 09:58:28 GMT-0300 (Brasilia Standard Time)
