text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
@moreira_tweet Porque não? Porque raio tem um processo de inscrição de um jogador precisar de uma autorização de um… https://t.co/s7N454XxH8,zema,,,1321932221238907000,alpha_zema,,,0,0,Tue Aug 10 2021 10:15:05 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 10:08:00 GMT-0300 (Brasilia Standard Time)
"@rafael_pinto10 @hugofvmoura Ahahahahahaha fdx, isto é total falta de noção.",zema,,,1321932221238907000,alpha_zema,,,0,0,Tue Aug 10 2021 10:15:05 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 10:06:58 GMT-0300 (Brasilia Standard Time)
INFERNOOOOO eu quero a minha vacina logo mas aqui estão vacinando a casa dos 30 ainda sem NENHUMA previsão pros aci… https://t.co/Ro1OdyT5yK,zema,,,528888077,materialblond,,,0,0,Tue Aug 10 2021 10:15:05 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 09:55:32 GMT-0300 (Brasilia Standard Time)
"RT @MozartLisboa: Zema compara a impressão do voto auditável ao fato de não imprimir extratos bancários e de cartões de crédito.
Eis a lógi…",zema,,,99948250,chicoligth,,,22,0,Tue Aug 10 2021 10:15:05 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 09:39:54 GMT-0300 (Brasilia Standard Time)
"@JovemPanNews @LeticiaSantini_ que horas o zema vai pedir ajuda?
depois do zema todos os problemas d MG sao resolvidos pelo gov. federal.",zema,,,95790821,autogere,,,0,0,Tue Aug 10 2021 10:15:05 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 09:36:40 GMT-0300 (Brasilia Standard Time)
@jujumotoca sim... mas como disse...hj chegaria novas...e tem mais 2 remessas pros próximos dias...não tem como o b… https://t.co/ZFamD5rhBx,zema,,,201729458,Murcegao2,,,0,1,Tue Aug 10 2021 10:15:05 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 09:33:36 GMT-0300 (Brasilia Standard Time)
@marcelvanhattem Parabéns deputado. Espero que você vote sim e não nos decepcione como o seu partido. Que salva do… https://t.co/jvBqyRq7gS,zema,,,1334644713501192200,LeonelSilva83,,,0,0,Tue Aug 10 2021 10:15:05 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 09:31:24 GMT-0300 (Brasilia Standard Time)
@TheusPereiraS @otempo Talvez você seja muito novo e não tenha acompanhado os governos do PSDB aqui em Minas Gerais… https://t.co/l54z3p1hYZ,zema,,,1338477751259582500,Lt2Ovatsu,,,0,0,Tue Aug 10 2021 10:15:05 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 09:31:16 GMT-0300 (Brasilia Standard Time)
"jão Ameba, do  @partidonovo30 ,  não tem NADA de ""NOVO"" ...
MAIS VELHO q Arca de Noé.
Deputados do partideco caem f… https://t.co/luREj8DvOA",zema,,,1179395831188861000,Marcoan28028309,,,0,0,Tue Aug 10 2021 10:15:05 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 09:31:02 GMT-0300 (Brasilia Standard Time)
"@TheusPereiraS @otempo PSDB é irmão gêmeo do PT, não tem nada a ver com o Novo (que eu nem gosto). Mas em particula… https://t.co/4ZH7ri1G1Q",zema,,,1338477751259582500,Lt2Ovatsu,,,0,0,Tue Aug 10 2021 10:15:05 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 09:30:33 GMT-0300 (Brasilia Standard Time)
"RT @JoodoGalo1: @Atletico @Brasileirao Alô Zema!
abaixa o salário dos professores e aumenta o do Hulk!
ele sim é um verdadeiro herói.",zema,,,961278899530403800,Alexander_Luiz_,,,3,0,Tue Aug 10 2021 10:15:05 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 09:21:23 GMT-0300 (Brasilia Standard Time)
o gatilho de ver os paulista e carioca da minha idade vacinando zema vc me prometeu,zema,,,169272079,spacespiess,,,0,7,Tue Aug 10 2021 10:15:05 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 09:20:27 GMT-0300 (Brasilia Standard Time)
Status : passando 90% do meu tempo reclamando e odiando o odelmo e o zema  PQ NÃO TEM VACINA EM UDI DESGRAÇA. Os ou… https://t.co/GDEKWMWGVj,zema,,,34763998,camillasfacts,,,0,1,Tue Aug 10 2021 10:15:05 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 09:20:18 GMT-0300 (Brasilia Standard Time)
todo mundo da minha idade se vacinando essa semana romeu zema você me prometeu,zema,,,919436122610192400,ItdefenceIess,,,0,0,Tue Aug 10 2021 10:15:05 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 09:18:01 GMT-0300 (Brasilia Standard Time)
