text,query,timestamp,createdAt
Cameli veta lei que obriga Energisa a notificar consumidor pessoalmente antes de realizar corte https://t.co/nV7R8J4v8d,cameli,Tue Aug 03 2021 17:02:06 GMT-0300 (Brasilia Standard Time),Tue Aug 03 2021 14:32:14 GMT-0300 (Brasilia Standard Time)
Nunca julgo esses slides pq um dia eu acho que vou ser professor https://t.co/UrawRSsSCU,cameli,Tue Aug 03 2021 17:02:06 GMT-0300 (Brasilia Standard Time),Tue Aug 03 2021 12:06:25 GMT-0300 (Brasilia Standard Time)
O Gladson Cameli querendo terceirizar o atendimento do SUS aqui no Acre ninguém ver né,cameli,Tue Aug 03 2021 17:02:06 GMT-0300 (Brasilia Standard Time),Tue Aug 03 2021 10:42:57 GMT-0300 (Brasilia Standard Time)
"RT @PintoEmmanoel: Parte 3
Bolsonarista Gladson Cameli é o autor do PL, que atinge o Complexo do Rio Gregório, em Tarauacá (AC), onde o apr…",cameli,Tue Aug 03 2021 17:02:06 GMT-0300 (Brasilia Standard Time),Tue Aug 03 2021 10:24:32 GMT-0300 (Brasilia Standard Time)
"Parte 3
Bolsonarista Gladson Cameli é o autor do PL, que atinge o Complexo do Rio Gregório, em Tarauacá (AC), onde… https://t.co/iNqlTPIyoJ",cameli,Tue Aug 03 2021 17:02:06 GMT-0300 (Brasilia Standard Time),Tue Aug 03 2021 10:04:43 GMT-0300 (Brasilia Standard Time)
Hoje eu só  tô vivo graças a maracujina,cameli,Tue Aug 03 2021 17:02:06 GMT-0300 (Brasilia Standard Time),Tue Aug 03 2021 01:46:09 GMT-0300 (Brasilia Standard Time)
RT @dougraz: Argentina perdendo até quando ganha #Tokyo2020,cameli,Tue Aug 03 2021 17:02:06 GMT-0300 (Brasilia Standard Time),Tue Aug 03 2021 00:58:19 GMT-0300 (Brasilia Standard Time)
"O governador Gladson Cameli voltou a confirmar a realização de novos concursos no Acre, assim que equilibrar o limi… https://t.co/JpMSiB1wpZ",cameli,Tue Aug 03 2021 17:02:06 GMT-0300 (Brasilia Standard Time),Mon Aug 02 2021 14:50:28 GMT-0300 (Brasilia Standard Time)
Cadastro de reserva da PM fazem protesto na Aleac e cobram convocação do governo Gladson Cameli https://t.co/SOG40oPQVI,cameli,Tue Aug 03 2021 17:02:06 GMT-0300 (Brasilia Standard Time),Mon Aug 02 2021 13:28:10 GMT-0300 (Brasilia Standard Time)
RT @talesofmystory: O maior indicador de crise econômica aguda de um país é ver McDonalds ser listado como luxo,cameli,Tue Aug 03 2021 17:02:06 GMT-0300 (Brasilia Standard Time),Mon Aug 02 2021 07:08:14 GMT-0300 (Brasilia Standard Time)
RT @dimacgarcia: AC - Mailza Gomes (PP) assumiu o cargo na renúncia de Gladson Cameli (PP). Elá é uma das senadoras que deixam o Senado em…,cameli,Tue Aug 03 2021 17:02:06 GMT-0300 (Brasilia Standard Time),Sun Aug 01 2021 22:04:58 GMT-0300 (Brasilia Standard Time)
