text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"Vigilante e soberana, a Câmara avança nas reformas, como a tributária que votaremos nessa semana, na certeza de que… https://t.co/QgPkdMXEQy",1086390169970884613,,,1086390169970884600,ArthurLira_,,,119,2041,Thu Aug 19 2021 20:27:21 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 11:46:29 GMT-0300 (Brasilia Standard Time)
O Brasil sempre terá no presidente da Câmara dos Deputados um ferrenho defensor constitucional da harmonia e independência entre os Poderes.,1086390169970884613,,,1086390169970884600,ArthurLira_,,,428,5271,Thu Aug 19 2021 20:27:21 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 11:46:19 GMT-0300 (Brasilia Standard Time)
"O melhor presente que a Câmara dos Deputados pode dar a pais e filhos, neste domingo, é continuar a trabalhar pelo… https://t.co/ABOBWPvh60",1086390169970884613,,,1086390169970884600,ArthurLira_,,,472,8606,Thu Aug 19 2021 20:27:21 GMT-0300 (Brasilia Standard Time),Sun Aug 08 2021 09:28:42 GMT-0300 (Brasilia Standard Time)
"É como dançar junto, quem sabe até separado, mas sem pisar no pé de ninguém. Assim é um baile bom, assim é a vida,… https://t.co/BsBHIN40az",1086390169970884613,,,1086390169970884600,ArthurLira_,,,185,2565,Thu Aug 19 2021 20:27:21 GMT-0300 (Brasilia Standard Time),Sat Aug 07 2021 11:19:07 GMT-0300 (Brasilia Standard Time)
"Neste fim de semana, sejamos ainda mais inspirados pelos ensinamentos de Aristóteles, Locke e Montesquieu, quando p… https://t.co/13PvX5tWrY",1086390169970884613,,,1086390169970884600,ArthurLira_,,,619,6720,Thu Aug 19 2021 20:27:21 GMT-0300 (Brasilia Standard Time),Sat Aug 07 2021 11:18:49 GMT-0300 (Brasilia Standard Time)
"Não contem comigo com qualquer movimento que rompa ou macule com a independência e a harmonia entre os poderes, ain… https://t.co/zGPgm7Ubv3",1086390169970884613,,,1086390169970884600,ArthurLira_,,,233,2439,Thu Aug 19 2021 20:27:21 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 18:26:58 GMT-0300 (Brasilia Standard Time)
A Câmara dos Deputados sempre se pauta pelo cumprimento do Regimento e pela defesa da sua vontade que é a expressão máxima da democracia.,1086390169970884613,,,1086390169970884600,ArthurLira_,,,462,5881,Thu Aug 19 2021 20:27:21 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 18:26:46 GMT-0300 (Brasilia Standard Time)
"Só assim teremos uma decisão inquestionável e suprema porque o plenário é a nossa alçada máxima de decisão, a expre… https://t.co/RW7rAtZQf7",1086390169970884613,,,1086390169970884600,ArthurLira_,,,557,7210,Thu Aug 19 2021 20:27:21 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 18:26:32 GMT-0300 (Brasilia Standard Time)
"Para quem fala que a democracia está em risco, não há nada mais livre, amplo e representativo que deixar o plenário manifestar-se.",1086390169970884613,,,1086390169970884600,ArthurLira_,,,478,5588,Thu Aug 19 2021 20:27:21 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 18:26:18 GMT-0300 (Brasilia Standard Time)
"Pela tranquilidade das próximas eleições e para que possamos trabalhar em paz até janeiro de 2023, vamos levar a qu… https://t.co/G9zGpG3LJ2",1086390169970884613,,,1086390169970884600,ArthurLira_,,,3374,22594,Thu Aug 19 2021 20:27:21 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 18:26:04 GMT-0300 (Brasilia Standard Time)
Participo neste momento de debate sobre a reforma administrativa. https://t.co/bYKLwTrrok,1086390169970884613,,,1086390169970884600,ArthurLira_,,,163,1663,Thu Aug 19 2021 20:27:21 GMT-0300 (Brasilia Standard Time),Tue Aug 03 2021 10:21:56 GMT-0300 (Brasilia Standard Time)
O relator me informou que refez os cálculos junto a equipe econômica e que serão acatadas as sugestões. Dessa forma… https://t.co/oqUfM0xKqI,1086390169970884613,,,1086390169970884600,ArthurLira_,,,95,1182,Thu Aug 19 2021 20:27:21 GMT-0300 (Brasilia Standard Time),Wed Jul 28 2021 14:22:25 GMT-0300 (Brasilia Standard Time)
As empresas do simples nacional são um dos pilares da nossa economia e da geração de empregos.  Sensível a essa imp… https://t.co/KetgrDYjgU,1086390169970884613,,,1086390169970884600,ArthurLira_,,,240,2700,Thu Aug 19 2021 20:27:21 GMT-0300 (Brasilia Standard Time),Wed Jul 28 2021 14:22:02 GMT-0300 (Brasilia Standard Time)
"Vamos analisar também a privatização dos Correios, além das reformas política e administrativa. Temos ainda que dis… https://t.co/RAmbzJSImo",1086390169970884613,,,1086390169970884600,ArthurLira_,,,238,2936,Thu Aug 19 2021 20:27:21 GMT-0300 (Brasilia Standard Time),Wed Jul 28 2021 12:57:58 GMT-0300 (Brasilia Standard Time)
"Como prioridade para o segundo semestre, teremos votações importantes. Logo na primeira semana, na volta do recesso… https://t.co/xq7w752jLa",1086390169970884613,,,1086390169970884600,ArthurLira_,,,776,7562,Thu Aug 19 2021 20:27:21 GMT-0300 (Brasilia Standard Time),Wed Jul 28 2021 12:57:29 GMT-0300 (Brasilia Standard Time)
As últimas decisões do governo foram pelo reconhecimento da política e da articulação como único meio de fazer o País avançar.,1086390169970884613,,,1086390169970884600,ArthurLira_,,,206,3086,Thu Aug 19 2021 20:27:21 GMT-0300 (Brasilia Standard Time),Thu Jul 22 2021 10:30:40 GMT-0300 (Brasilia Standard Time)
"A despeito do que sai ou não na imprensa, o fato é: o brasileiro quer vacina, quer trabalho e vai julgar seus repre… https://t.co/cBt38VL6zD",1086390169970884613,,,1086390169970884600,ArthurLira_,,,913,10397,Thu Aug 19 2021 20:27:21 GMT-0300 (Brasilia Standard Time),Thu Jul 22 2021 10:30:31 GMT-0300 (Brasilia Standard Time)
"Como presidente da Câmara, estimulo o debate, tento trazer ao debate público soluções para os problemas do país. E… https://t.co/aptz7A4ggh",1086390169970884613,,,1086390169970884600,ArthurLira_,,,77,1142,Thu Aug 19 2021 20:27:21 GMT-0300 (Brasilia Standard Time),Mon Jul 19 2021 12:02:13 GMT-0300 (Brasilia Standard Time)
"Esse é o nosso trabalho, essa é a nossa obrigação. Pressões são normais mas aceitá-las ou guiar-se por elas pode não ser a melhor prática.",1086390169970884613,,,1086390169970884600,ArthurLira_,,,72,983,Thu Aug 19 2021 20:27:21 GMT-0300 (Brasilia Standard Time),Mon Jul 19 2021 12:01:53 GMT-0300 (Brasilia Standard Time)
"Podemos, sim, discutir o semipresidencialismo, que só valeria para as eleições de 2026, como qualquer outro projeto… https://t.co/K0tt8jQVk8",1086390169970884613,,,1086390169970884600,ArthurLira_,,,108,1272,Thu Aug 19 2021 20:27:21 GMT-0300 (Brasilia Standard Time),Mon Jul 19 2021 12:01:24 GMT-0300 (Brasilia Standard Time)
"Acabamos com a vontade de um só, que votava ou não votava o que bem lhe aprouvesse. Não mais! Acabou a época de pro… https://t.co/8HoBdKFx3G",1086390169970884613,,,1086390169970884600,ArthurLira_,,,80,1060,Thu Aug 19 2021 20:27:21 GMT-0300 (Brasilia Standard Time),Mon Jul 19 2021 12:00:58 GMT-0300 (Brasilia Standard Time)
"Outro compromisso foi o de prestigiar e dar ainda mais importância aos órgãos colegiados, como o encontro que fazem… https://t.co/YmuqUt7oGK",1086390169970884613,,,1086390169970884600,ArthurLira_,,,62,739,Thu Aug 19 2021 20:27:21 GMT-0300 (Brasilia Standard Time),Mon Jul 19 2021 12:00:26 GMT-0300 (Brasilia Standard Time)
Não há temas que não possam ser discutidos na Câmara dos Deputados. Esse foi um dos meus compromissos de campanha à… https://t.co/oZ1DkwSzDh,1086390169970884613,,,1086390169970884600,ArthurLira_,,,423,5429,Thu Aug 19 2021 20:27:21 GMT-0300 (Brasilia Standard Time),Mon Jul 19 2021 12:00:02 GMT-0300 (Brasilia Standard Time)
"A Câmara dos Deputados entregará uma reforma estruturante do imposto de renda, que promoverá uma grande geração de… https://t.co/s1JDmypFwN",1086390169970884613,,,1086390169970884600,ArthurLira_,,,236,2790,Thu Aug 19 2021 20:27:21 GMT-0300 (Brasilia Standard Time),Mon Jul 12 2021 14:56:00 GMT-0300 (Brasilia Standard Time)
"O relator @depcelsosabino estuda reduzir, em 50 bilhões de reais, a carga tributária sobre a renda do capital produtivo e dos trabalhadores.",1086390169970884613,,,1086390169970884600,ArthurLira_,,,622,5595,Thu Aug 19 2021 20:27:21 GMT-0300 (Brasilia Standard Time),Mon Jul 12 2021 14:55:43 GMT-0300 (Brasilia Standard Time)
"Deixemos que o eleitor tenha emprego e vacina, que deixe o seu veredito em outubro de 2022 quando encontrará com a… https://t.co/FkVsCbO6S4",1086390169970884613,,,1086390169970884600,ArthurLira_,,,397,4404,Thu Aug 19 2021 20:27:21 GMT-0300 (Brasilia Standard Time),Sat Jul 10 2021 10:25:42 GMT-0300 (Brasilia Standard Time)
A Câmara será sempre a voz de um povo livre e democrata e sempre estará pronta para ajudar o Brasil a continuar a c… https://t.co/uwJMGq3CkA,1086390169970884613,,,1086390169970884600,ArthurLira_,,,232,3241,Thu Aug 19 2021 20:27:21 GMT-0300 (Brasilia Standard Time),Sat Jul 10 2021 10:25:24 GMT-0300 (Brasilia Standard Time)
"Reitero o meu compromisso; a Câmara avançará nas reformas, continuará a ser o poder mais democrático e plural do pa… https://t.co/r5SMGcJ2yL",1086390169970884613,,,1086390169970884600,ArthurLira_,,,195,2816,Thu Aug 19 2021 20:27:21 GMT-0300 (Brasilia Standard Time),Sat Jul 10 2021 10:25:01 GMT-0300 (Brasilia Standard Time)
"Em uma hora tão dura como a que vivemos hoje, saibamos todos que o Brasil sempre será maior do que qualquer disputa… https://t.co/OxYKPKymif",1086390169970884613,,,1086390169970884600,ArthurLira_,,,145,2138,Thu Aug 19 2021 20:27:21 GMT-0300 (Brasilia Standard Time),Sat Jul 10 2021 10:24:44 GMT-0300 (Brasilia Standard Time)
Nossas instituições são fortalezas que não se abalarão com declarações públicas e OPORTUNISMO. Enfrentamos o pior d… https://t.co/stggaOr4Vw,1086390169970884613,,,1086390169970884600,ArthurLira_,,,1047,10103,Thu Aug 19 2021 20:27:21 GMT-0300 (Brasilia Standard Time),Sat Jul 10 2021 10:24:18 GMT-0300 (Brasilia Standard Time)
O Legislativo tem força para debater e fazer as contas. Não votaremos este texto enquanto não estiver maduro e disc… https://t.co/j1KZJUr3NX,1086390169970884613,,,1086390169970884600,ArthurLira_,,,134,1660,Thu Aug 19 2021 20:27:21 GMT-0300 (Brasilia Standard Time),Wed Jul 07 2021 17:26:04 GMT-0300 (Brasilia Standard Time)
"Sobre a reforma tributária, é  importante dizer que o conceito está indo no caminho certo para corrigir distorções.… https://t.co/AdgofORsFc",1086390169970884613,,,1086390169970884600,ArthurLira_,,,925,7876,Thu Aug 19 2021 20:27:21 GMT-0300 (Brasilia Standard Time),Wed Jul 07 2021 17:25:51 GMT-0300 (Brasilia Standard Time)
Temos que ter a instalação da CMO para aprovação da LDO ainda nos próximos 15 dias.,1086390169970884613,,,1086390169970884600,ArthurLira_,,,149,2072,Thu Aug 19 2021 20:27:21 GMT-0300 (Brasilia Standard Time),Thu Jul 01 2021 16:34:47 GMT-0300 (Brasilia Standard Time)
