text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
Assinei nesta segunda um memorando de entendimento com a empresa Neoenergia para implementação de um projeto de mob… https://t.co/Pxe6toB8eW,1242846683962245127,,,1242846683962245000,CamiloSantanaCE,,,10,110,Mon Sep 20 2021 20:29:52 GMT-0300 (Brasilia Standard Time),Mon Sep 20 2021 18:49:11 GMT-0300 (Brasilia Standard Time)
Chegamos a 9.019.393 doses de vacinas contra a Covid aplicadas no CE. Agradeço aos profissionais de saúde pelo empe… https://t.co/63MuaIJpuN,1242846683962245127,,,1242846683962245000,CamiloSantanaCE,,,15,249,Mon Sep 20 2021 20:29:52 GMT-0300 (Brasilia Standard Time),Mon Sep 20 2021 14:28:10 GMT-0300 (Brasilia Standard Time)
"Lançamos nesta segunda-feira a nova etapa do programa Sinalize. O projeto prevê 3,9 milhões de metros quadrados em… https://t.co/CyQmcrUenH",1242846683962245127,,,1242846683962245000,CamiloSantanaCE,,,2,47,Mon Sep 20 2021 20:29:52 GMT-0300 (Brasilia Standard Time),Mon Sep 20 2021 14:12:08 GMT-0300 (Brasilia Standard Time)
"Educação como prioridade! Entregamos nesta manhã o Centro de Educação Infantil (CEI) do Residencial Miguel Arraes,… https://t.co/iH86FpDvFm",1242846683962245127,,,1242846683962245000,CamiloSantanaCE,,,4,74,Mon Sep 20 2021 20:29:52 GMT-0300 (Brasilia Standard Time),Mon Sep 20 2021 11:24:29 GMT-0300 (Brasilia Standard Time)
"Recebemos neste domingo mais 262.080 doses da vacina da Pfizer, que serão utilizadas para D1 e D2. Amanhã estão pre… https://t.co/IpKE8xj3fI",1242846683962245127,,,1242846683962245000,CamiloSantanaCE,,,12,238,Mon Sep 20 2021 20:29:52 GMT-0300 (Brasilia Standard Time),Sun Sep 19 2021 16:54:14 GMT-0300 (Brasilia Standard Time)
"Seu legado estará sempre em nossas ações diárias. Porque investir em educação é garantir um estado mais justo, igua… https://t.co/X57K8W3B4m",1242846683962245127,,,1242846683962245000,CamiloSantanaCE,,,11,324,Mon Sep 20 2021 20:29:52 GMT-0300 (Brasilia Standard Time),Sun Sep 19 2021 09:16:38 GMT-0300 (Brasilia Standard Time)
"100 anos do mestre Paulo Freire, o patrono da educação brasileira. Seu método de ensino inovador sempre colocou a e… https://t.co/VmhKOyjPot",1242846683962245127,,,1242846683962245000,CamiloSantanaCE,,,206,2108,Mon Sep 20 2021 20:29:52 GMT-0300 (Brasilia Standard Time),Sun Sep 19 2021 09:16:38 GMT-0300 (Brasilia Standard Time)
"E a requalificação urbana da avenida Doutor Guarany, que abrange também a nova estação do VLT Boulevard do Arco. Al… https://t.co/FyPe1TJSRu",1242846683962245127,,,1242846683962245000,CamiloSantanaCE,,,3,33,Mon Sep 20 2021 20:29:52 GMT-0300 (Brasilia Standard Time),Sun Sep 19 2021 08:34:08 GMT-0300 (Brasilia Standard Time)
"Realizamos nesta semana diversas inaugurações em Sobral, na Região Norte do estado. Entregamos quatro equipamentos… https://t.co/ByMBtUW1Rd",1242846683962245127,,,1242846683962245000,CamiloSantanaCE,,,9,105,Mon Sep 20 2021 20:29:52 GMT-0300 (Brasilia Standard Time),Sun Sep 19 2021 08:34:05 GMT-0300 (Brasilia Standard Time)
Volto a lembrar que a imunização dos adolescentes entre 12 e 17 anos segue normalmente em todo o Ceará. Fiquem aten… https://t.co/hl346RZKc2,1242846683962245127,,,1242846683962245000,CamiloSantanaCE,,,21,358,Mon Sep 20 2021 20:29:52 GMT-0300 (Brasilia Standard Time),Sat Sep 18 2021 19:15:40 GMT-0300 (Brasilia Standard Time)
