text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
@EduardoJorge Acabo de ter uma boa conversa com o querido Eduardo Jorge. Inclusive topou ser um dos meus convidados… https://t.co/HY7zjZgxQ0,33374761,,,33374761,cirogomes,,,115,792,Thu Aug 19 2021 20:27:24 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 17:15:15 GMT-0300 (Brasilia Standard Time)
"@EduardoJorge Amigo @EduardoJorge , você sabe do carinho e admiração que tenho por você e pela causa ! vou te ligar para conversarmos .",33374761,,,33374761,cirogomes,,,58,881,Thu Aug 19 2021 20:27:24 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 12:40:09 GMT-0300 (Brasilia Standard Time)
"Meu amigo Belchior cantava que ""o passado é uma roupa que não nos serve mais"". Esse belo verso bem pode servir de i… https://t.co/Iop2ygwOwZ",33374761,,,33374761,cirogomes,,,578,2521,Thu Aug 19 2021 20:27:24 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 09:00:02 GMT-0300 (Brasilia Standard Time)
"Obrigado, Suplicy. Estamos juntos naquilo de mais profundo que interessa ao Brasil. https://t.co/ci2xRoaP2y",33374761,,,33374761,cirogomes,,,252,4781,Thu Aug 19 2021 20:27:24 GMT-0300 (Brasilia Standard Time),Wed Aug 18 2021 21:08:18 GMT-0300 (Brasilia Standard Time)
"Eles teriam direito à gratuidade, mas como faltaram ano passado por causa da pandemia, que gerou a maior abstenção… https://t.co/zHpqKGRQuF",33374761,,,33374761,cirogomes,,,163,1142,Thu Aug 19 2021 20:27:24 GMT-0300 (Brasilia Standard Time),Wed Aug 18 2021 10:49:38 GMT-0300 (Brasilia Standard Time)
Burocracia e insensibilidade do Bolsonaro ameaçam o futuro de milhares de estudantes brasileiros. Quase um milhão d… https://t.co/W6ytGOR9VL,33374761,,,33374761,cirogomes,,,454,2150,Thu Aug 19 2021 20:27:24 GMT-0300 (Brasilia Standard Time),Wed Aug 18 2021 10:49:05 GMT-0300 (Brasilia Standard Time)
É de virar o estômago ver o que o governo Bolsonaro está fazendo com o meio ambiente. Mas ainda dá tempo de reverte… https://t.co/VvoUsAI7it,33374761,,,33374761,cirogomes,,,828,3806,Thu Aug 19 2021 20:27:24 GMT-0300 (Brasilia Standard Time),Wed Aug 18 2021 09:00:01 GMT-0300 (Brasilia Standard Time)
"Hoje é dia de homenagear um dos grandes intelectuais brasileiros da nova geração, @silviolual! Sou um grande admira… https://t.co/24MFWQYET5",33374761,,,33374761,cirogomes,,,368,3751,Thu Aug 19 2021 20:27:24 GMT-0300 (Brasilia Standard Time),Tue Aug 17 2021 17:40:32 GMT-0300 (Brasilia Standard Time)
"De lá para cá, Ciro não só manteve a paixão pela leitura como também se tornou escritor. O seu último livro, “Proje… https://t.co/yBk7lWOhkl",33374761,,,33374761,cirogomes,,,114,766,Thu Aug 19 2021 20:27:24 GMT-0300 (Brasilia Standard Time),Tue Aug 17 2021 12:02:03 GMT-0300 (Brasilia Standard Time)
"Aos 15 anos, ele venceu um concurso de redação sobre Camões que o governo de Portugal promoveu nos países de língua… https://t.co/JbqY4GDMSQ",33374761,,,33374761,cirogomes,,,133,843,Thu Aug 19 2021 20:27:24 GMT-0300 (Brasilia Standard Time),Tue Aug 17 2021 12:01:57 GMT-0300 (Brasilia Standard Time)
"Filho de professores, Ciro cresceu cercado de livros e desenvolveu o gosto pela leitura e a escrita ainda criança.… https://t.co/PIJiYwkffs",33374761,,,33374761,cirogomes,,,89,483,Thu Aug 19 2021 20:27:24 GMT-0300 (Brasilia Standard Time),Tue Aug 17 2021 12:01:52 GMT-0300 (Brasilia Standard Time)
"Que Ciro é um cara preparado, todo mundo sabe. O que muitos desconhecem é que ele é filho de professores, ganhou um… https://t.co/7cFTQGTbKu",33374761,,,33374761,cirogomes,,,410,2435,Thu Aug 19 2021 20:27:24 GMT-0300 (Brasilia Standard Time),Tue Aug 17 2021 12:01:47 GMT-0300 (Brasilia Standard Time)
"Nessa segunda parte da minha entrevista ao Canal Livre, da @BandJornalismo, falo que a nossa democracia tem mecanis… https://t.co/iiYzzZRTbg",33374761,,,33374761,cirogomes,,,344,1510,Thu Aug 19 2021 20:27:24 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 12:55:00 GMT-0300 (Brasilia Standard Time)
"Muito obrigado a todos que acompanharam a minha entrevista de ontem ao Canal Livre, da @BandJornalismo. Para quem n… https://t.co/iXYuPpHH21",33374761,,,33374761,cirogomes,,,538,2752,Thu Aug 19 2021 20:27:24 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 12:54:11 GMT-0300 (Brasilia Standard Time)
"Na semana passada, fui a Bahia debater a luta antirracista com movimentos negros. Conheci projetos incríveis e visi… https://t.co/io76mUS1Cy",33374761,,,33374761,cirogomes,,,662,2525,Thu Aug 19 2021 20:27:24 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 09:00:00 GMT-0300 (Brasilia Standard Time)
"Obrigado, @RodolfoS, @fernandomitre e @fernandoschuler, pela entrevista de alto nível. Meus agradecimentos também a… https://t.co/rxLOBHjSv8",33374761,,,33374761,cirogomes,,,288,1680,Thu Aug 19 2021 20:27:24 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 01:22:16 GMT-0300 (Brasilia Standard Time)
"Vamos vigiar Bolsonaro e seus delírios golpistas, mas a democracia brasileira tem ferramentas e no limite, que todo… https://t.co/ng8hMesXtF",33374761,,,33374761,cirogomes,,,334,2769,Thu Aug 19 2021 20:27:24 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 00:48:03 GMT-0300 (Brasilia Standard Time)
