text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"🔴 #AOVIVO

Governadora participa de Sessão Solene do Senado Federal, proposta pelo @senadorjean, em Homenagem ao Ce… https://t.co/BSpra8o4FF",51064768,,,51064768,fatimabezerra,,,1,20,Mon Sep 20 2021 20:27:58 GMT-0300 (Brasilia Standard Time),Mon Sep 20 2021 17:12:04 GMT-0300 (Brasilia Standard Time)
"A categoria dos auditores fiscais do RN deu uma importante e decisiva contribuição, através do trabalho valioso de… https://t.co/B8ACMI7iU1",51064768,,,51064768,fatimabezerra,,,1,15,Mon Sep 20 2021 20:27:58 GMT-0300 (Brasilia Standard Time),Mon Sep 20 2021 16:31:33 GMT-0300 (Brasilia Standard Time)
"O congresso discute temas nacionais e estaduais como as reformas dos sistemas administrativo e tributário, bem como… https://t.co/dcGKP1rHX0",51064768,,,51064768,fatimabezerra,,,1,14,Mon Sep 20 2021 20:27:58 GMT-0300 (Brasilia Standard Time),Mon Sep 20 2021 16:31:28 GMT-0300 (Brasilia Standard Time)
"Participamos hoje da XIII  edição do Conefisco – Congresso Estadual do Fisco no Rio Grande do Norte, com o tema “Re… https://t.co/oZQGI3yTGX",51064768,,,51064768,fatimabezerra,,,6,29,Mon Sep 20 2021 20:27:58 GMT-0300 (Brasilia Standard Time),Mon Sep 20 2021 16:30:41 GMT-0300 (Brasilia Standard Time)
"Hoje também é dia de @depjoaomaia . Liguei pra ele e desejei um feliz aniversário com votos de muita saúde, paz e ê… https://t.co/ka19gYcijR",51064768,,,51064768,fatimabezerra,,,0,17,Mon Sep 20 2021 20:27:58 GMT-0300 (Brasilia Standard Time),Mon Sep 20 2021 15:26:46 GMT-0300 (Brasilia Standard Time)
"#Agenda
Governadora recebe a prefeita de Caiçara do Rio do Vento, Ceiça Lisboa, o vice, Arnaldo Aciole e os vereado… https://t.co/QfQ10yQADD",51064768,,,51064768,fatimabezerra,,,0,17,Mon Sep 20 2021 20:27:58 GMT-0300 (Brasilia Standard Time),Mon Sep 20 2021 14:33:33 GMT-0300 (Brasilia Standard Time)
"*Foto da comemoração de 2019, antes da pandemia.",51064768,,,51064768,fatimabezerra,,,3,21,Mon Sep 20 2021 20:27:58 GMT-0300 (Brasilia Standard Time),Mon Sep 20 2021 13:55:18 GMT-0300 (Brasilia Standard Time)
"Hoje é dia de Samandinha! Parabéns, @samandaalves, querida companheira de caminhada e de luta. Meu abraço carinhoso… https://t.co/XXimhN7YiG",51064768,,,51064768,fatimabezerra,,,6,103,Mon Sep 20 2021 20:27:58 GMT-0300 (Brasilia Standard Time),Mon Sep 20 2021 13:55:17 GMT-0300 (Brasilia Standard Time)
Anunciamos hoje o envio à Assembleia do Projeto de Lei que prevê a criação do Departamento de Proteção a Grupos em… https://t.co/GgxuzmhWvj,51064768,,,51064768,fatimabezerra,,,6,38,Mon Sep 20 2021 20:27:58 GMT-0300 (Brasilia Standard Time),Mon Sep 20 2021 13:03:53 GMT-0300 (Brasilia Standard Time)
Governadora já se encontra na DEGEPOL para anunciar a criação do Departamento de Proteção a Grupos em Situação de V… https://t.co/flgba6SDHa,51064768,,,51064768,fatimabezerra,,,21,125,Mon Sep 20 2021 20:27:58 GMT-0300 (Brasilia Standard Time),Mon Sep 20 2021 11:27:31 GMT-0300 (Brasilia Standard Time)
"Em instantes, a Governadora estará na  DEGEPOL para anunciar a criação do Departamento de Proteção a Grupos em Situ… https://t.co/GiTKDl8mko",51064768,,,51064768,fatimabezerra,,,5,84,Mon Sep 20 2021 20:27:58 GMT-0300 (Brasilia Standard Time),Mon Sep 20 2021 10:40:48 GMT-0300 (Brasilia Standard Time)
"Que a memória de Paulo Freire seja eternizada neste chão sagrado que ele pisou, e onde construiu a base prática da… https://t.co/LuR9G8dESv",51064768,,,51064768,fatimabezerra,,,33,160,Mon Sep 20 2021 20:27:58 GMT-0300 (Brasilia Standard Time),Sun Sep 19 2021 20:45:44 GMT-0300 (Brasilia Standard Time)
"O nome da obra é baseado no programa freiriano de mesmo nome, que completou a alfabetização de 380 trabalhadores em… https://t.co/zwD8khbtCf",51064768,,,51064768,fatimabezerra,,,30,191,Mon Sep 20 2021 20:27:58 GMT-0300 (Brasilia Standard Time),Sun Sep 19 2021 20:45:38 GMT-0300 (Brasilia Standard Time)
"É com muita alegria que inauguramos a escultura “Quarenta horas de Angicos”, feita por Guaraci Gabriel, em homenage… https://t.co/WEpAyo5AQD",51064768,,,51064768,fatimabezerra,,,139,1015,Mon Sep 20 2021 20:27:58 GMT-0300 (Brasilia Standard Time),Sun Sep 19 2021 20:45:32 GMT-0300 (Brasilia Standard Time)
"Aqui também pudemos inaugurar a estadia do Memorial Wilma de Farias na casa, ao lado de sua filha, a deputada… https://t.co/tNDw3Z4s6p",51064768,,,51064768,fatimabezerra,,,7,44,Mon Sep 20 2021 20:27:58 GMT-0300 (Brasilia Standard Time),Sun Sep 19 2021 17:24:49 GMT-0300 (Brasilia Standard Time)
Tivemos a honra de conhecer alguns dos ex-alunos do programa de alfabetização de adultos desenvolvido por Paulo Fre… https://t.co/J7MaHBXdea,51064768,,,51064768,fatimabezerra,,,37,227,Mon Sep 20 2021 20:27:58 GMT-0300 (Brasilia Standard Time),Sun Sep 19 2021 17:24:42 GMT-0300 (Brasilia Standard Time)
"A nossa primeira parada em Angicos foi na Casa de Cultura Popular Palácio Professor Paulo Freire, que celebra os se… https://t.co/MQPfyQLGW0",51064768,,,51064768,fatimabezerra,,,20,148,Mon Sep 20 2021 20:27:58 GMT-0300 (Brasilia Standard Time),Sun Sep 19 2021 17:21:14 GMT-0300 (Brasilia Standard Time)
"#MaisVacinas Pessoal! Acabamos de receber 105.300 doses da Pfizer, e amanhã receberemos 41.250 da AstraZeneca. Este… https://t.co/xR2InHSaYC",51064768,,,51064768,fatimabezerra,,,17,119,Mon Sep 20 2021 20:27:58 GMT-0300 (Brasilia Standard Time),Sun Sep 19 2021 12:47:15 GMT-0300 (Brasilia Standard Time)
Hoje a caminhada tem um cenário e uma mensagem especial! Estou aqui em Tibau passando para lembrar que mais tarde e… https://t.co/4ML8MPK7r7,51064768,,,51064768,fatimabezerra,,,21,186,Mon Sep 20 2021 20:27:58 GMT-0300 (Brasilia Standard Time),Sun Sep 19 2021 11:03:40 GMT-0300 (Brasilia Standard Time)
"O verbo ""esperançar"" nunca esteve tão vivo em nossa memória. Continuamos sonhando e agindo!

Mais tarde, estaremos… https://t.co/HHd5oWpSrT",51064768,,,51064768,fatimabezerra,,,162,1712,Mon Sep 20 2021 20:27:58 GMT-0300 (Brasilia Standard Time),Sun Sep 19 2021 09:39:06 GMT-0300 (Brasilia Standard Time)
"Hoje é um dia muito especial para todos que acreditam no poder transformador da educação. No dia de seu centenário,… https://t.co/oRIM5XlUQT",51064768,,,51064768,fatimabezerra,,,36,150,Mon Sep 20 2021 20:27:58 GMT-0300 (Brasilia Standard Time),Sun Sep 19 2021 09:16:34 GMT-0300 (Brasilia Standard Time)
