text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
#MaisVacina Pessoal! O @minsaude sinalizou que sexta (20) ao meio dia chegam 67.860 doses da Pfizer e 77.000 da Cor… https://t.co/3yilqIhv8l,51064768,,,51064768,fatimabezerra,,,1,77,Thu Aug 19 2021 20:27:14 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:32:11 GMT-0300 (Brasilia Standard Time)
"Já estamos no ar! 🎥

Acompanhe: https://t.co/JHDHZtEQUa",51064768,,,51064768,fatimabezerra,,,0,4,Thu Aug 19 2021 20:27:14 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:07:53 GMT-0300 (Brasilia Standard Time)
"Logo mais, às 19h, a Governadora estará ao vivo nas redes da @tvebahia para um bate papo no programa Giro Nordeste!… https://t.co/jWpHbh47KV",51064768,,,51064768,fatimabezerra,,,2,26,Thu Aug 19 2021 20:27:14 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 18:10:02 GMT-0300 (Brasilia Standard Time)
"#Agenda

A Governadora recebe o Deputado @rafaelmottarn juntamente com o prefeito de Riachuelo Joca Basílio, o pref… https://t.co/xZHntz1xTM",51064768,,,51064768,fatimabezerra,,,3,18,Thu Aug 19 2021 20:27:14 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 18:01:19 GMT-0300 (Brasilia Standard Time)
"#Agenda

A Governadora recebe os professores Lenilson Dantas e Miguel Salustiano, o vereador Professor Emerson Fran… https://t.co/9EadZyVxLu",51064768,,,51064768,fatimabezerra,,,5,28,Thu Aug 19 2021 20:27:14 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 17:09:25 GMT-0300 (Brasilia Standard Time)
"#Agenda

Governadora recebe João Marcondes, do Instituto Maurício de Sousa. 
@institutomsousa

📸 Sandro Menezes… https://t.co/REDYpaQgBY",51064768,,,51064768,fatimabezerra,,,1,36,Thu Aug 19 2021 20:27:14 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 16:25:17 GMT-0300 (Brasilia Standard Time)
"Os municípios com maior número de cidadãos com a segunda dose em atraso são: Natal (20.980), Mossoró (6.971), Parna… https://t.co/HYnBvKCKaW",51064768,,,51064768,fatimabezerra,,,2,14,Thu Aug 19 2021 20:27:14 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 14:00:25 GMT-0300 (Brasilia Standard Time)
As doses são destinadas aos: profissionais da Educação Infantil; trabalhadores portuários; profissionais da saúde;… https://t.co/vDSMn9SFFd,51064768,,,51064768,fatimabezerra,,,1,14,Thu Aug 19 2021 20:27:14 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 14:00:23 GMT-0300 (Brasilia Standard Time)
"Nos próximos dois sábados de agosto, dias 21 e 28, o RN fará uma grande mobilização de vacinação para as pessoas qu… https://t.co/l4MWhji1uG",51064768,,,51064768,fatimabezerra,,,0,8,Thu Aug 19 2021 20:27:14 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 14:00:19 GMT-0300 (Brasilia Standard Time)
"Dia D da vacinação! 💉

O RN terá dois dias exclusivos para vacinação das pessoas que estão com atraso na D2!
A Sesa… https://t.co/j0ChHUwKsy",51064768,,,51064768,fatimabezerra,,,10,69,Thu Aug 19 2021 20:27:14 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 14:00:14 GMT-0300 (Brasilia Standard Time)
"Nosso Governo está comprometido com o turismo do RN. Não somente da nossa belíssima costa, mas também com a sua int… https://t.co/wWjD5oPzCg",51064768,,,51064768,fatimabezerra,,,3,16,Thu Aug 19 2021 20:27:14 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 12:26:26 GMT-0300 (Brasilia Standard Time)
"O turismo foi um dos setores mais afetados pela crise da covid-19, o segmento precisou se reinventar e propor estra… https://t.co/Eaj8Wsa6x7",51064768,,,51064768,fatimabezerra,,,3,14,Thu Aug 19 2021 20:27:14 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 12:26:24 GMT-0300 (Brasilia Standard Time)
O evento contou com o lançamento de importantes ações para o fortalecimento do turismo no nosso estado. A segunda e… https://t.co/zD3PuKJDHa,51064768,,,51064768,fatimabezerra,,,0,2,Thu Aug 19 2021 20:27:14 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 12:26:22 GMT-0300 (Brasilia Standard Time)
"A Governadora está agora no Centro de Convenções para o evento de retomada do Turismo no nosso estado! 

Acompanhe… https://t.co/bshqfkmwaS",51064768,,,51064768,fatimabezerra,,,5,65,Thu Aug 19 2021 20:27:14 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 11:13:53 GMT-0300 (Brasilia Standard Time)
"Na verdade, trata-se da retomada de um projeto não efetivado pela gestão anterior e que o nosso governo determinou… https://t.co/gqezA2BzV8",51064768,,,51064768,fatimabezerra,,,2,40,Thu Aug 19 2021 20:27:14 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 10:59:46 GMT-0300 (Brasilia Standard Time)
"O projeto arquitetônico foi de autoria da arquiteta Érica Mendes, que foi bolsista do Instituto de Desenvolvimento… https://t.co/TUqQdXgEJJ",51064768,,,51064768,fatimabezerra,,,2,41,Thu Aug 19 2021 20:27:14 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 10:57:10 GMT-0300 (Brasilia Standard Time)
"O Costeira Parque terá uma grande área de lazer, cultura e esporte, com quadras de areia, área de piquenique, pista… https://t.co/X9v4lkI6xe",51064768,,,51064768,fatimabezerra,,,6,66,Thu Aug 19 2021 20:27:14 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 10:46:13 GMT-0300 (Brasilia Standard Time)
"Mais lazer, esporte e cultura em Natal!

A Governadora lança agora o edital do novo Costeira Parque, que será const… https://t.co/Sq8UcXiQmR",51064768,,,51064768,fatimabezerra,,,8,156,Thu Aug 19 2021 20:27:14 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 10:40:35 GMT-0300 (Brasilia Standard Time)
Violência contra mulher não é apenas física. Existem diversas formas de agressão e muitas pessoas ainda têm dificul… https://t.co/JQm3IWyrns,51064768,,,51064768,fatimabezerra,,,11,59,Thu Aug 19 2021 20:27:14 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 08:45:05 GMT-0300 (Brasilia Standard Time)
"#Agenda 

Governadora recebe a presidenta do @crearn3, Ana Adalgisa, ao lado do secretário Gustavo Coelho e do secr… https://t.co/Dd7oPj2rBp",51064768,,,51064768,fatimabezerra,,,3,35,Thu Aug 19 2021 20:27:14 GMT-0300 (Brasilia Standard Time),Wed Aug 18 2021 20:33:07 GMT-0300 (Brasilia Standard Time)
"#Agenda

Governadora recebe Dra. Aninha, vice-prefeita de Jardim do Seridó.

📸 Sandro Menezes
#EquipeFB https://t.co/IKla3CgqbI",51064768,,,51064768,fatimabezerra,,,4,66,Thu Aug 19 2021 20:27:14 GMT-0300 (Brasilia Standard Time),Wed Aug 18 2021 18:09:48 GMT-0300 (Brasilia Standard Time)
"Dêem uma olhadinha lá no perfil do Instagram do festival pra conferir a programação, é o @festivalgoiamumrn. E no s… https://t.co/Oph7vu8WXT",51064768,,,51064768,fatimabezerra,,,5,15,Thu Aug 19 2021 20:27:14 GMT-0300 (Brasilia Standard Time),Wed Aug 18 2021 17:19:23 GMT-0300 (Brasilia Standard Time)
"Acabo de receber a querida Keila Sena, diretora do Festival Goiamun Audiovisual, que este ano está na 10ª edição e… https://t.co/3CCY6DjmOW",51064768,,,51064768,fatimabezerra,,,12,121,Thu Aug 19 2021 20:27:14 GMT-0300 (Brasilia Standard Time),Wed Aug 18 2021 17:19:22 GMT-0300 (Brasilia Standard Time)
A Governadora conversará amanhã (19) com o pessoal da TVE Bahia no programa Giro Nordeste! Você pode acompanhar nas… https://t.co/hbyoHmM147,51064768,,,51064768,fatimabezerra,,,3,54,Thu Aug 19 2021 20:27:14 GMT-0300 (Brasilia Standard Time),Wed Aug 18 2021 16:21:18 GMT-0300 (Brasilia Standard Time)
"📢 Alô você que se inscreveu no programa Gente do Campo! O governo já publicou o resultado dos recursos!

As entrevi… https://t.co/VohifT2wYq",51064768,,,51064768,fatimabezerra,,,2,27,Thu Aug 19 2021 20:27:14 GMT-0300 (Brasilia Standard Time),Wed Aug 18 2021 15:22:14 GMT-0300 (Brasilia Standard Time)
"[+]

@aldemirrn (SEPLAN), Carlos Eduardo Xavier (SET), Larissa Gentile (POTIGÁS), Laissa Costa (GAC) e Tiago Lima (… https://t.co/8xnSxUZu6e",51064768,,,51064768,fatimabezerra,,,1,11,Thu Aug 19 2021 20:27:14 GMT-0300 (Brasilia Standard Time),Wed Aug 18 2021 14:38:59 GMT-0300 (Brasilia Standard Time)
"#Agenda 

Governadora está reunida agora com equipe do governo para despachos administrativos. Estiveram presentes:… https://t.co/lU5JD8vEak",51064768,,,51064768,fatimabezerra,,,7,38,Thu Aug 19 2021 20:27:14 GMT-0300 (Brasilia Standard Time),Wed Aug 18 2021 14:28:52 GMT-0300 (Brasilia Standard Time)
"Hoje, no Rio Grande do Norte, nós já temos mais de 30 municípios que iniciaram a vacinação acima de 18 anos. Sigamo… https://t.co/NULpEcce2J",51064768,,,51064768,fatimabezerra,,,5,61,Thu Aug 19 2021 20:27:14 GMT-0300 (Brasilia Standard Time),Wed Aug 18 2021 10:38:27 GMT-0300 (Brasilia Standard Time)
"Bom dia com boa notícia! 

Graças a Deus o Rio Grande do Norte já está com 70% da população adulta imunizada pelo m… https://t.co/AemhWRndFR",51064768,,,51064768,fatimabezerra,,,25,204,Thu Aug 19 2021 20:27:14 GMT-0300 (Brasilia Standard Time),Wed Aug 18 2021 10:38:26 GMT-0300 (Brasilia Standard Time)
Com a chegada do novo equipamento será possível ampliar o centro cirúrgico em 150 procedimentos a mais na linha de… https://t.co/18X38vfsjS,51064768,,,51064768,fatimabezerra,,,2,34,Thu Aug 19 2021 20:27:14 GMT-0300 (Brasilia Standard Time),Wed Aug 18 2021 08:52:31 GMT-0300 (Brasilia Standard Time)
O #GovernodoRN investiu na compra de uma arco cirúrgico para o Hospital Monsenhor Walfredo Gurgel (HMWG). O equipam… https://t.co/btXDdhIHrm,51064768,,,51064768,fatimabezerra,,,10,103,Thu Aug 19 2021 20:27:14 GMT-0300 (Brasilia Standard Time),Wed Aug 18 2021 08:52:30 GMT-0300 (Brasilia Standard Time)
"Participaram da audiência o dep. @HermanoMorais e comitiva do município, representada pelo prefeito Eudes Miranda,… https://t.co/uT1JqROUGz",51064768,,,51064768,fatimabezerra,,,1,15,Thu Aug 19 2021 20:27:14 GMT-0300 (Brasilia Standard Time),Tue Aug 17 2021 17:40:44 GMT-0300 (Brasilia Standard Time)
"Já no início de setembro o convênio da obra será assinado pelo Governo do Estado e Prefeitura de Guamaré, iniciativ… https://t.co/ZJ4lDZC683",51064768,,,51064768,fatimabezerra,,,3,22,Thu Aug 19 2021 20:27:14 GMT-0300 (Brasilia Standard Time),Tue Aug 17 2021 17:40:42 GMT-0300 (Brasilia Standard Time)
