text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"Feriado foi dia de circo com nossa Maria Luiza e as amiguinhas Maria Clara e Valentina 🎪
Família, a base de tudo Vi… https://t.co/mZxSjhgAHx",126381872,,,126381872,MauroMendes40,,,1,15,Thu Aug 19 2021 20:27:09 GMT-0300 (Brasilia Standard Time),Thu May 02 2019 10:57:11 GMT-0300 (Brasilia Standard Time)
https://t.co/eKcETIDwb6,126381872,,,126381872,MauroMendes40,,,1,4,Thu Aug 19 2021 20:27:09 GMT-0300 (Brasilia Standard Time),Mon Apr 29 2019 13:00:08 GMT-0300 (Brasilia Standard Time)
"Hoje eu concedi uma entrevista ao site RDNews, no programa RDTV. Falamos sobre o Governo de Mato Grosso, saúde públ… https://t.co/SZlyuCdxEA",126381872,,,126381872,MauroMendes40,,,3,12,Thu Aug 19 2021 20:27:09 GMT-0300 (Brasilia Standard Time),Fri Apr 26 2019 18:08:26 GMT-0300 (Brasilia Standard Time)
"Divulgamos hoje esse vídeo, em que é possível analisar o que aconteceu em Mato Grosso nos últimos 15 anos, entre 20… https://t.co/q3LqcgMObJ",126381872,,,126381872,MauroMendes40,,,2,6,Thu Aug 19 2021 20:27:09 GMT-0300 (Brasilia Standard Time),Wed Apr 17 2019 14:15:45 GMT-0300 (Brasilia Standard Time)
Tive a oportunidade nesta terça-feira de conversar com os produtores rurais da região de Sinop e também de ouvir as… https://t.co/NT5n6SnWoH,126381872,,,126381872,MauroMendes40,,,2,7,Thu Aug 19 2021 20:27:09 GMT-0300 (Brasilia Standard Time),Tue Apr 16 2019 22:11:43 GMT-0300 (Brasilia Standard Time)
Hoje visitamos a feira Norte Show em Sinop um exemplo de organização. Parabéns a todos os expositores e organizador… https://t.co/s5SnVdLfga,126381872,,,126381872,MauroMendes40,,,0,3,Thu Aug 19 2021 20:27:09 GMT-0300 (Brasilia Standard Time),Tue Apr 16 2019 21:16:41 GMT-0300 (Brasilia Standard Time)
"Visita às instalações da Inpasa em Sinop. Um investimento de R$1 bilhão para gerar etanol, proteína, energia e óleo… https://t.co/B27h713ea7",126381872,,,126381872,MauroMendes40,,,0,6,Thu Aug 19 2021 20:27:09 GMT-0300 (Brasilia Standard Time),Tue Apr 16 2019 16:30:10 GMT-0300 (Brasilia Standard Time)
Assinamos hoje com o Ministério Público Estadual um Termo de Cooperação para fortalece as investigações de condutas… https://t.co/YcOYbxeHMA,126381872,,,126381872,MauroMendes40,,,1,5,Thu Aug 19 2021 20:27:09 GMT-0300 (Brasilia Standard Time),Mon Apr 15 2019 13:23:41 GMT-0300 (Brasilia Standard Time)
"Assinamos hoje o contrato de concessão da MT 320, com a Via Brasil. Pedimos a empresa que adiante o cronograma de t… https://t.co/EVtDCrFyoZ",126381872,,,126381872,MauroMendes40,,,2,6,Thu Aug 19 2021 20:27:09 GMT-0300 (Brasilia Standard Time),Fri Apr 12 2019 13:24:42 GMT-0300 (Brasilia Standard Time)
"Assinamos hoje o contrato de concessão da MT 320, com a Via Brasil. Pedimos a empresa que adiante o cronograma de t… https://t.co/Wv3stkYy3X",126381872,,,126381872,MauroMendes40,,,0,1,Thu Aug 19 2021 20:27:09 GMT-0300 (Brasilia Standard Time),Fri Apr 12 2019 13:24:01 GMT-0300 (Brasilia Standard Time)
I posted a new video to Facebook https://t.co/plZgoqFBIf,126381872,,,126381872,MauroMendes40,,,0,1,Thu Aug 19 2021 20:27:09 GMT-0300 (Brasilia Standard Time),Fri Apr 12 2019 11:26:09 GMT-0300 (Brasilia Standard Time)
