text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"É muito simples. Basta cumprir o teto de gastos, cortar despesas e escolher prioridades. https://t.co/K33khh7tEf",35260027,,,35260027,RodrigoMaia,,,11,200,Mon Sep 20 2021 20:28:09 GMT-0300 (Brasilia Standard Time),Mon Sep 20 2021 16:06:07 GMT-0300 (Brasilia Standard Time)
"RT @Baleia_Rossi: A PEC dos Precatórios tem jeito de calote, cara de calote e cheiro de calote.  

Por isso, eu votei CONTRA na Comissão de…",35260027,,,35260027,RodrigoMaia,,,35,0,Mon Sep 20 2021 20:28:09 GMT-0300 (Brasilia Standard Time),Fri Sep 17 2021 15:13:01 GMT-0300 (Brasilia Standard Time)
"Depois do texto aprovado do IR, não foi surpresa o desastroso texto apresentado pelo relator da Reforma Administrat… https://t.co/kJc9iPm1m4",35260027,,,35260027,RodrigoMaia,,,35,457,Mon Sep 20 2021 20:28:09 GMT-0300 (Brasilia Standard Time),Fri Sep 17 2021 11:46:12 GMT-0300 (Brasilia Standard Time)
E dá-lhe Bolsonaro. https://t.co/CcnKxaHnSa,35260027,,,35260027,RodrigoMaia,,,175,1891,Mon Sep 20 2021 20:28:09 GMT-0300 (Brasilia Standard Time),Thu Sep 16 2021 23:00:11 GMT-0300 (Brasilia Standard Time)
O relator conseguiu piorar o texto do governo que já não era bom. Ainda bem que indiquei o Samuel Moreira para rela… https://t.co/AsaOEItoPg,35260027,,,35260027,RodrigoMaia,,,11,149,Mon Sep 20 2021 20:28:09 GMT-0300 (Brasilia Standard Time),Thu Sep 16 2021 15:11:42 GMT-0300 (Brasilia Standard Time)
"E quando o ministro fala em politização da Justiça, ele está denunciando o Supremo Tribunal Federal? Está querendo… https://t.co/x3kqgidbhk",35260027,,,35260027,RodrigoMaia,,,38,490,Mon Sep 20 2021 20:28:09 GMT-0300 (Brasilia Standard Time),Thu Sep 16 2021 13:26:35 GMT-0300 (Brasilia Standard Time)
"Desonesto. Guedes foi alertado do assunto pelo STF em novembro de 2018, antes mesmo da sua posse. No ministério, pr… https://t.co/J4s3chrJo7",35260027,,,35260027,RodrigoMaia,,,152,1283,Mon Sep 20 2021 20:28:09 GMT-0300 (Brasilia Standard Time),Thu Sep 16 2021 13:26:34 GMT-0300 (Brasilia Standard Time)
Precisa ficar claro que BOLSONARO está defendendo a volta da CPMF. https://t.co/kpMaTfqrAx,35260027,,,35260027,RodrigoMaia,,,72,614,Mon Sep 20 2021 20:28:09 GMT-0300 (Brasilia Standard Time),Wed Sep 15 2021 15:28:41 GMT-0300 (Brasilia Standard Time)
"Quando li a matéria do presidente do BC, achei, em um primeiro momento, que era uma declaração do presidente da Cai… https://t.co/IKFUWDuhCb",35260027,,,35260027,RodrigoMaia,,,30,350,Mon Sep 20 2021 20:28:09 GMT-0300 (Brasilia Standard Time),Tue Sep 14 2021 14:51:13 GMT-0300 (Brasilia Standard Time)
RT @EduardoLeite_: A esse cidadão que queriam que eu desse “boas vindas” na expointer? https://t.co/Nsu4jbZBnn,35260027,,,35260027,RodrigoMaia,,,1119,0,Mon Sep 20 2021 20:28:09 GMT-0300 (Brasilia Standard Time),Sat Sep 11 2021 22:20:46 GMT-0300 (Brasilia Standard Time)
Alguém tinha alguma dúvida que o Paulo Guedes iria transferir a responsabilidade de sua incompetência? https://t.co/axSx82cRP4,35260027,,,35260027,RodrigoMaia,,,286,3797,Mon Sep 20 2021 20:28:09 GMT-0300 (Brasilia Standard Time),Sat Sep 11 2021 09:54:13 GMT-0300 (Brasilia Standard Time)
"RT @JornalDaGlobo: .@renataloprete analisa a verdadeira intenção do presidente Jair Bolsonaro ao divulgar um texto intitulado ""Declaração à…",35260027,,,35260027,RodrigoMaia,,,1826,0,Mon Sep 20 2021 20:28:09 GMT-0300 (Brasilia Standard Time),Fri Sep 10 2021 10:41:53 GMT-0300 (Brasilia Standard Time)
"Minha defesa é que TODOS são iguais perante a lei, sem qualquer tipo de discriminação. Bem diferente de você, presi… https://t.co/tY81gj8LTL",35260027,,,35260027,RodrigoMaia,,,58,2694,Mon Sep 20 2021 20:28:09 GMT-0300 (Brasilia Standard Time),Thu Sep 09 2021 21:03:58 GMT-0300 (Brasilia Standard Time)
"Fique tranquilo, presidente, eu defendo os direitos humanos da comunidade LGBTI+ há muito tempo. Na Presidência da… https://t.co/PNXT6TqFEd",35260027,,,35260027,RodrigoMaia,,,59,2555,Mon Sep 20 2021 20:28:09 GMT-0300 (Brasilia Standard Time),Thu Sep 09 2021 21:03:57 GMT-0300 (Brasilia Standard Time)
Bolsonaro tem alguma fixação em mim. Não me esquece. Já recomendei ao presidente fazer terapia. Ele tem traumas mal… https://t.co/2TFKp8QZhr,35260027,,,35260027,RodrigoMaia,,,218,6095,Mon Sep 20 2021 20:28:09 GMT-0300 (Brasilia Standard Time),Thu Sep 09 2021 21:03:57 GMT-0300 (Brasilia Standard Time)
"O evento de terça foi um desastre pro Bolsonaro, e a nota agora uma humilhação.",35260027,,,35260027,RodrigoMaia,,,117,2139,Mon Sep 20 2021 20:28:09 GMT-0300 (Brasilia Standard Time),Thu Sep 09 2021 16:58:31 GMT-0300 (Brasilia Standard Time)
Frouxo e covarde. https://t.co/Rz3JcsezKm,35260027,,,35260027,RodrigoMaia,,,670,8329,Mon Sep 20 2021 20:28:09 GMT-0300 (Brasilia Standard Time),Thu Sep 09 2021 16:55:52 GMT-0300 (Brasilia Standard Time)
Manchete errada. Michel Temer não foi almoçar para discutir a crise. Ele almoçou com a própria crise. https://t.co/8q7Acw6cDN,35260027,,,35260027,RodrigoMaia,,,215,3138,Mon Sep 20 2021 20:28:09 GMT-0300 (Brasilia Standard Time),Thu Sep 09 2021 16:52:27 GMT-0300 (Brasilia Standard Time)
"Ouvi agora o áudio do Bolsonaro falando para os caminheiros. Pelo tom, parece bastante deprimido com o resultado de… https://t.co/QKPIodT4Bh",35260027,,,35260027,RodrigoMaia,,,655,13293,Mon Sep 20 2021 20:28:09 GMT-0300 (Brasilia Standard Time),Thu Sep 09 2021 09:01:48 GMT-0300 (Brasilia Standard Time)
"Bem lembrado. Quando terminou meu mandato à frente da Presidência da Câmara, o CDI de 10 anos estava a 7,20% a.a https://t.co/MAe4hPqvhI",35260027,,,35260027,RodrigoMaia,,,17,265,Mon Sep 20 2021 20:28:09 GMT-0300 (Brasilia Standard Time),Wed Sep 08 2021 16:16:52 GMT-0300 (Brasilia Standard Time)
