text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"RT @tvcultura: Fake news, política e economia farão parte do debate de hoje no #ManhattanConnection, com o deputado federal @RodrigoMaia, o…",35260027,,,35260027,RodrigoMaia,,,7,0,Thu Aug 19 2021 20:27:22 GMT-0300 (Brasilia Standard Time),Wed Aug 18 2021 21:02:58 GMT-0300 (Brasilia Standard Time)
Bolsonaro tranquilizando os investidores. É um estadista. https://t.co/zi8pbzEXmS,35260027,,,35260027,RodrigoMaia,,,300,2960,Thu Aug 19 2021 20:27:22 GMT-0300 (Brasilia Standard Time),Wed Aug 18 2021 20:25:55 GMT-0300 (Brasilia Standard Time)
Não é verdade. https://t.co/ZtXnfrga8k,35260027,,,35260027,RodrigoMaia,,,17,236,Thu Aug 19 2021 20:27:22 GMT-0300 (Brasilia Standard Time),Tue Aug 17 2021 22:08:19 GMT-0300 (Brasilia Standard Time)
Está na hora de arquivar este PL do Imposto de Renda. https://t.co/4jk5kfH02j,35260027,,,35260027,RodrigoMaia,,,23,473,Thu Aug 19 2021 20:27:22 GMT-0300 (Brasilia Standard Time),Tue Aug 17 2021 21:23:13 GMT-0300 (Brasilia Standard Time)
Esta matéria desmonta o discurso do relator. https://t.co/lzeiUbSQXx,35260027,,,35260027,RodrigoMaia,,,17,212,Thu Aug 19 2021 20:27:22 GMT-0300 (Brasilia Standard Time),Tue Aug 17 2021 21:11:46 GMT-0300 (Brasilia Standard Time)
Pelo jeito o relator não sabe o que está fazendo https://t.co/FpGXKRToYr,35260027,,,35260027,RodrigoMaia,,,9,223,Thu Aug 19 2021 20:27:22 GMT-0300 (Brasilia Standard Time),Tue Aug 17 2021 20:47:26 GMT-0300 (Brasilia Standard Time)
"Relator do IR falando no plenário há pouco, quanta besteira. Quem não paga imposto no Brasil são as empresas do Sim… https://t.co/NQmBHGTGFr",35260027,,,35260027,RodrigoMaia,,,51,1207,Thu Aug 19 2021 20:27:22 GMT-0300 (Brasilia Standard Time),Tue Aug 17 2021 20:22:20 GMT-0300 (Brasilia Standard Time)
A convite da @CNNBrasil estarei hoje no programa “O Grande Debate” para falar sobre o semipresidencialismo. Às 22h3… https://t.co/8EQyIe6LDr,35260027,,,35260027,RodrigoMaia,,,17,255,Thu Aug 19 2021 20:27:22 GMT-0300 (Brasilia Standard Time),Tue Aug 17 2021 19:38:12 GMT-0300 (Brasilia Standard Time)
Caminhando para o descontrole total das contas do governo federal. Um desastre. https://t.co/gYzDDFXNDq,35260027,,,35260027,RodrigoMaia,,,53,538,Thu Aug 19 2021 20:27:22 GMT-0300 (Brasilia Standard Time),Tue Aug 17 2021 17:08:49 GMT-0300 (Brasilia Standard Time)
Apresentei hoje uma emenda à PEC dos precatórios propondo a retomada da discussão da redução global de despesas. Es… https://t.co/AOUIsn5SUd,35260027,,,35260027,RodrigoMaia,,,4,114,Thu Aug 19 2021 20:27:22 GMT-0300 (Brasilia Standard Time),Tue Aug 17 2021 15:25:10 GMT-0300 (Brasilia Standard Time)
