text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"Para a #educação de #Côcos, entregamos 8 ônibus escolares para 8 prefeituras e autorizamos a construção da escola m… https://t.co/kgvVbDv0CJ",68466700,,,68466700,costa_rui,,,3,20,Thu Aug 19 2021 20:27:03 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 11:46:05 GMT-0300 (Brasilia Standard Time)
"Entregamos, em #Côcos, a pavimentação do entroncamento da BR-135, uma obra executada pelo Consórcio Intermunicipal… https://t.co/PwDDRgr7yj",68466700,,,68466700,costa_rui,,,3,17,Thu Aug 19 2021 20:27:03 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 11:46:04 GMT-0300 (Brasilia Standard Time)
"Eu digo sempre governar é cuidar de gente e fiquei muito satisfeito com a reforma do Hospital São Sebastião, em… https://t.co/UuZdpfhV9g",68466700,,,68466700,costa_rui,,,1,14,Thu Aug 19 2021 20:27:03 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 11:46:04 GMT-0300 (Brasilia Standard Time)
"Bom dia! Hoje finalizamos a nossa maratona no oeste da #Bahia, na cidade de #Côcos. Aqui entregamos a reforma do es… https://t.co/XS2UoJd6nL",68466700,,,68466700,costa_rui,,,3,75,Thu Aug 19 2021 20:27:03 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 11:46:03 GMT-0300 (Brasilia Standard Time)
Boa notícia: os casos de #coronavírus voltaram a cair na Bahia. A taxa de ocupação de leitos e o número de internad… https://t.co/x4PWBKkjgC,68466700,,,68466700,costa_rui,,,69,839,Thu Aug 19 2021 20:27:03 GMT-0300 (Brasilia Standard Time),Wed Aug 18 2021 19:37:54 GMT-0300 (Brasilia Standard Time)
"Na semana passada, convocamos 1.000 professores da Educação Básica e agora estamos chamando mais 443 aprovados no R… https://t.co/qdHmw6tXks",68466700,,,68466700,costa_rui,,,5,62,Thu Aug 19 2021 20:27:03 GMT-0300 (Brasilia Standard Time),Wed Aug 18 2021 19:22:02 GMT-0300 (Brasilia Standard Time)
"E tem mais para os nossos jovens, hein? São 3.614 vagas de estágio para a área da Educação, 1.903 vagas do Primeiro… https://t.co/e3rZ5ASGsM",68466700,,,68466700,costa_rui,,,6,50,Thu Aug 19 2021 20:27:03 GMT-0300 (Brasilia Standard Time),Wed Aug 18 2021 19:21:09 GMT-0300 (Brasilia Standard Time)
Vem aí novo edital do #PartiuEstágio! Amanhã abriremos mais 2.653 vagas para estudantes de 47 cursos do ensino supe… https://t.co/bA92mTZoof,68466700,,,68466700,costa_rui,,,7,82,Thu Aug 19 2021 20:27:03 GMT-0300 (Brasilia Standard Time),Wed Aug 18 2021 19:20:43 GMT-0300 (Brasilia Standard Time)
Amanhã o Estado da Bahia deve ingressar no STF com uma ação contra o Ministério da Saúde para que recebamos as 900… https://t.co/dzd6krEUad,68466700,,,68466700,costa_rui,,,359,2742,Thu Aug 19 2021 20:27:03 GMT-0300 (Brasilia Standard Time),Wed Aug 18 2021 19:01:29 GMT-0300 (Brasilia Standard Time)
"#PapoCorreria ao vivo, diretamente do Oeste! Vou contar tudo sobre a nossa maratona de entregas e anúncios na regiã… https://t.co/HuwwoTV8zD",68466700,,,68466700,costa_rui,,,4,32,Thu Aug 19 2021 20:27:03 GMT-0300 (Brasilia Standard Time),Wed Aug 18 2021 18:30:10 GMT-0300 (Brasilia Standard Time)
"RT @JornalOGlobo: ""Vacinar-se é um ato de amor"", diz Papa Francisco em vídeo. https://t.co/mgREscNR5L",68466700,,,68466700,costa_rui,,,639,0,Thu Aug 19 2021 20:27:03 GMT-0300 (Brasilia Standard Time),Wed Aug 18 2021 18:00:37 GMT-0300 (Brasilia Standard Time)
"#SantaRitadeCássia também vai ganhar uma nova unidade escolar, esta com 36 salas, além de auditório, biblioteca, gi… https://t.co/Mc7CAc5Kok",68466700,,,68466700,costa_rui,,,3,33,Thu Aug 19 2021 20:27:03 GMT-0300 (Brasilia Standard Time),Wed Aug 18 2021 17:12:07 GMT-0300 (Brasilia Standard Time)
"Também visitei o Aeródromo de #SantaRitaDeCássia, que vai passar melhorias, além do terreno onde será construída a… https://t.co/whPSiiNw2S",68466700,,,68466700,costa_rui,,,4,36,Thu Aug 19 2021 20:27:03 GMT-0300 (Brasilia Standard Time),Wed Aug 18 2021 17:12:07 GMT-0300 (Brasilia Standard Time)
"Você piscou e já vim a #SantaRitaDeCássia para continuar as entregas e anúncios na região oeste do estado. Aqui, au… https://t.co/itz8oKEJf0",68466700,,,68466700,costa_rui,,,6,70,Thu Aug 19 2021 20:27:03 GMT-0300 (Brasilia Standard Time),Wed Aug 18 2021 17:12:06 GMT-0300 (Brasilia Standard Time)
Estamos implantando o ensino de tempo integral em toda a #Bahia e não será diferente em #LuísEduardoMagalhães. Vamo… https://t.co/l3FUkVHgKm,68466700,,,68466700,costa_rui,,,14,93,Thu Aug 19 2021 20:27:03 GMT-0300 (Brasilia Standard Time),Wed Aug 18 2021 13:36:04 GMT-0300 (Brasilia Standard Time)
"E também seguiremos investindo na agricultura familiar do nosso estado, para que a população consuma alimentos dos… https://t.co/tp1F4nRZMs",68466700,,,68466700,costa_rui,,,4,27,Thu Aug 19 2021 20:27:03 GMT-0300 (Brasilia Standard Time),Wed Aug 18 2021 13:35:44 GMT-0300 (Brasilia Standard Time)
"Meu reuni na segunda com prefeitos e associações de agricultores da região oeste, destacamos a requalificação do An… https://t.co/avkFWsDXoY",68466700,,,68466700,costa_rui,,,11,66,Thu Aug 19 2021 20:27:03 GMT-0300 (Brasilia Standard Time),Wed Aug 18 2021 13:35:44 GMT-0300 (Brasilia Standard Time)
"Vim acompanhar de perto as obras do Hospital de #LuísEduardoMagalhães, que será concluído em breve. Junto com o Hos… https://t.co/8oozr6Ijtx",68466700,,,68466700,costa_rui,,,7,60,Thu Aug 19 2021 20:27:03 GMT-0300 (Brasilia Standard Time),Wed Aug 18 2021 12:51:36 GMT-0300 (Brasilia Standard Time)
Entregamos esta etapa e já vamos iniciar a segunda porque autorizei hoje um investimento de mais R$ 30 milhões para… https://t.co/0CeS4DxMbX,68466700,,,68466700,costa_rui,,,5,22,Thu Aug 19 2021 20:27:03 GMT-0300 (Brasilia Standard Time),Wed Aug 18 2021 12:51:18 GMT-0300 (Brasilia Standard Time)
"Bom dia! A maratona no oeste da #Bahia segue e hoje estamos em #LuisEduardoMagalhães, cidade que tem crescido muito… https://t.co/btJmisVtgi",68466700,,,68466700,costa_rui,,,11,91,Thu Aug 19 2021 20:27:03 GMT-0300 (Brasilia Standard Time),Wed Aug 18 2021 12:51:18 GMT-0300 (Brasilia Standard Time)
"Logo mais, hoje à noite, tem #PapoCorreria diretamente de #Barreiras! Vou contar tudo sobre essa semana aqui no oes… https://t.co/YxjQGHqYKV",68466700,,,68466700,costa_rui,,,8,81,Thu Aug 19 2021 20:27:03 GMT-0300 (Brasilia Standard Time),Wed Aug 18 2021 09:16:33 GMT-0300 (Brasilia Standard Time)
"Entrevista para Mario Kertesz, na Rádio Metrópole, direto do Oeste da Bahia. https://t.co/UH28RheRb2",68466700,,,68466700,costa_rui,,,7,39,Thu Aug 19 2021 20:27:03 GMT-0300 (Brasilia Standard Time),Wed Aug 18 2021 07:58:17 GMT-0300 (Brasilia Standard Time)
"Bom dia! Logo mais, às 8h, estarei ao vivo em entrevista a @marioksz na rádio @metropole! Acompanhe!",68466700,,,68466700,costa_rui,,,7,109,Thu Aug 19 2021 20:27:03 GMT-0300 (Brasilia Standard Time),Wed Aug 18 2021 07:55:34 GMT-0300 (Brasilia Standard Time)
"Vamos recuperar o ginásio e construir a nova escola estadual de #Cotegipe, com um complexo poliesportivo cultural.… https://t.co/ZkQplMqgkb",68466700,,,68466700,costa_rui,,,3,25,Thu Aug 19 2021 20:27:03 GMT-0300 (Brasilia Standard Time),Tue Aug 17 2021 15:29:51 GMT-0300 (Brasilia Standard Time)
"Eu, que acredito na educação, não posso deixar obras de escolas e creches, com repasses do Governo Federal, paradas… https://t.co/uxo3BBXcuk",68466700,,,68466700,costa_rui,,,3,35,Thu Aug 19 2021 20:27:03 GMT-0300 (Brasilia Standard Time),Tue Aug 17 2021 15:29:51 GMT-0300 (Brasilia Standard Time)
"Dentro do programa #ÁguaParaTodos, entregamos Sistemas Simplificados de Abastecimento de Água do assentamento Rio G… https://t.co/WjC3TeY99d",68466700,,,68466700,costa_rui,,,0,14,Thu Aug 19 2021 20:27:03 GMT-0300 (Brasilia Standard Time),Tue Aug 17 2021 15:29:50 GMT-0300 (Brasilia Standard Time)
"Saí de #Wanderley e vim para #Cotegipe, onde entregamos 2 pontes: uma no bairro São José e outra na comunidade de B… https://t.co/jiKkgoXgma",68466700,,,68466700,costa_rui,,,13,114,Thu Aug 19 2021 20:27:03 GMT-0300 (Brasilia Standard Time),Tue Aug 17 2021 15:29:50 GMT-0300 (Brasilia Standard Time)
"A escola estadual de #Wanderley também será requalificada. Autorizei a construção do novo colégio, junto com o comp… https://t.co/5TSPWMAiee",68466700,,,68466700,costa_rui,,,6,20,Thu Aug 19 2021 20:27:03 GMT-0300 (Brasilia Standard Time),Tue Aug 17 2021 12:50:46 GMT-0300 (Brasilia Standard Time)
