text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
- Live da Semana / PR Jair Bolsonaro | 19/08/2021. https://t.co/jgfxg9Z0Zj,128372940,,,128372940,jairbolsonaro,,,1310,4872,Thu Aug 19 2021 20:27:21 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:00:54 GMT-0300 (Brasilia Standard Time)
- Em Cuiabá /MT (19/08/2021) para entrega de equipamentos agrícolas para comunidades indígenas. https://t.co/NGEWRYPPIZ,128372940,,,128372940,jairbolsonaro,,,4874,20171,Thu Aug 19 2021 20:27:21 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 11:25:50 GMT-0300 (Brasilia Standard Time)
"- Peço, humildemente, que assista e repasse.
- ""Nada temeis, nem mesmo a morte, a não ser a morte eterna.""
- Bom di… https://t.co/CKe0WDdZNJ",128372940,,,128372940,jairbolsonaro,,,10527,34440,Thu Aug 19 2021 20:27:21 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 09:35:17 GMT-0300 (Brasilia Standard Time)
"- Manaus, 18/agosto/2021.
- Estarei, como sempre, onde o povo estiver.
. Obtenha mais informações diárias em nosso… https://t.co/PrqDgqLqai",128372940,,,128372940,jairbolsonaro,,,4798,21242,Thu Aug 19 2021 20:27:21 GMT-0300 (Brasilia Standard Time),Wed Aug 18 2021 16:29:43 GMT-0300 (Brasilia Standard Time)
- Em Manaus/AM para entrega de residências Casa Verde e Amarela. https://t.co/hF0dnrgCy4,128372940,,,128372940,jairbolsonaro,,,6345,30186,Thu Aug 19 2021 20:27:21 GMT-0300 (Brasilia Standard Time),Wed Aug 18 2021 13:15:42 GMT-0300 (Brasilia Standard Time)
"- A diferença entre o Presidente Bolsonaro e muitos governadores por ocasião da pandemia.

- Vereador… https://t.co/37tgutSAIu",128372940,,,128372940,jairbolsonaro,,,7537,29952,Thu Aug 19 2021 20:27:21 GMT-0300 (Brasilia Standard Time),Wed Aug 18 2021 08:52:12 GMT-0300 (Brasilia Standard Time)
"- Medida Provisória que beneficia o pequeno produtor na compra direta do milho (venda em balcão).

- Os pequenos cr… https://t.co/tzbh13nejT",128372940,,,128372940,jairbolsonaro,,,5660,26485,Thu Aug 19 2021 20:27:21 GMT-0300 (Brasilia Standard Time),Tue Aug 17 2021 19:55:35 GMT-0300 (Brasilia Standard Time)
- Mais ações exclusivas e atualizadas todos os dias em nosso canal do Telegram. Inscreva-se: https://t.co/O8KTejUGuL https://t.co/aQXeCSLUME,128372940,,,128372940,jairbolsonaro,,,1425,6846,Thu Aug 19 2021 20:27:21 GMT-0300 (Brasilia Standard Time),Tue Aug 17 2021 12:09:08 GMT-0300 (Brasilia Standard Time)
- Entrevista: Rádio Capital Notícia- Cuiabá/MT. (17/08/2021). https://t.co/KxZykn7qMr,128372940,,,128372940,jairbolsonaro,,,2967,13931,Thu Aug 19 2021 20:27:21 GMT-0300 (Brasilia Standard Time),Tue Aug 17 2021 08:34:32 GMT-0300 (Brasilia Standard Time)
"- A partir dos 45"" meu pronunciamento no Campo de Instrução de Formosa/GO. https://t.co/Ej0sIQPm7b",128372940,,,128372940,jairbolsonaro,,,5347,27795,Thu Aug 19 2021 20:27:21 GMT-0300 (Brasilia Standard Time),Tue Aug 17 2021 08:27:29 GMT-0300 (Brasilia Standard Time)
"- O bombeamento completo do trecho 1 no Eixo Norte do Projeto São Francisco foi retomado.
⁣
- A estação EBI-1 retom… https://t.co/16fuzeNjAW",128372940,,,128372940,jairbolsonaro,,,5758,26614,Thu Aug 19 2021 20:27:21 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 12:20:44 GMT-0300 (Brasilia Standard Time)
- Nossos irmãos indígenas de hoje. https://t.co/OhJ0oPTUiE,128372940,,,128372940,jairbolsonaro,,,5986,32432,Thu Aug 19 2021 20:27:21 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 07:41:20 GMT-0300 (Brasilia Standard Time)
. Wi-Fi Brasil: programa conecta os rincões do território nacional e locais mais necessitados à informação e desenv… https://t.co/0xVOYIjYXo,128372940,,,128372940,jairbolsonaro,,,5151,25526,Thu Aug 19 2021 20:27:21 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 09:12:05 GMT-0300 (Brasilia Standard Time)
