text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
Acabou de publicar uma foto em Brazil https://t.co/zf4D0cjES9,96775581,Brasil,"São Félix do Araguaia, Brasil",96775581,GladsonCameli,,,0,2,Mon Sep 20 2021 20:08:20 GMT-0300 (Brasilia Standard Time),Thu Sep 09 2021 19:52:03 GMT-0300 (Brasilia Standard Time)
https://t.co/4zuvR63QtK,96775581,,,96775581,GladsonCameli,,,0,2,Mon Sep 20 2021 20:08:20 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 13:24:09 GMT-0300 (Brasilia Standard Time)
https://t.co/HXizdTuOe7,96775581,,,96775581,GladsonCameli,,,0,2,Mon Sep 20 2021 20:08:20 GMT-0300 (Brasilia Standard Time),Fri Aug 20 2021 18:34:05 GMT-0300 (Brasilia Standard Time)
https://t.co/FAfzOpIRtj,96775581,,,96775581,GladsonCameli,,,0,1,Mon Sep 20 2021 20:08:20 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 18:57:39 GMT-0300 (Brasilia Standard Time)
"@jorgeviana Provérbio 11:2 “Em vindo arrogância, chega logo também a desonra, mas com os humildes está a sabedoria”… https://t.co/t6a2sQrLpw",96775581,,,96775581,GladsonCameli,,,2,8,Mon Sep 20 2021 20:08:20 GMT-0300 (Brasilia Standard Time),Wed Aug 18 2021 10:43:02 GMT-0300 (Brasilia Standard Time)
https://t.co/eaH5OuPhdE,96775581,,,96775581,GladsonCameli,,,0,2,Mon Sep 20 2021 20:08:20 GMT-0300 (Brasilia Standard Time),Sat Aug 14 2021 03:27:34 GMT-0300 (Brasilia Standard Time)
RT @DPUnacional: O espaço foi reformado e agora traz mais conforto e acessibilidade para assistidos e colaboradores. Participaram da reinau…,96775581,,,96775581,GladsonCameli,,,4,0,Mon Sep 20 2021 20:08:20 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 13:08:11 GMT-0300 (Brasilia Standard Time)
Acabou de publicar um vídeo em Em Rio Branco - Ac https://t.co/RQ8Ols6pVh,96775581,Brasil,"Rio Branco, Brasil",96775581,GladsonCameli,,,0,2,Mon Sep 20 2021 20:08:20 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 15:25:13 GMT-0300 (Brasilia Standard Time)
Acabou de publicar um vídeo https://t.co/7k2woMCP40,96775581,,,96775581,GladsonCameli,,,0,4,Mon Sep 20 2021 20:08:20 GMT-0300 (Brasilia Standard Time),Mon Aug 02 2021 19:02:59 GMT-0300 (Brasilia Standard Time)
"Hj com ele, amanhã e sempre ❤️🇬🇫👌😍@ana Paula em Em Rio Branco - Ac https://t.co/5UWcA6IHT0",96775581,Brasil,"Rio Branco, Brasil",96775581,GladsonCameli,,,0,4,Mon Sep 20 2021 20:08:20 GMT-0300 (Brasilia Standard Time),Sat Jul 24 2021 20:25:46 GMT-0300 (Brasilia Standard Time)
Acabou de publicar um vídeo em Sena Madureira https://t.co/Qgt6QElo5v,96775581,Brasil,"Sena Madureira, Brasil",96775581,GladsonCameli,,,0,7,Mon Sep 20 2021 20:08:20 GMT-0300 (Brasilia Standard Time),Thu Jul 22 2021 00:51:11 GMT-0300 (Brasilia Standard Time)
Acabou de publicar uma foto em Brasiléia https://t.co/JLUsgt7zUd,96775581,Brasil,"Brasiléia, Brasil",96775581,GladsonCameli,,,1,4,Mon Sep 20 2021 20:08:20 GMT-0300 (Brasilia Standard Time),Sun Jul 04 2021 05:14:47 GMT-0300 (Brasilia Standard Time)
https://t.co/RxoO5uwRki,96775581,,,96775581,GladsonCameli,,,0,3,Mon Sep 20 2021 20:08:20 GMT-0300 (Brasilia Standard Time),Sat Jun 26 2021 20:26:58 GMT-0300 (Brasilia Standard Time)
Boa noite! em Em Rio Branco - Ac https://t.co/exPnqcf7MQ,96775581,Brasil,"Rio Branco, Brasil",96775581,GladsonCameli,,,0,5,Mon Sep 20 2021 20:08:20 GMT-0300 (Brasilia Standard Time),Sun Jun 20 2021 23:52:26 GMT-0300 (Brasilia Standard Time)
"Vamos  que vamos👌@parrillaburguer em Rio Branco, Acre https://t.co/iPScNIyCQ8",96775581,Brasil,"Rio Branco, Brasil",96775581,GladsonCameli,,,0,6,Mon Sep 20 2021 20:08:20 GMT-0300 (Brasilia Standard Time),Sat Jun 12 2021 22:50:09 GMT-0300 (Brasilia Standard Time)
Acabou de publicar um vídeo https://t.co/FbGh8XnLSQ,96775581,,,96775581,GladsonCameli,,,0,2,Mon Sep 20 2021 20:08:20 GMT-0300 (Brasilia Standard Time),Thu Jun 10 2021 04:39:28 GMT-0300 (Brasilia Standard Time)
"RT @MailzaGomes: CONQUISTA ACREANA! 
Amigos, o Acre foi reconhecido internacionalmente como área livre de febre aftosa sem vacinação! Parab…",96775581,,,96775581,GladsonCameli,,,5,0,Mon Sep 20 2021 20:08:20 GMT-0300 (Brasilia Standard Time),Sat May 29 2021 03:32:20 GMT-0300 (Brasilia Standard Time)
"Acabou de publicar uma foto em São Paulo, Brazil https://t.co/KmmLqF84sW",96775581,Brasil,"São Paulo, Brasil",96775581,GladsonCameli,,,0,3,Mon Sep 20 2021 20:08:20 GMT-0300 (Brasilia Standard Time),Mon May 24 2021 09:28:26 GMT-0300 (Brasilia Standard Time)
bom día! Um maravilloso domingo para todos.,96775581,,,96775581,GladsonCameli,,,0,24,Mon Sep 20 2021 20:08:20 GMT-0300 (Brasilia Standard Time),Sun May 23 2021 14:16:37 GMT-0300 (Brasilia Standard Time)
https://t.co/DhbeAmWwJs,96775581,,,96775581,GladsonCameli,,,0,1,Mon Sep 20 2021 20:08:20 GMT-0300 (Brasilia Standard Time),Sun Apr 25 2021 15:24:10 GMT-0300 (Brasilia Standard Time)
"RT @jairbolsonaro: - Ultrapassamos a marca de 50 MILHÕES de vacinas contra o covid disponibilizadas. No total, nosso governo já distribuiu…",96775581,,,96775581,GladsonCameli,,,6985,0,Mon Sep 20 2021 20:08:20 GMT-0300 (Brasilia Standard Time),Sat Apr 17 2021 20:17:48 GMT-0300 (Brasilia Standard Time)
Trago uma notícia de esperança https://t.co/pepOFDAAC9,96775581,,,96775581,GladsonCameli,,,35,202,Mon Sep 20 2021 20:08:20 GMT-0300 (Brasilia Standard Time),Sat Mar 20 2021 21:39:19 GMT-0300 (Brasilia Standard Time)
"Na saída do Into, em Rio Branco, a tristeza de acompanhar o embarque em ambulância de pacientes com covid sendo tra… https://t.co/T6yudhGFrI",96775581,,,96775581,GladsonCameli,,,14,69,Mon Sep 20 2021 20:08:20 GMT-0300 (Brasilia Standard Time),Fri Mar 19 2021 23:04:02 GMT-0300 (Brasilia Standard Time)
"O Estado do Acre não está medindo esforços para vencermos a pandemia. Eu não tenho dúvidas, porque tenho Deus no co… https://t.co/XWYD6HrFmT",96775581,,,96775581,GladsonCameli,,,3,42,Mon Sep 20 2021 20:08:20 GMT-0300 (Brasilia Standard Time),Fri Mar 19 2021 22:07:53 GMT-0300 (Brasilia Standard Time)
"Continuo na luta. Não só eu, mas o Brasil, as pessoas de bem, as pessoas com humanidade. Nós estamos unidos para co… https://t.co/2iqVNmlEE4",96775581,,,96775581,GladsonCameli,,,0,33,Mon Sep 20 2021 20:08:20 GMT-0300 (Brasilia Standard Time),Fri Mar 19 2021 22:07:18 GMT-0300 (Brasilia Standard Time)
"Outra boa notícia: a doação, para o Acre, de 20 mil m3 de oxigênio pela SOS Amazônia, junto à multinacional Air Pro… https://t.co/SpXslyPyl7",96775581,,,96775581,GladsonCameli,,,2,42,Mon Sep 20 2021 20:08:20 GMT-0300 (Brasilia Standard Time),Fri Mar 19 2021 22:05:51 GMT-0300 (Brasilia Standard Time)
"Fechamos acordo para aquisição de 700 mil doses da vacina russa Sputnik V, por meio da inclusão do Acre no Consórci… https://t.co/uU3XFRitCW",96775581,,,96775581,GladsonCameli,,,89,429,Mon Sep 20 2021 20:08:20 GMT-0300 (Brasilia Standard Time),Fri Mar 19 2021 22:02:19 GMT-0300 (Brasilia Standard Time)
Estou em campanha pelo uso de máscara contra a covid https://t.co/3Q5owjPCs3,96775581,,,96775581,GladsonCameli,,,53,684,Mon Sep 20 2021 20:08:20 GMT-0300 (Brasilia Standard Time),Thu Mar 11 2021 21:34:38 GMT-0300 (Brasilia Standard Time)
"RT @GladsonCameli: Estamos trabalhando com união para melhorar a vida de todos no Acre. Para ajudar os municípios em dificuldades, faremos…",96775581,,,96775581,GladsonCameli,,,5,0,Mon Sep 20 2021 20:08:20 GMT-0300 (Brasilia Standard Time),Thu Mar 11 2021 12:37:55 GMT-0300 (Brasilia Standard Time)
