text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
Aprovamos a contratação de 1.034 Agentes de Segurança Penitenciária remanescentes de concurso público vigente. Refo… https://t.co/cB3kOhGLVP,64706049,,,64706049,jdoriajr,,,29,521,Thu Aug 19 2021 20:27:19 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 16:57:11 GMT-0300 (Brasilia Standard Time)
"#TBT Diretas Já 1984

Brasil viveu duas décadas sob a ditadura do regime militar. Relembro de cada passo dessa luta… https://t.co/K1su6Ppo9m",64706049,,,64706049,jdoriajr,,,40,504,Thu Aug 19 2021 20:27:19 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 16:39:14 GMT-0300 (Brasilia Standard Time)
"@FeCastanhari 👏🏻👏🏻👏🏻 
💉💉
🐊
👖",64706049,,,64706049,jdoriajr,,,7,976,Thu Aug 19 2021 20:27:19 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 16:19:39 GMT-0300 (Brasilia Standard Time)
"Devido a pandemia, muitos jovens precisaram optar entre escola ou trabalho para ajudar no sustento familiar. Uma tr… https://t.co/Git0xQn8me",64706049,,,64706049,jdoriajr,,,34,767,Thu Aug 19 2021 20:27:19 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 12:27:32 GMT-0300 (Brasilia Standard Time)
"Lugar de jovens é na escola 👩‍🏫🧑‍🏫

Lançamos programa inédito no Brasil para evitar a evasão escolar. Estudantes da… https://t.co/PU8rewy9Mi",64706049,,,64706049,jdoriajr,,,119,2245,Thu Aug 19 2021 20:27:19 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 12:27:31 GMT-0300 (Brasilia Standard Time)
"Emocionante ouvir depoimentos como o da Regiane de Paula, coordenadora do Plano Estadual de Imunização em SP. Defen… https://t.co/FCSXtPxetq",64706049,,,64706049,jdoriajr,,,82,1262,Thu Aug 19 2021 20:27:19 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 08:41:00 GMT-0300 (Brasilia Standard Time)
Mais 4 mil litros de insumos acabam de desembarcar no Aeroporto Internacional de Guarulhos. A quantidade é suficien… https://t.co/22b0aZDnRu,64706049,,,64706049,jdoriajr,,,189,5934,Thu Aug 19 2021 20:27:19 GMT-0300 (Brasilia Standard Time),Wed Aug 18 2021 22:24:44 GMT-0300 (Brasilia Standard Time)
"Iniciamos hoje a vacinação dos adolescentes de 16 e 17 anos com deficiência e comorbidades, além das gestantes e pu… https://t.co/QdUXD3Izqh",64706049,,,64706049,jdoriajr,,,48,868,Thu Aug 19 2021 20:27:19 GMT-0300 (Brasilia Standard Time),Wed Aug 18 2021 19:18:47 GMT-0300 (Brasilia Standard Time)
"@CesarColnago Querido César. Muito obrigado pelo apoio e, acima de tudo, pelas palavras. Estamos juntos nessa caminhada 👊🏻🇧🇷",64706049,,,64706049,jdoriajr,,,7,164,Thu Aug 19 2021 20:27:19 GMT-0300 (Brasilia Standard Time),Wed Aug 18 2021 17:31:38 GMT-0300 (Brasilia Standard Time)
"Anunciamos hoje a abertura de 30 mil vagas do Programa Bolsa Trabalho. 

É mais uma iniciativa do GovSP p/ oferecer… https://t.co/HyJ1zaur3i",64706049,,,64706049,jdoriajr,,,42,504,Thu Aug 19 2021 20:27:19 GMT-0300 (Brasilia Standard Time),Wed Aug 18 2021 17:12:34 GMT-0300 (Brasilia Standard Time)
"Ministério da Saúde, bora consertar o erro e enviar as doses de SP. 😉 https://t.co/y4P2DKq4jp",64706049,,,64706049,jdoriajr,,,255,4174,Thu Aug 19 2021 20:27:19 GMT-0300 (Brasilia Standard Time),Wed Aug 18 2021 14:18:19 GMT-0300 (Brasilia Standard Time)
RT @governosp: https://t.co/VboDynwftR,64706049,,,64706049,jdoriajr,,,13,0,Thu Aug 19 2021 20:27:19 GMT-0300 (Brasilia Standard Time),Wed Aug 18 2021 12:47:10 GMT-0300 (Brasilia Standard Time)
"Daqui a pouco, a partir das 12H45, acompanhe nossa coletiva de imprensa com transmissão ao vivo diretamente do Palá… https://t.co/PCVX5xrb9u",64706049,,,64706049,jdoriajr,,,25,444,Thu Aug 19 2021 20:27:19 GMT-0300 (Brasilia Standard Time),Wed Aug 18 2021 11:08:52 GMT-0300 (Brasilia Standard Time)
"Liberamos nesta manhã mais 2 milhões de doses da vacina do Butantan para o Ministério da Saúde. Desde janeiro, já e… https://t.co/FlmynTEQlA",64706049,,,64706049,jdoriajr,,,131,3313,Thu Aug 19 2021 20:27:19 GMT-0300 (Brasilia Standard Time),Wed Aug 18 2021 08:46:29 GMT-0300 (Brasilia Standard Time)
"Logo mais, às 20H30, participarei do @Podcast011 da @KondZilla Records, apresentado pelos MC's Jottape, M10 e DJ Bu… https://t.co/Tkk8Xj3twe",64706049,,,64706049,jdoriajr,,,25,416,Thu Aug 19 2021 20:27:19 GMT-0300 (Brasilia Standard Time),Tue Aug 17 2021 19:37:44 GMT-0300 (Brasilia Standard Time)
