text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"Quinta-feira (23) 

👉 Vamos iniciar a antecipação da segunda dose da Pfizer de quem está marcado até o dia 27/10.… https://t.co/1mx1OzEHaD",1025379394574008320,,,1025379394574008300,IbaneisOficial,,,5,60,Mon Sep 20 2021 20:27:45 GMT-0300 (Brasilia Standard Time),Mon Sep 20 2021 15:16:06 GMT-0300 (Brasilia Standard Time)
"Quarta-feira (22) 

👉 Início da dose de reforço dos idosos acima de 85 anos. 

👉 Abertura do agendamento para a dos… https://t.co/IvvN7CTzTf",1025379394574008320,,,1025379394574008300,IbaneisOficial,,,1,25,Mon Sep 20 2021 20:27:45 GMT-0300 (Brasilia Standard Time),Mon Sep 20 2021 15:16:05 GMT-0300 (Brasilia Standard Time)
"📌 Lembretes! Minha gente, alguns recados importantes sobre a vacinação contra a covid-19 desta semana 



Terça-fei… https://t.co/CJYcgug7A1",1025379394574008320,,,1025379394574008300,IbaneisOficial,,,6,34,Mon Sep 20 2021 20:27:45 GMT-0300 (Brasilia Standard Time),Mon Sep 20 2021 15:16:05 GMT-0300 (Brasilia Standard Time)
"Nossa economia tem reagido bem, graças aos esforços do governo e do setor produtivo. A prova disso é que o DF apres… https://t.co/RbthVSSWwX",1025379394574008320,,,1025379394574008300,IbaneisOficial,,,2,24,Mon Sep 20 2021 20:27:45 GMT-0300 (Brasilia Standard Time),Mon Sep 20 2021 11:02:31 GMT-0300 (Brasilia Standard Time)
@CPreparado @cldfnoticias Foi aprovado na CLDF o projeto de minha autoria para reduzir o ICMS do combustível. No en… https://t.co/eSF12WNMMF,1025379394574008320,,,1025379394574008300,IbaneisOficial,,,0,6,Mon Sep 20 2021 20:27:45 GMT-0300 (Brasilia Standard Time),Sun Sep 19 2021 21:47:48 GMT-0300 (Brasilia Standard Time)
@TPinheiro05 @cldfnoticias Obrigado pelo apoio! O trabalho não pode parar!,1025379394574008320,,,1025379394574008300,IbaneisOficial,,,0,4,Mon Sep 20 2021 20:27:45 GMT-0300 (Brasilia Standard Time),Sun Sep 19 2021 21:47:37 GMT-0300 (Brasilia Standard Time)
"Meu compromisso é reduzir, com responsabilidade fiscal, os impostos que foram aumentados no governo passado. Já red… https://t.co/mg83baWXVF",1025379394574008320,,,1025379394574008300,IbaneisOficial,,,2,28,Mon Sep 20 2021 20:27:45 GMT-0300 (Brasilia Standard Time),Sun Sep 19 2021 20:50:01 GMT-0300 (Brasilia Standard Time)
Com essa medida estamos abrindo mão de R$ 106 milhões por ano em arrecadação. Essa já é a 3ª vez que reduzimos o IC… https://t.co/pAaoZ3EJew,1025379394574008320,,,1025379394574008300,IbaneisOficial,,,2,28,Mon Sep 20 2021 20:27:45 GMT-0300 (Brasilia Standard Time),Sun Sep 19 2021 20:50:00 GMT-0300 (Brasilia Standard Time)
Boa noite! Quero terminar esse domingo dizendo que vamos baixar o ICMS de mais 14 produtos da cesta básica. Vou enc… https://t.co/25s5ReIMuu,1025379394574008320,,,1025379394574008300,IbaneisOficial,,,5,92,Mon Sep 20 2021 20:27:45 GMT-0300 (Brasilia Standard Time),Sun Sep 19 2021 20:50:00 GMT-0300 (Brasilia Standard Time)
"@Valdete34295521 Foi aprovado na CLDF o projeto de minha autoria para reduzir o ICMS do combustível. No entanto, po… https://t.co/bNaAdpcAI8",1025379394574008320,,,1025379394574008300,IbaneisOficial,,,0,5,Mon Sep 20 2021 20:27:45 GMT-0300 (Brasilia Standard Time),Sat Sep 18 2021 16:29:07 GMT-0300 (Brasilia Standard Time)
