text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
Já finalizamos os projetos e estou fechando conversas com a Caixa Econômica Federal para iniciar a reforma do Teatr… https://t.co/0LQn7f6Mg7,1025379394574008320,,,1025379394574008300,IbaneisOficial,,,0,2,Thu Aug 19 2021 20:27:04 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:54:15 GMT-0300 (Brasilia Standard Time)
"Serão R$ 4 milhões para pontos importantes como a Casa do Cantador (Ceilândia), o Complexo Cultural de Samambaia, a… https://t.co/qtvmrSyYAw",1025379394574008320,,,1025379394574008300,IbaneisOficial,,,0,0,Thu Aug 19 2021 20:27:04 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:54:15 GMT-0300 (Brasilia Standard Time)
Somente no primeiro semestre de 2021 aplicamos R$ 2 milhões para reformar equipamentos da Cultura. Para o segundo s… https://t.co/8VRAKK37WY,1025379394574008320,,,1025379394574008300,IbaneisOficial,,,0,0,Thu Aug 19 2021 20:27:04 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:54:14 GMT-0300 (Brasilia Standard Time)
"Além da reabertura do Museu de Arte de Brasília, após 14 anos de abandono, 10 equipamentos públicos já receberam manutenção e reformas.",1025379394574008320,,,1025379394574008300,IbaneisOficial,,,0,1,Thu Aug 19 2021 20:27:04 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:54:14 GMT-0300 (Brasilia Standard Time)
"Nossa gestão tem se preocupado muito em recuperar os muitos espaços públicos, que estavam abandonados, inclusive os… https://t.co/NffTOTpgEm",1025379394574008320,,,1025379394574008300,IbaneisOficial,,,0,1,Thu Aug 19 2021 20:27:04 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:54:13 GMT-0300 (Brasilia Standard Time)
"Reabrimos a Concha Acústica, que foi o primeiro palco de shows de Brasília. A reabertura vem com grande expectativa… https://t.co/WhJLDO3g3v",1025379394574008320,,,1025379394574008300,IbaneisOficial,,,0,9,Thu Aug 19 2021 20:27:04 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:54:13 GMT-0300 (Brasilia Standard Time)
Para saber mais sobre a programação acesse: https://t.co/HyuoyRbEO0,1025379394574008320,,,1025379394574008300,IbaneisOficial,,,1,7,Thu Aug 19 2021 20:27:04 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 18:12:19 GMT-0300 (Brasilia Standard Time)
"Um pouco de cultura e música fazem bem a qualquer um. Por isso, hoje, por volta das 18h30, estarei prestigiando a r… https://t.co/VP49IAXtrW",1025379394574008320,,,1025379394574008300,IbaneisOficial,,,2,34,Thu Aug 19 2021 20:27:04 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 18:12:18 GMT-0300 (Brasilia Standard Time)
✅ Na ocasião anuncio mais uma grande novidade: em 2022 vamos reformar a W3 Norte nos moldes da W3 Sul.,1025379394574008320,,,1025379394574008300,IbaneisOficial,,,1,16,Thu Aug 19 2021 20:27:04 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 13:32:28 GMT-0300 (Brasilia Standard Time)
"Além de recuperar o patrimônio da cidade, já que o setor nunca tinha passado em toda a sua história por uma reforma… https://t.co/RqXmGclQpF",1025379394574008320,,,1025379394574008300,IbaneisOficial,,,0,11,Thu Aug 19 2021 20:27:04 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 13:32:28 GMT-0300 (Brasilia Standard Time)
Essas intervenções impactam positivamente a vida de 40 mil pessoas que circulam pelo local diariamente. https://t.co/QFrZrrqFLP,1025379394574008320,,,1025379394574008300,IbaneisOficial,,,0,5,Thu Aug 19 2021 20:27:04 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 13:32:27 GMT-0300 (Brasilia Standard Time)
"Com investimento de cerca de R$ 4,5 milhões e mais de 300 empregos gerados só para essa obra, veja como ficou o nov… https://t.co/eAQMcIQbKa",1025379394574008320,,,1025379394574008300,IbaneisOficial,,,0,5,Thu Aug 19 2021 20:27:04 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 13:32:26 GMT-0300 (Brasilia Standard Time)
"Uma obra que impacta positivamente a vida de 40 mil pessoas que circulam pelo local diariamente, com investimento d… https://t.co/9JfaSBfnR1",1025379394574008320,,,1025379394574008300,IbaneisOficial,,,0,5,Thu Aug 19 2021 20:27:04 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 13:32:24 GMT-0300 (Brasilia Standard Time)
"Foi uma longa espera de 62 anos. Mas, em setembro de 2020, iniciamos a obra que concluímos agora.",1025379394574008320,,,1025379394574008300,IbaneisOficial,,,0,4,Thu Aug 19 2021 20:27:04 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 13:32:21 GMT-0300 (Brasilia Standard Time)
"Segui a agenda para o Setor de Rádio e TV Sul, local em que trabalhei por muitos anos e enfrentava diariamente a de… https://t.co/QLlDHHPmoe",1025379394574008320,,,1025379394574008300,IbaneisOficial,,,0,22,Thu Aug 19 2021 20:27:04 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 13:32:21 GMT-0300 (Brasilia Standard Time)
Passei muitos anos da minha vida advogando para servidores públicos e conheço as necessidades. Tenham convicção de… https://t.co/pVeXrJd9AN,1025379394574008320,,,1025379394574008300,IbaneisOficial,,,0,12,Thu Aug 19 2021 20:27:04 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 11:24:24 GMT-0300 (Brasilia Standard Time)
"Essa missão tão importante de cuidar de quem mais precisa é dever do Estado, por isso não meço esforços para execut… https://t.co/3u0NGcqcIB",1025379394574008320,,,1025379394574008300,IbaneisOficial,,,0,8,Thu Aug 19 2021 20:27:04 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 11:24:24 GMT-0300 (Brasilia Standard Time)
"Por isso vamos trabalhar para nomear todos os concursados até o final do ano, porque os efeitos da pandemia ainda s… https://t.co/fp2mK4AMIn",1025379394574008320,,,1025379394574008300,IbaneisOficial,,,0,10,Thu Aug 19 2021 20:27:04 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 11:24:23 GMT-0300 (Brasilia Standard Time)
Criamos o Cartão Prato Cheio em plena pandemia e assistimos hoje 40 mil pessoas no DF. Lançamos o Cartão Gás e já t… https://t.co/1stPSg3Y23,1025379394574008320,,,1025379394574008300,IbaneisOficial,,,0,5,Thu Aug 19 2021 20:27:04 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 11:24:23 GMT-0300 (Brasilia Standard Time)
