text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"Amanhã, 8h30. Não perca! 🔊 https://t.co/pAQhihzw5T",2670726740,,,2670726740,LulaOficial,,,301,1490,Mon Sep 20 2021 20:30:16 GMT-0300 (Brasilia Standard Time),Mon Sep 20 2021 13:56:07 GMT-0300 (Brasilia Standard Time)
"Por isso, queremos ouvir e trocar experiências com quem atua, pesquisa ou trabalha contra as redes de desinformação… https://t.co/v0NEZ5jQ8D",2670726740,,,2670726740,LulaOficial,,,148,633,Mon Sep 20 2021 20:30:16 GMT-0300 (Brasilia Standard Time),Mon Sep 20 2021 12:47:54 GMT-0300 (Brasilia Standard Time)
É fundamental compreender e expor os mecanismos de produção e difusão de desinformação e fake news para que as rede… https://t.co/HVrITKbL79,2670726740,,,2670726740,LulaOficial,,,477,2187,Mon Sep 20 2021 20:30:16 GMT-0300 (Brasilia Standard Time),Mon Sep 20 2021 12:47:54 GMT-0300 (Brasilia Standard Time)
"@pejulio força, companheiro!",2670726740,,,2670726740,LulaOficial,,,116,4993,Mon Sep 20 2021 20:30:16 GMT-0300 (Brasilia Standard Time),Mon Sep 20 2021 11:14:49 GMT-0300 (Brasilia Standard Time)
É isso https://t.co/Z3CxnWyoNB,2670726740,,,2670726740,LulaOficial,,,515,5708,Mon Sep 20 2021 20:30:16 GMT-0300 (Brasilia Standard Time),Mon Sep 20 2021 10:52:55 GMT-0300 (Brasilia Standard Time)
RT @inst_lula: Para fechar este dia de homenagens a Paulo Freire. 🤍 Freire e @LulaOficial sempre compartilharam dos mesmos sonhos. Admiraçã…,2670726740,,,2670726740,LulaOficial,,,507,0,Mon Sep 20 2021 20:30:16 GMT-0300 (Brasilia Standard Time),Sun Sep 19 2021 21:53:23 GMT-0300 (Brasilia Standard Time)
"RT @inst_lula: PAULO FREIRE VIVE! 🤍 Hoje, o maior educador que nosso país já viu faria 100 anos.

🎥: Ricardo Stuckert https://t.co/kZopGSX5…",2670726740,,,2670726740,LulaOficial,,,1437,0,Mon Sep 20 2021 20:30:16 GMT-0300 (Brasilia Standard Time),Sun Sep 19 2021 13:47:39 GMT-0300 (Brasilia Standard Time)
"RT @zehdeabreu: Acabo de receber o prefácio de meu livro ABREUGRAFIA escrito pelo querido @LulaOficial. Não caibo em mim de emoção. Muito,…",2670726740,,,2670726740,LulaOficial,,,528,0,Mon Sep 20 2021 20:30:16 GMT-0300 (Brasilia Standard Time),Sun Sep 19 2021 13:42:17 GMT-0300 (Brasilia Standard Time)
@zehdeabreu 👊🏼,2670726740,,,2670726740,LulaOficial,,,39,1336,Mon Sep 20 2021 20:30:16 GMT-0300 (Brasilia Standard Time),Sun Sep 19 2021 13:42:15 GMT-0300 (Brasilia Standard Time)
"RT @gleisi: Mais atual do que nunca! Assista esta aula do patrono da educação brasileira, Paulo Freire e @LulaOficial em 1989. Todos os dia…",2670726740,,,2670726740,LulaOficial,,,1049,0,Mon Sep 20 2021 20:30:16 GMT-0300 (Brasilia Standard Time),Sun Sep 19 2021 13:41:44 GMT-0300 (Brasilia Standard Time)
